case_label,display,time,configured_dp,mode,weighting,apparent_flux_integral,reference_flux_integral,flux_ratio,effective_cv_ratio,effective_h
mode3_shell_dp010,"mode 3 shell, dp=0.010",0.0,0.01,3,n/a,6.627811044080161,4099.121912940717,0.001616885563504833,0.001616885563504833,0.2109697779088827
mode3_shell_dp010,"mode 3 shell, dp=0.010",0.001005,0.01,3,n/a,10.447156176938735,41.82437749194429,0.24978629219169948,0.24978629219169948,0.33784630446893543
mode3_shell_dp010,"mode 3 shell, dp=0.010",0.002011,0.01,3,n/a,9.408718039204048,28.31435651466818,0.3322949626042141,0.3322949626042141,0.31209469917509264
mode3_shell_dp010,"mode 3 shell, dp=0.010",0.003016,0.01,3,n/a,5.408302871863755,22.33685316422298,0.2421246552547632,0.2421246552547632,0.1816354134388036
mode3_shell_dp010,"mode 3 shell, dp=0.010",0.004022,0.01,3,n/a,3.587259901374974,18.770138847466768,0.191115256553316,0.191115256553316,0.12185689968082317
mode3_shell_dp010,"mode 3 shell, dp=0.010",0.005027,0.01,3,n/a,0.8788613045467761,16.338665295316975,0.05379027531696101,0.05379027531696101,0.030208318205513
mode3_shell_dp010,"mode 3 shell, dp=0.010",0.006033,0.01,3,n/a,0.8459986882950176,14.542064538854365,0.05817596848333517,0.05817596848333517,0.029328224704080096
mode4_raw_dp010,"mode 4 raw, dp=0.010",0.0,0.01,4,raw,168.68408711468885,4099.121912940717,0.04115127354035552,0.04115127354035552,5.369381257049324
mode4_raw_dp010,"mode 4 raw, dp=0.010",0.001005,0.01,4,raw,147.14780279607245,41.82437749194429,3.5182305540450494,3.5182305540450494,7.810122166029191
mode4_raw_dp010,"mode 4 raw, dp=0.010",0.002011,0.01,4,raw,92.88224843894481,28.31435651466818,3.2803941135242614,3.2803941135242614,8.522025769419434
mode4_raw_dp010,"mode 4 raw, dp=0.010",0.003016,0.01,4,raw,120.19913555930412,22.33685316422298,5.381202744880265,5.381202744880265,20.611259233303173
mode4_raw_dp010,"mode 4 raw, dp=0.010",0.004021,0.01,4,raw,62.68547214414936,18.773003760823045,3.339128513624775,3.339128513624775,52.65904200749641
mode4_raw_dp010,"mode 4 raw, dp=0.010",0.005027,0.01,4,raw,-1.319820181721078,16.338665295316975,-0.08077894723134868,-0.08077894723134868,-0.19879816779686169
