case_label,display,source_stage,resolution,configured_dp,mode,weighting,boundary_family,frames,final_time,final_center_pressure,fv_final_center_pressure,final_volume_mean_pressure,fv_final_volume_mean_pressure,final_surface_shell_mean_095_100,fv_final_surface_shell_mean_095_100,final_surface_shell_p95_abs_095_100,fv_final_surface_shell_p95_095_100,center_pressure_rmse,volume_mean_pressure_rmse,surface_shell_pressure_rmse,near_surface_p95_final_error,median_flux_ratio,final_flux_ratio,min_flux_ratio,max_flux_ratio,final_effective_h,boundary_nonuniformity_index,negative_pressure,flux_reversal,effective_boundary_type,final_porepressrate_maxAbs,final_vel_max,final_kplastic_maxAbs,material_particle_count,selected_boundary_particle_count,material_boundary_pair_count,surface_roughness_std,max_surface_radius_abs_error,mean_surface_radius_error,selection_targets,selection_selected,selection_pairs,selection_avg_pairs
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,7,0.006032,529.9586899364443,999.9978840064646,492.91713373307533,615.7272911806482,509.6963327643668,85.86715131759048,509.69645749951997,165.11302853288905,292.17187336911525,74.78969200679691,525.6667126641632,344.5834289666309,1.6314291685363869,3.727173899945337,1.3171514292513953,3.727173899945337,3.385251263827656,1.0,False,False,over-strong nonuniform Robin,332664.06,0.00043120956979777537,0.0,739.0,2418.0,194490.0,0.0035767684065295575,0.006411011986970819,0.00015323898744609,592.0,2418.0,194490.0,328.53
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,7,0.006032,468.2500503397481,999.9978840064646,367.1865541437687,615.7272911806482,318.9400792785523,85.86715131759048,330.846494630075,165.11302853288905,381.5184905761095,167.66627257984058,410.7060801774249,165.73346609718593,2.2640647532253966,2.927915348345785,1.277258033778682,2.927915348345785,4.249836087080698,1.0,False,False,over-strong nonuniform Robin,325990.56,0.000998071579885278,0.0,1213.0,3794.0,315386.0,0.0030329980486193614,0.006918682100009968,-0.0020150175188332307,962.0,3794.0,315386.0,327.844
mode4_normalized_dp0065,"mode 4 normalized, dp=0.0065",C5h,higher,0.0065,4,normalized,mode4_normalized,7,0.006012,746.4035725307716,999.997985204421,524.0691506754637,616.2834135006285,425.2413899864588,86.04978944890868,517.2729344427399,165.46128492553564,430.65403916027907,253.56481695445478,325.8194302549135,351.8116495172043,2.180014382491663,-7.274658472142099,-7.274658472142099,3.0536895161346207,-7.936564646355592,1.0,False,True,nonuniform / flux-reversal Robin,1554486.3,0.004979934419326765,0.0,2601.0,5802.0,650052.0,0.0036474201830206097,0.007376650354529848,-0.0003642536245341443,2116.0,5802.0,650052.0,307.208
