case_label,display,source_stage,resolution,configured_dp,mode,weighting,boundary_family,time,sph_center_pressure,fv_center_pressure,center_error,sph_volume_mean_pressure,fv_volume_mean_pressure,volume_mean_error,apparent_boundary_flux_integral,fv_boundary_flux_integral,flux_ratio,effective_cv_ratio,effective_h
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,6.627811044080161,4099.121912940717,0.001616885563504833,0.001616885563504833,0.2109697779088827
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.001005,993.9482109462775,1000.0000000000048,-6.051789053727248,987.2785223920944,831.2765899866567,156.00193240543763,10.447156176938735,41.82437749194429,0.24978629219169948,0.24978629219169948,0.33784630446893543
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.002011,960.7157879739592,1000.0000000000043,-39.28421202604511,959.8607282104172,766.125419923174,193.73530828724313,9.408718039204048,28.31435651466818,0.3322949626042141,0.3322949626042141,0.31209469917509264
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.003016,962.6523252076853,999.9999999992508,-37.34767479156551,951.1236435159019,718.0944968392885,233.02914667661344,5.408302871863755,22.33685316422298,0.2421246552547632,0.2421246552547632,0.1816354134388036
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.004022,948.2257068181333,999.9999987093851,-51.77429189125178,939.0856402880266,678.8508182714902,260.23482201653644,3.587259901374974,18.770138847466768,0.191115256553316,0.191115256553316,0.12185689968082317
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.005027,949.4266185809296,999.9998895685092,-50.573270987579576,937.3357322417254,645.2867233282645,292.04900891346085,0.8788613045467761,16.338665295316975,0.05379027531696101,0.05379027531696101,0.030208318205513
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.006033,946.8274797462362,999.997878833742,-53.17039908750576,935.7102993337659,615.6995163941467,320.01078293961916,0.8459986882950176,14.542064538854365,0.05817596848333517,0.05817596848333517,0.029328224704080096
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,168.68408711468885,4099.121912940717,0.04115127354035552,0.04115127354035552,5.369381257049324
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.001005,755.3388780691889,1000.0000000000048,-244.66112193081585,676.2263101999258,831.2765899866567,-155.05027978673093,147.14780279607245,41.82437749194429,3.5182305540450494,3.5182305540450494,7.810122166029191
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.002011,615.0784795899258,1000.0000000000043,-384.92152041007853,434.927751526837,766.125419923174,-331.197668396337,92.88224843894481,28.31435651466818,3.2803941135242614,3.2803941135242614,8.522025769419434
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.003016,387.3541324698297,999.9999999992508,-612.6458675294211,319.3660700929004,718.0944968392885,-398.7284267463881,120.19913555930412,22.33685316422298,5.381202744880265,5.381202744880265,20.611259233303173
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.004021,163.41008861293787,999.9999987165205,-836.5899101035826,-26.494760773984865,678.8866693318421,-705.3814301058269,62.68547214414936,18.773003760823045,3.339128513624775,3.339128513624775,52.65904200749641
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.005027,369.70905036219705,999.9998895685092,-630.2908392063121,79.05734198425743,645.2867233282645,-566.2293813440072,-1.319820181721078,16.338665295316975,-0.08077894723134868,-0.08077894723134868,-0.19879816779686169
