time,center_pressure,volume_mean_pressure,surface_shell_mean_095_100,surface_shell_p95_095_100,surface_shell_max_095_100,surface_shell_mean_090_100,surface_flux_density,boundary_flux_integral,cumulative_boundary_flux_integral,stored_pressure_integral
0.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,1000.0,130479.10295616419,4099.121912940717,0.0,0.523598775598299
0.001005,1000.0000000000048,831.2765899866567,239.02867885299847,448.18759576597364,466.14408781181356,435.261669162949,1331.3112839168682,41.82437749194429,2.0808255109424127,0.43525540470054275
0.001046,1000.000000000005,828.037624637884,234.15858062975508,439.5575385357794,457.2711308931626,427.92568565262985,1302.266053380472,40.911894663194644,2.082521604521593,0.43355948640972003
0.002011,1000.0000000000043,766.125419923174,164.95110391894238,313.91674597494307,327.46393945670764,315.43807670294007,901.27395995513,28.31435651466818,2.115923270714912,0.4011423318265066
0.002026,1000.0000000000048,765.3160066507661,164.27086813262622,312.65733765086344,326.15761496738963,314.2597747731321,897.4269659291027,28.19349963296247,2.116347079636019,0.4007185240281208
0.003006,999.9999999993219,718.5215215994716,131.24263759360403,251.03693511477968,262.14136632666094,255.5105790671813,712.4117484362516,22.381075152183882,2.1411286212807408,0.3762169889505101
0.003016,999.9999999992508,718.0944968392885,130.98913455236607,250.56065398844683,261.64585838534066,255.04851556088184,711.0041188407861,22.33685316422298,2.1413522109223226,0.37599339930892806
0.003056,999.9999999988919,716.3947810655859,129.9872895860561,248.6779303274929,259.6870337540007,253.22085950975875,705.4428665136596,22.16214126966638,2.1422421908110003,0.3751034302109522
0.004021,999.9999987165205,678.8866693318421,110.46009157761499,211.84197927248744,221.33226461435441,217.1113444687825,597.5632690435457,18.773003760823045,2.1619933982882116,0.35546422883215983
0.004022,999.9999987093851,678.8508182714902,110.44351320770033,211.8105988433139,221.29956732133098,217.08030902528813,597.4720760191094,18.770138847466768,2.1620121698595156,0.35544545726085564
0.004052,999.9999984777583,677.777820647583,109.94896551831253,210.87441304291394,220.32407791315887,216.15420948640957,594.7519982181809,18.68468508310087,2.162573992218474,0.3548836370187579
0.005027,999.9998895685092,645.2867233282645,96.33296215423482,185.04096430866707,193.39354956246981,190.44654154107363,520.0758690547397,16.338665295316975,2.179647875527953,0.33787133824451765
0.005032,999.9998876020943,645.1307494679622,96.27336200032086,184.92764838738725,193.275370278845,190.33314910791933,519.7498662940919,16.328423616537965,2.1797295432502324,0.33778967052223796
0.005067,999.9998729457853,644.0416604930647,95.85859699621113,184.13901350998455,192.45287642159929,189.543834734621,517.48137341713,16.257156810968123,2.1802997909077138,0.337219424868464
0.006012,999.997985204421,616.2834135006285,86.04978944890868,165.46128492553564,172.9673644125213,170.77673764546205,463.9332272240471,14.574892184032706,2.194867934057852,0.3226852407304693
0.006032,999.9978840064646,615.7272911806482,85.86715131759048,165.11302853288905,172.60394269876653,170.42551458824818,462.93792588647386,14.543623870330425,2.1951591192183955,0.3223940557646447
0.006033,999.997878833742,615.6995163941467,85.85804296813694,165.09566018581774,172.5858179258674,170.407997072269,462.88829082400713,14.542064538854365,2.1951736620626,0.3223795129204401
