case_label,display,source_stage,resolution,configured_dp,mode,weighting,boundary_family,time,r_over_R_min,r_over_R_max,r_over_R_mid,sph_count,sph_mean_pressure,sph_median_pressure,sph_p95_abs_pressure,sph_max_abs_pressure,fv_mean_pressure,fv_p95_pressure,fv_max_pressure,mean_error,p95_abs_error
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.002011,0.9,0.95,0.925,72.0,961.5797989498107,961.73592091355,961.735922871165,961.7359237174,482.6295430578979,607.8368554215156,618.3103685946927,478.9502558919128,353.89906744964946
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.002011,0.95,1.0,0.975,24.0,959.608726489204,959.6087263182001,959.6087285398299,959.6087297161,164.95110391894238,313.91674597494307,327.46393945670764,794.6576225702615,645.6919825648869
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.003016,0.0,0.2,0.1,1.0,961.3941964712,961.3941964712,961.3941964712,961.3941964712,999.9999994343326,999.9999999932801,999.9999999992508,-38.605802963132646,-38.60580352208012
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.003016,0.2,0.4,0.30000000000000004,26.0,962.7007147744732,962.7793350748,962.7793550166249,962.7793551637,999.9985725905958,999.9999943699796,999.9999977698524,-37.29785781612259,-37.22063935335473
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.003016,0.4,0.6,0.5,66.0,962.4458862426998,962.48838910535,962.50110714175,962.5011081694,999.2974556653476,999.9878470115308,999.9927216957774,-36.8515694226478,-37.48673986978076
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.003016,0.6,0.8,0.7,158.0,960.0151647789875,959.9813177190999,962.17164791903,962.1716490589,950.8277906303989,995.8505699005345,996.9440021027991,9.18737414858856,-33.67892198150457
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.003016,0.8,0.9,0.8500000000000001,138.0,954.7248879650867,954.4888270442,955.6092272539149,956.1430525462,698.7935012627219,840.7847181143603,849.8966023667558,255.93138670236488,114.8245091395546
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.003016,0.9,0.95,0.925,72.0,951.8966043408515,952.35058407765,952.35058648343,952.3505872265,392.87885025486116,502.48932390697246,512.093842002072,559.0177540859903,449.86126257645753
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.003016,0.95,1.0,0.975,24.0,947.7866892793081,947.78668947055,947.78669115937,947.7866914962,130.98913455236607,250.56065398844683,261.64585838534066,816.797554726942,697.2260371709232
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.004022,0.0,0.2,0.1,1.0,948.869179824,948.869179824,948.869179824,948.869179824,999.9998928099969,999.9999948047512,999.9999987093851,-51.13071298599698,-51.13081498075121
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.004022,0.2,0.4,0.30000000000000004,26.0,948.2009578563692,948.3902967076,949.1241447186251,949.1241456126,999.9676788780673,999.9993540447504,999.9996716537808,-51.76672102169812,-50.87520932612529
