time,r,r_over_R,pressure,cell_volume_no4pi
0.0,5.208333333333334e-05,0.0010416666666666667,1000.0,3.7676022376543216e-13
0.0,0.00015625,0.0031249999999999997,1000.0,2.637321566358025e-12
0.0,0.00026041666666666666,0.005208333333333333,1000.0,7.158444251543212e-12
0.0,0.00036458333333333335,0.007291666666666667,1000.0,1.394012827932099e-11
0.0,0.00046875,0.009375,1000.0,2.2982373649691355e-11
0.0,0.0005729166666666667,0.011458333333333333,1000.0,3.4285180362654335e-11
0.0,0.0006770833333333334,0.013541666666666667,1000.0,4.784854841820988e-11
0.0,0.00078125,0.015625,1000.0,6.367247781635804e-11
0.0,0.0008854166666666667,0.017708333333333333,1000.0,8.175696855709879e-11
0.0,0.0009895833333333334,0.019791666666666666,1000.0,1.0210202064043203e-10
0.0,0.00109375,0.021875000000000002,1000.0,1.2470763406635805e-10
0.0,0.0011979166666666666,0.02395833333333333,1000.0,1.4957380883487663e-10
0.0,0.0013020833333333335,0.026041666666666668,1000.0,1.7670054494598758e-10
0.0,0.00140625,0.028124999999999997,1000.0,2.0608784239969144e-10
0.0,0.0015104166666666669,0.030208333333333337,1000.0,2.3773570119598785e-10
0.0,0.0016145833333333333,0.03229166666666666,1000.0,2.7164412133487647e-10
0.0,0.0017187500000000002,0.034375,1000.0,3.0781310281635824e-10
0.0,0.0018229166666666667,0.03645833333333333,1000.0,3.462426456404321e-10
0.0,0.0019270833333333336,0.03854166666666667,1000.0,3.869327498070989e-10
0.0,0.00203125,0.040625,1000.0,4.298834153163573e-10
0.0,0.0021354166666666665,0.04270833333333333,1000.0,4.750946421682109e-10
0.0,0.0022395833333333334,0.04479166666666667,1000.0,5.225664303626536e-10
0.0,0.0023437500000000003,0.04687500000000001,1000.0,5.722987798996925e-10
0.0,0.002447916666666667,0.04895833333333333,1000.0,6.242916907793205e-10
0.0,0.0025520833333333333,0.051041666666666666,1000.0,6.785451630015442e-10
0.0,0.00265625,0.053125,1000.0,7.350591965663565e-10
0.0,0.002760416666666667,0.05520833333333334,1000.0,7.938337914737678e-10
0.0,0.0028645833333333336,0.05729166666666667,1000.0,8.548689477237637e-10
0.0,0.00296875,0.059375,1000.0,9.18164665316361e-10
0.0,0.003072916666666667,0.06145833333333334,1000.0,9.837209442515417e-10
0.0,0.003177083333333334,0.06354166666666668,1000.0,1.0515377845293237e-09
0.0,0.0032812500000000003,0.065625,1000.0,1.1216151861496883e-09
0.0,0.0033854166666666668,0.06770833333333333,1000.0,1.1939531491126517e-09
0.0,0.0034895833333333333,0.06979166666666665,1000.0,1.2685516734182142e-09
0.0,0.00359375,0.071875,1000.0,1.345410759066356e-09
0.0,0.003697916666666667,0.07395833333333333,1000.0,1.424530406057101e-09
0.0,0.0038020833333333335,0.07604166666666666,1000.0,1.5059106143904297e-09
0.0,0.00390625,0.078125,1000.0,1.5895513840663619e-09
0.0,0.004010416666666667,0.08020833333333334,1000.0,1.6754527150848731e-09
0.0,0.004114583333333333,0.08229166666666665,1000.0,1.7636146074459857e-09
0.0,0.00421875,0.084375,1000.0,1.8540370611497038e-09
0.0,0.004322916666666668,0.08645833333333335,1000.0,1.9467200761959833e-09
0.0,0.004427083333333333,0.08854166666666666,1000.0,2.0416636525848733e-09
0.0,0.0045312500000000006,0.09062500000000001,1000.0,2.138867790316355e-09
0.0,0.004635416666666667,0.09270833333333334,1000.0,2.2383324893904475e-09
0.0,0.0047395833333333335,0.09479166666666666,1000.0,2.3400577498070924e-09
0.0,0.004843750000000001,0.09687500000000002,1000.0,2.444043571566356e-09
0.0,0.0049479166666666664,0.09895833333333333,1000.0,2.5502899546682077e-09
