case,code,excluded,steps,runtime_s,frames,final_time_s,peak_excess_maxAbs,final_excess_maxAbs,excess_envelope_drop_from_peak,final_bottom_excess_mean,final_top_excess_maxAbs,final_bottom_no_flux_proxy_maxAbs,final_velocity_maxAbs,final_velocity_mean,final_settlement_mean,final_porepress_max,final_porepress_mean,final_porepressrate_maxAbs,final_divvel_maxAbs,final_hydraulic_contribution_maxAbs,final_acceldiff_maxAbs,initial_excess_maxAbs
T0p05,0,0,52437,126.382378,11,0.05,27696.1835866,16675.276642,11020.9069446,16671.3993046,1.21134291931e-05,0.0134360245029,0.0025899585,0.00215396366843,-0.000139587592,26432.5302875,14396.765518,122288340,0.01019879,0.183430167863,10.073871,0
T0p2,0,0,209747,495.198334,11,0.2,17963.1020387,14059.0714972,3904.0305415,14057.1206592,1.10111458795e-05,0.00711081199915,0.0023547192,0.00171318574083,-0.0004234574085,23818.4184533,13499.4970539,118122180,0.0051603895,0.177185611036,9.7334442,0
