variant,failed,region,count,failed_count,status_-3,status_-1,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
dp0075_overhang045,0,bottom_cap_zone,1359,0,0,0,132.63502575423107,0.9983720282870465,0.01819896594783115,0.025431150204465375,21.278953050771655,19.98621171042512,2.2640896961537007,5032.5161,119.99642838852102,0.8000356360485638,-2.646159689016929e-06,2.847612700964676e-06,0.4317578950331073,0.7559864491477654,-30.67722699227446,0.08673781585629235,-11807.846313189932,35974232.0,0.00047741027467631576,180.0,0.0
dp0075_overhang045,0,edge_ring,7005,0,0,0,87.38272662384011,0.8509298300069871,0.07041068494984827,0.09772119844343628,45.98819399922698,44.613728810200946,1.7358513105201119,4855.77,120.02779514061407,0.7999676578815063,2.0575817263260703e-05,5.13232594499711e-05,0.4279729095931463,0.7617438135073668,-66.3421492071305,0.1875780077152312,-5524.904585318019,42559372.0,0.006130685735847822,180.0,0.0
dp0075_overhang045,0,interior,3542,0,0,0,167.628740824393,0.9975630361806227,0.03530231743822678,0.04949449016612584,35.15327237028534,38.01421781669639,1.8297848427094876,5017.1504,119.99629852625769,0.8000209900141154,-2.7413824726163267e-06,1.0183188874533019e-05,0.4289049076227881,0.759955779388034,-59.931034928289314,0.1694510091474723,-6999.425289959466,39498648.0,0.0022268855845745347,180.0,0.0
dp0075_overhang045,0,lateral_surface,10349,0,0,0,113.17161078365059,0.7744994318656047,0.04322361687988234,0.05996404600845245,40.45754274864979,35.691010393177685,1.4920853935364302,4643.7422,119.99889344574231,0.800011825101936,-8.199781803663975e-07,7.523767759668475e-06,0.42810493975746433,0.7609320277252641,-60.62595285573483,0.1714158432976119,-5525.409369096889,44266548.0,0.003542029110317658,180.0,0.0
dp0075_overhang045,0,measurement_core,574,0,0,0,178.0,1.000001343390045,0.032166946445602494,0.04534076210970195,39.47754642340185,35.338691431871545,1.326365519705798,5016.9604,119.9941459059235,0.8000178438675959,-4.336913021393729e-06,9.055417722423348e-06,0.4340393129790875,0.7494966543255086,-62.88116552090586,0.17779230688467748,-6071.113462707917,43582968.0,0.0016242015,180.0,0.0
dp0075_overhang045,0,top_cap_zone,1435,0,0,0,132.56585365853658,0.9986064806201406,0.08783765239797292,0.12387264479939684,80.52125090011616,52.48592912759224,0.6376290063376983,5075.0479,120.07631025087072,0.7998654585296172,5.649160549353659e-05,9.092687937268286e-05,0.427857611916369,0.7620027459176411,-114.93605855191628,0.32497404946133984,10632.689359872771,30768798.0,0.00470933303051438,180.0,0.0
dp0075_overhang045,1,bottom_cap_zone,81,81,0,81,132.01234567901236,0.9997349608774719,0.015553403219597337,0.02190854969725803,-7.903582939999998,22.272361906259814,-7.81199109888265,23.397678,119.9998839506173,0.8000512395061733,-8.554901604938273e-08,9.035817901234566e-08,0.35934509444444457,0.8683570246913587,-3.7976937654320984,0.010737726150658714,-18971.73065392927,30636664.0,0.0004126739213707425,180.0,0.0
dp0075_overhang045,1,edge_ring,51,51,51,0,97.49019607843137,0.8307325129759665,0.13576477781128693,0.18693177517561857,71.84417935947715,88.80450002127117,1.2691970878038754,6918.563,120.0640862745098,0.7998979733333331,4.744962839529412e-05,0.00010480303239999997,0.388094805882353,0.8397030000000002,-125.7612139215687,0.35558145518628115,3496.908875491212,27084988.0,0.00546177989336377,180.0,0.0
dp0075_overhang045,1,interior,106,106,18,88,176.10377358490567,0.9991410541330629,0.02907623382864045,0.04095404081432586,4.106917327044023,48.263307160382034,-18.66973097666038,2593.9844,119.998182264151,0.8000419167924525,-1.346672291981132e-06,5.385948883867924e-06,0.386910486792453,0.8408833773584902,-36.09761531415093,0.10206360277474227,-19580.739503084616,38279336.0,0.0020749550980531267,180.0,0.0
dp0075_overhang045,1,lateral_surface,235,235,39,196,105.44255319148937,0.7187771658791995,0.042810365632345235,0.059890030694582985,0.08374923985815629,57.22703454608138,-10.165421014430871,2593.9841,119.99889748936165,0.8000411785106393,-8.178485405957448e-07,3.829864274765958e-06,0.4091769304255316,0.8228716808510612,-31.345131795319165,0.08862627219658067,-12844.899237464137,28126620.0,0.002823704412427025,180.0,0.0
