case,variant,dp,code,excluded,dtmin_adjustments,steps,part_files,first_failure_time,first_failure_negative_count,first_failure_status_-3,first_failure_status_-1,max_status_-3,max_status_-1,bad_frame_count,final_time,final_status_-3,final_status_-1,final_negative_count
CaseM3n_Overhang045Reference,overhang045_ref,0.01,0,0,0,21,22,0.001106,8,0,8,8,8,12,0.002513,0,0,0
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.0075,0,0,0,30,24,0.000829,16,0,16,16,52,17,0.002564,0,0,0
