case,variant,dp,specimen_particle_count,edge_corner_count,cap_edge_count,measurement_core_count,edge_support_mean,edge_neighbor_mean,cap_support_mean,cap_neighbor_mean,core_support_mean,core_neighbor_mean,nearest_neighbor_mean,nearest_neighbor_std,max_cap_radius,platen_contamination_core,actual_particle_set_added_vs_reference,actual_particle_set_removed_vs_reference
CaseM3n_Overhang045Reference,overhang045_ref,0.01,407,112,148,25,0.80780486895692,68.14285714285714,0.8529118810269206,77.22972972972973,1.0,158.0,0.009999998169533175,1.172684825282304e-09,0.03162277558975494,0,0,0
CaseM3n_Dp0075Overhang045,dp0075_overhang045,0.0075,1035,294,414,28,0.850726333976066,87.45578231292517,0.8935463853128321,100.54106280193237,1.0000000000000002,178.0,0.007499999269275465,9.655030253667892e-10,0.03691205677011241,0,1023,395
