variant,time,count,failed_count,status_-3,status_-1,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
dp0075_overhang045,0.0,1035,0,0,0,117.83381642512077,0.8604552422564891,0.0,0.0,50.0,0.0,0.0,0.0,120.0,0.8000000099999905,0.0,0.0,0.21362199999999484,5.652989999999933e-08,-50.0,0.1413716694115407,0.0,0.0,0.0,180.0,0.0
dp0075_overhang045,0.000377,1035,0,0,0,117.83381642512077,0.8604601103401696,0.035356027263216294,0.049645287506914874,39.58650304605474,7.049720181950233,0.1847797365467185,5032.5161,120.0,0.8000112578454137,0.0,0.0,0.4911065000000007,0.5872500000000014,-42.8466132231885,0.12114594479985503,-4111.298204237034,16588062.0,0.0009714059819871915,180.0,0.0
dp0075_overhang045,0.000452,1035,0,0,0,117.83381642512077,0.860460308916442,0.03830245415924574,0.053839674056719376,38.51295342898554,12.393004879248862,0.32682956741525343,5075.0479,120.0,0.8000124176908218,0.0,0.0,0.5628904999999905,0.6509160000000094,-45.041974950724544,0.12735318384753452,-5693.722824916126,33565644.0,0.0010470063663513658,180.0,0.0
dp0075_overhang045,0.000528,1035,0,0,0,117.83381642512077,0.8604608420084034,0.04142612432683847,0.05826331491949745,37.402488996457315,17.92317136270148,0.49383993463045933,5065.8965,120.00012507246382,0.8000134527053131,9.258558375555555e-08,1.2892742688792278e-07,0.6178690000000047,0.6939340000000104,-47.19942581642508,0.1334532324586837,-7111.989928963582,34039264.0,0.0015229105705831297,180.0,0.0
dp0075_overhang045,0.000603,1035,0,0,0,117.83381642512077,0.860462046416881,0.04377318394275533,0.06158003225566294,35.193482141578116,21.773161236702624,0.6996275152794265,5031.0098,120.00135542028985,0.8000141978454086,1.0039153968985505e-06,1.3680484753140098e-06,0.5937774999999904,0.6961079999999892,-47.27393944830916,0.13366391478935108,-8302.350532477176,34113084.0,0.0020441729504720855,180.0,0.0
dp0075_overhang045,0.000754,1035,0,0,0,117.83381642512077,0.8604660849978982,0.046743162425732836,0.06574160180166323,31.17001086839165,28.094227340791225,1.4670402494287693,4808.563,120.00432854106262,0.8000145788405787,3.20572929026087e-06,4.521378048927534e-06,0.5937774999999904,0.6961079999999892,-47.147709047343085,0.13330700673904985,-9983.049124435085,30926046.0,0.002898425336784843,180.0,0.0
dp0075_overhang045,0.000829,1035,16,0,16,117.83381642512077,0.8604690311251095,0.04827265593941847,0.0678713065773126,29.74205645544672,30.923094224652914,1.2739033810997031,4657.5381,120.00581259903389,0.8000140574685984,4.304822292072463e-06,6.256024616540097e-06,0.5937774999999904,0.6961079999999892,-47.482206205797176,0.13425277517313128,-10472.31328049101,33414506.0,0.0032496121881706455,180.0,0.0
dp0075_overhang045,0.000905,1035,24,8,16,117.83381642512077,0.8604723532433757,0.049787079585721046,0.06996795926887785,29.248220595151054,33.30683270708041,2.3938523298270153,4435.959,120.00686948792286,0.8000131529565209,5.087081013198066e-06,8.325070655439613e-06,0.46341749999999426,0.7646310000000067,-48.45135014975848,0.13699296511828918,-10732.216879239943,38745568.0,0.0035584784514163447,180.0,0.0
dp0075_overhang045,0.001056,1035,24,8,16,117.83381642512077,0.8604798378816724,0.052056481041041304,0.07305359852283888,30.003578862630295,37.31841883606574,2.701783643589879,3863.9702,120.00847236714974,0.8000101527246399,6.273490727068599e-06,1.2896822694667627e-05,0.46341749999999426,0.7646310000000067,-51.48417958251196,0.14556808831726548,-10938.397969295447,43582968.0,0.004072788788469311,180.0,0.0
dp0075_overhang045,0.001131,1035,19,0,19,117.83381642512077,0.8604835967116093,0.05280210056518883,0.07403363112646756,30.931686427272115,39.07112995915803,2.715828706957505,4034.0408,120.00921204830946,0.8000080966086952,6.820733931836716e-06,1.5285662350937193e-05,0.46341749999999426,0.7646310000000067,-53.26692835806761,0.15060869172809913,-10630.74950641725,43109320.0,0.00428786271723742,180.0,0.0
dp0075_overhang045,0.001206,1035,45,0,45,117.83381642512077,0.8604871828877608,0.05337374833902434,0.07476213896819135,32.14473047205535,40.90046158515092,0.4854359207541822,4223.8594,120.00992796135235,0.8000056444251238,7.350291105713044e-06,1.7621160631743966e-05,0.46341749999999426,0.7646310000000067,-55.30030235917872,0.15635792126960116,-10181.571010546038,44266548.0,0.004480475650403479,180.0,0.0
dp0075_overhang045,0.001357,1035,47,0,47,117.83381642512077,0.8604931457360279,0.054149312113032505,0.07568675304335364,35.22982676724814,44.08257131361386,2.1082368154604563,4476.1572,120.01129659903431,0.8000002447439603,8.362789811082125e-06,2.2446395856589365e-05,0.46341749999999426,0.7646310000000067,-59.648780961855124,0.16865295485881568,-8953.403851386456,43640596.0,0.0048118639072381895,180.0,0.0
dp0075_overhang045,0.001433,1035,51,0,51,117.83381642512077,0.86049533551331,0.05449119874492763,0.07607656374637689,36.910132791276695,45.555245914849124,1.6792640196148538,4550.9834,120.01203185507245,0.7999973688019315,8.906614808338167e-06,2.4833824519884068e-05,0.3567103499999996,0.8709830000000162,-61.90032088450047,0.17501903401103777,-8218.890420796937,42287480.0,0.0049564308771304225,180.0,0.0
dp0075_overhang045,0.001508,1035,60,8,52,117.83381642512077,0.860496974393264,0.05484177311278073,0.07647048097582532,38.71338706596907,47.101017740673285,1.8413929509241909,4601.2866,120.01273109178756,0.7999945085410606,9.423986324888886e-06,2.7124439563053128e-05,0.3567103499999996,0.8709830000000162,-64.3415922756715,0.18192156625216743,-7430.312446530265,40543676.0,0.005088381636654001,180.0,0.0
dp0075_overhang045,0.001659,1035,64,12,52,117.83381642512077,0.860498298313008,0.05574833242975107,0.0775211471028181,42.1730295793011,49.47921468197314,1.5528523546430855,4643.7422,120.01432531400941,0.7999887762318811,1.0603661889835748e-05,3.186788337796137e-05,0.3567103499999996,0.8709830000000162,-68.78867027620295,0.19449538307093678,-5758.444643075536,36635020.0,0.005326334546690181,180.0,0.0
dp0075_overhang045,0.001734,1035,60,16,44,117.83381642512077,0.8604980551603855,0.05632716269802589,0.07821240727841652,43.95434812424325,50.471237546516555,1.5534780684765928,4640.6553,120.01506859903384,0.7999860040193251,1.1153317049532264e-05,3.4259152351526575e-05,0.3567103499999996,0.8709830000000162,-71.0136847772657,0.2007864633605393,-4904.66524509682,34711924.0,0.005433856108889426,180.0,0.0
dp0075_overhang045,0.00181,1035,44,4,40,117.83381642512077,0.8604972950590706,0.05696632251095143,0.07898828094119759,45.630991425789354,51.21800927610434,1.013463939559088,4621.7373,120.01585849275371,0.7999832519227058,1.1737769204034108e-05,3.66949749624734e-05,0.3567103499999996,0.8709830000000162,-73.02949838257003,0.2064860420526267,-4222.773377865134,32925276.0,0.005533863767406842,180.0,0.0
dp0075_overhang045,0.00196,1035,35,13,22,117.83381642512077,0.8604946715216114,0.058289495385380384,0.08062073135702393,48.97541912092951,52.53504005366569,1.5087156319429722,4549.6128,120.01725363285018,0.7999779786763275,1.2769884019864726e-05,4.159358225944924e-05,0.3567103499999996,0.8709830000000162,-77.10904604426177,0.21802069132017288,-2587.6621835745796,39863240.0,0.005711136907463219,180.0,0.0
dp0075_overhang045,0.002036,1035,33,12,21,117.83381642512077,0.8604929264082464,0.05890798308441759,0.08138976622985862,50.460363026322106,53.16577380556015,1.2446171885430841,4499.2124,120.01797159420254,0.7999755135362326,1.3301153105006771e-05,4.399936944288888e-05,0.3567103499999996,0.8709830000000162,-79.00972863050244,0.22339474472493864,-1821.726534406113,41466692.0,0.005788555598156827,180.0,0.0
dp0075_overhang045,0.002111,1035,28,16,12,117.83381642512077,0.8604911489630043,0.05949197820303265,0.08211905912634036,51.88250541033826,53.757884100021364,1.4021571057700877,6918.563,120.01863304347822,0.7999731599130434,1.3790614795458922e-05,4.643991237731401e-05,0.3567103499999996,0.8709830000000162,-80.86572372734308,0.22864244723013855,-1102.1503792632482,41556900.0,0.005859062236689426,180.0,0.0
dp0075_overhang045,0.002262,1035,4,0,4,117.83381642512077,0.8604874826806722,0.06053071784461492,0.08339753552742178,54.2052122992973,54.30893240796243,1.2483605852825328,4450.5059,120.02000399033825,0.7999688893526563,1.480529088153912e-05,5.158374745164256e-05,0.3567103499999996,0.8709830000000162,-83.73279228670538,0.23674889260122634,168.1851028177452,38251140.0,0.0059780721027315456,180.0,0.0
dp0075_overhang045,0.002337,1035,10,9,1,117.83381642512077,0.8604858073996977,0.06100299260109217,0.08396552163321037,55.2345729090402,54.78459523480421,1.2993091560459022,4443.438,120.02059054106267,0.7999670356231912,1.5239727605253142e-05,5.40811626082029e-05,0.3567103499999996,0.8709830000000162,-85.19372780626063,0.24087959046726917,708.5134004779466,39445504.0,0.006026205095208035,180.0,0.0
dp0075_overhang045,0.002413,1035,12,12,0,117.83381642512077,0.860484237321758,0.06148689443339766,0.08454625117900626,56.04919071419527,55.24404633202764,1.2569654903501135,4430.9463,120.02120788405803,0.7999653332850225,1.5696202190985495e-05,5.6608638440772916e-05,0.3567103499999996,0.8709830000000162,-86.43332570908211,0.24438447096568752,1180.9923447004662,40559896.0,0.0060677240107152265,180.0,0.0
dp0075_overhang045,0.002564,1035,0,0,0,117.83381642512077,0.8604801459349755,0.062458336439209394,0.08570667950301136,57.32504408645731,55.91852895755287,1.167848553503213,4378.1782,120.02228413526551,0.7999625420386486,1.6492370220993233e-05,6.183697245867637e-05,0.3567103499999996,0.8709830000000162,-88.50021853285016,0.25022847274550397,1998.5047902156343,42559372.0,0.006130685735847822,180.0,0.0
overhang045_ref,0.0,407,0,0,0,98.0,0.8068721013033253,0.0,0.0,50.0,0.0,0.0,0.0,120.0,0.8000000100000014,0.0,0.0,0.19747700000000076,0.0743089999999997,-50.0,0.1413716694115407,0.0,0.0,0.0,112.0,0.0
overhang045_ref,0.000503,407,0,0,0,98.0,0.8048135190675719,0.036499626553432335,0.05130972995895126,36.35917719410319,8.43044616811408,0.23520998219690914,4855.5391,120.0,0.8000147447174439,0.0,0.0,0.42729850000000363,0.5399649999999968,-40.67781453808355,0.11501381098523823,-5282.987599130987,15411313.0,0.0009684700480957502,112.0,0.0
overhang045_ref,0.000603,407,0,0,0,98.0,0.8048155027637927,0.0375910269042612,0.052868801206530265,34.82027102538901,14.720291101496478,0.4210501253618647,4755.7813,120.0,0.8000164056019641,0.0,0.0,0.47855450000000116,0.6074869999999974,-43.23195877641278,0.12223548368304765,-7263.4150541721265,30320888.0,0.0011729010076788262,112.0,0.0
overhang045_ref,0.000704,407,0,0,0,98.0,0.8048175792205502,0.03929274911934406,0.055257613102013915,33.601660373955795,21.379843381831133,0.6529623384764862,4625.1934,120.00003619164617,0.8000176714004895,2.667371272727272e-08,4.737562705159706e-08,0.5214780000000014,0.6594409999999948,-46.1396943808354,0.13045691241513968,-8946.88386154578,28382186.0,0.0016907112556991501,112.0,0.0
overhang045_ref,0.000804,407,0,0,0,98.0,0.8048199061491956,0.04090513688488053,0.05750230995898627,31.324966215888637,25.5844619571139,0.9671871153225992,4460.0469,120.00131511056522,0.8000184277149887,9.740827142506147e-07,1.5375434914004914e-06,0.49951899999999905,0.667950999999996,-46.39349034889434,0.13117450360902788,-10283.923058752065,26847418.0,0.0022106754951845033,112.0,0.0
overhang045_ref,0.000905,407,0,0,0,98.0,0.8048222755558322,0.04200446862721686,0.05900294533448846,29.572387978918904,29.961492052523493,1.5281174806637878,4258.1787,120.00260213759218,0.8000186047174438,1.9272559353304666e-06,2.9862669697395576e-06,0.49951899999999905,0.667950999999996,-47.2802781695331,0.13368183710137835,-11272.311349615333,24271976.0,0.0026743794035267656,112.0,0.0
overhang045_ref,0.001005,407,0,0,0,98.0,0.8048245736442615,0.042802748735782846,0.06004454509353045,28.62512232405406,32.975208926093764,2.250675209884647,4019.8486,120.00370267813263,0.8000181579115472,2.7422108416093356e-06,5.119572713289927e-06,0.49951899999999905,0.667950999999996,-48.06534521867317,0.13590156188811683,-11914.785782165533,20663174.0,0.00308338113462146,112.0,0.0
overhang045_ref,0.001106,407,8,0,8,98.0,0.8048267551562069,0.04375349764778702,0.06125579619185818,28.667145771904984,35.513116104932166,-1.225417062142588,3748.8152,120.00447800982802,0.8000169904668308,3.3163789893611812e-06,7.557161543980341e-06,0.37523749999999795,0.7865990000000023,-49.51602865110566,0.1400032726607297,-12220.73327938093,19334364.0,0.0034454452617608275,112.0,0.0
overhang045_ref,0.001206,407,8,0,8,98.0,0.8048286701578438,0.0450415172291044,0.0629003662065317,29.45175297963145,37.73013964784579,2.123961306626417,3453.3967,120.00510385749386,0.8000152454545467,3.7798852291646193e-06,1.0086332246486489e-05,0.37523749999999795,0.7865990000000023,-51.48189556511056,0.14556163041020545,-12215.278539489767,24022422.0,0.0037672090637928613,112.0,0.0
