model,region,count,residual_rmse,residual_max_abs,lapp_rmse,lapz_rmse
M_material_only,full,1000,1.7725786180114143e-13,6.936118346345665e-13,10.315322339852145,10.315322339852138
M_material_only,interior_z_1h,960,1.8071988592640154e-13,6.936118346345665e-13,0.18147559875314972,0.1814755987531498
M_material_only,interior_z_2h,920,1.8431614479087974e-13,6.936118346345665e-13,2.862261201370999e-13,2.1489961766576428e-13
M_material_only,interior_z_3h,880,1.6370441073230627e-13,5.544453784978032e-13,2.7856935502546444e-13,2.1959223454408713e-13
M_material_only,interior_xz_2h,184,1.970331381697393e-13,6.875056079991282e-13,3.068622368379794e-13,2.302190547934136e-13
M_material_only,bottom_layer,20,5.790487364247838e-14,8.526512829121202e-14,51.56894872833552,51.56894872833547
M_material_only,top_layer,20,0.0,0.0,51.56894872833537,51.56894872833537
M_virtual_mode1,full,1000,1.7926165793632699e-13,6.936118346345665e-13,7.666161810859133,7.666161810859115
M_virtual_mode1,interior_z_1h,960,1.8071988592640154e-13,6.936118346345665e-13,0.18147559875314972,0.1814755987531498
M_virtual_mode1,interior_z_2h,920,1.8431614479087974e-13,6.936118346345665e-13,2.862261201370999e-13,2.1489961766576428e-13
M_virtual_mode1,interior_z_3h,880,1.6370441073230627e-13,5.544453784978032e-13,2.7856935502546444e-13,2.1959223454408713e-13
M_virtual_mode1,interior_xz_2h,184,1.970331381697393e-13,6.875056079991282e-13,3.068622368379794e-13,2.302190547934136e-13
M_virtual_mode1,bottom_layer,20,1.976678936498257e-13,2.8421709430404007e-13,38.320497404473436,38.32049740447324
M_virtual_mode1,top_layer,20,0.0,0.0,38.32049740447323,38.32049740447323
MB_ideal_boundary_particles,full,1000,2.2276072212804324e-13,9.198752870531735e-13,4.0126330780357114e-13,3.3247539984931664e-13
MB_ideal_boundary_particles,interior_z_1h,960,2.1555445636225713e-13,9.198752870531735e-13,3.0574802274517285e-13,2.1601759181101783e-13
MB_ideal_boundary_particles,interior_z_2h,920,2.1984680952865215e-13,9.198752870531735e-13,3.1053075376555967e-13,2.184961785449358e-13
MB_ideal_boundary_particles,interior_z_3h,880,1.992971763778179e-13,6.853406731011091e-13,3.0107332035800114e-13,2.232893220321268e-13
MB_ideal_boundary_particles,interior_xz_2h,184,1.970331381697393e-13,6.875056079991282e-13,3.068622368379794e-13,2.302190547934136e-13
MB_ideal_boundary_particles,bottom_layer,20,5.008574952860446e-13,7.066430773861043e-13,5.268927399437578e-13,3.5701405245107465e-14
MB_ideal_boundary_particles,top_layer,20,0.0,0.0,1.8126961097392362e-12,1.8126961097392362e-12
