mode,correction,count,scale_s,rmse,max_abs_error
0,M_raw,1000,0.9119699636070909,11.57556237828949,117.3485304447755
0,M_scalar_norm_by_s0,1000,0.9999999999999998,12.691757489095764,128.67587215332173
0,M_scalar_norm_by_modes_mean,1000,1.001131810771165,12.70612231666682,128.82150889141394
0,MB_ideal_boundary_particles,1000,0.9952870612291642,0.008389694843096884,0.011864820231420659
0,MLS_1d_quadratic,1000,0.9999037804557682,0.00017128434153296224,0.00024223263878342394
1,M_raw,1000,0.9115571497804769,34.784183200496415,351.800774251794
1,M_scalar_norm_by_s0,1000,0.9995473383520426,38.110148905582875,385.7591678352274
1,M_scalar_norm_by_modes_mean,1000,1.000678636795879,38.15328324098693,386.19577421645903
1,MB_ideal_boundary_particles,1000,0.9948363196446095,0.082728705166694,0.11699605684419367
1,MLS_1d_quadratic,1000,0.999134331082075,0.013869113452815426,0.01961388834267197
2,M_raw,1000,0.9107322051523427,58.16688684686488,585.5194073950255
2,M_scalar_norm_by_s0,1000,0.9986427640118184,63.632674591375064,642.038039366051
2,M_scalar_norm_by_modes_mean,1000,0.9997730386486733,63.70466683869629,642.7647049345032
2,MB_ideal_boundary_particles,1000,0.9939355810219713,0.2698879992945606,0.38167926892435844
2,MLS_1d_quadratic,1000,0.9975970684290937,0.10693891640126435,0.15123446591988454
3,M_raw,1000,0.9094964938125372,81.84509403975119,818.0181540448093
3,M_scalar_norm_by_s0,1000,0.9972877727411434,89.32724803585349,896.9792720029106
3,M_scalar_norm_by_modes_mean,1000,0.9984165137842832,89.42814260345428,897.9944828044754
3,MB_ideal_boundary_particles,1000,0.9925863323236758,0.6466712623155,0.9145312695633265
3,MLS_1d_quadratic,1000,0.9952952592088574,0.41037996294215634,0.5803649093189591
all,M_scalar_norm_by_s0_factor,0,0.9119699636070909,0,0
all,M_scalar_norm_by_modes_mean_factor,0,0.9109389530881118,0,0
