mode,field_label,lambda,model,region,count,scale_s,scale_vs_cv_eff_1p1175,rmse,max_abs_error,mean_abs_error
0,cos(lambda_0 y),1.5866629563584813,M_material_only,full,1000,0.9119699636070909,-0.205530036392909,11.57556237828949,117.3485304447755,1.5992630100743883
0,cos(lambda_0 y),1.5866629563584813,M_material_only,interior_z_1h,960,0.9258676380972195,-0.19163236190278043,0.3161565763415581,2.081599323367056,0.13951881990744816
0,cos(lambda_0 y),1.5866629563584813,M_material_only,interior_z_2h,920,0.9262588388121131,-0.1912411611878868,0.2415585160311451,0.7491914834856603,0.11992280577638671
0,cos(lambda_0 y),1.5866629563584813,M_material_only,interior_z_3h,880,0.9262588388121057,-0.19124116118789425,0.24155851603115086,0.7473036504635884,0.12086457590676923
0,cos(lambda_0 y),1.5866629563584813,M_material_only,interior_xz_2h,184,0.9952870612291709,-0.12221293877082906,0.008389694843084758,0.011840932509050273,0.007664496079885307
0,cos(lambda_0 y),1.5866629563584813,M_material_only,bottom_layer,20,0.6915351113492424,-0.42596488865075754,0.9922859735224429,1.634101114179991,0.7764750854213822
0,cos(lambda_0 y),1.5866629563584813,M_material_only,top_layer,20,-897.9687034273283,-899.0862034273282,81.81625601403202,117.3485304447755,72.48977206274051
0,cos(lambda_0 y),1.5866629563584813,M_virtual_mode1,full,1000,0.9120190924076633,-0.20548090759233661,11.563531160871527,117.34853044477494,1.5953653041373022
0,cos(lambda_0 y),1.5866629563584813,M_virtual_mode1,interior_z_1h,960,0.9258676380972195,-0.19163236190278043,0.3161565763415581,2.081599323367056,0.13951881990744816
0,cos(lambda_0 y),1.5866629563584813,M_virtual_mode1,interior_z_2h,920,0.9262588388121131,-0.1912411611878868,0.2415585160311451,0.7491914834856603,0.11992280577638671
0,cos(lambda_0 y),1.5866629563584813,M_virtual_mode1,interior_z_3h,880,0.9262588388121057,-0.19124116118789425,0.24155851603115086,0.7473036504635884,0.12086457590676923
0,cos(lambda_0 y),1.5866629563584813,M_virtual_mode1,interior_xz_2h,184,0.9952870612291709,-0.12221293877082906,0.008389694843084758,0.011840932509050273,0.007664496079885307
0,cos(lambda_0 y),1.5866629563584813,M_virtual_mode1,bottom_layer,20,0.6915351113492424,-0.42596488865075754,0.9922859735224429,1.634101114179991,0.7764750854213822
0,cos(lambda_0 y),1.5866629563584813,M_virtual_mode1,top_layer,20,-888.2104240942368,-889.3279240942368,81.73114568444774,117.34853044477494,72.29488676588622
0,cos(lambda_0 y),1.5866629563584813,MB_ideal_boundary_particles,full,1000,0.9952870612291642,-0.12221293877083572,0.008389694843096884,0.011864820231420659,0.007537012584881096
0,cos(lambda_0 y),1.5866629563584813,MB_ideal_boundary_particles,interior_z_1h,960,0.995287061229161,-0.12221293877083894,0.008389694843102572,0.01185884679790572,0.0076019256736051585
0,cos(lambda_0 y),1.5866629563584813,MB_ideal_boundary_particles,interior_z_2h,920,0.9952870612291688,-0.12221293877083117,0.008389694843088758,0.011840932509067148,0.007664496079888953
0,cos(lambda_0 y),1.5866629563584813,MB_ideal_boundary_particles,interior_z_3h,880,0.9952870612291607,-0.12221293877083927,0.008389694843102966,0.01181109540701586,0.007724686411719265
0,cos(lambda_0 y),1.5866629563584813,MB_ideal_boundary_particles,interior_xz_2h,184,0.9952870612291709,-0.12221293877082906,0.008389694843084758,0.011840932509050273,0.007664496079885307
0,cos(lambda_0 y),1.5866629563584813,MB_ideal_boundary_particles,bottom_layer,20,0.9952870612292517,-0.12221293877074824,0.011864073528297978,0.011864820231420659,0.011864073504798433
0,cos(lambda_0 y),1.5866629563584813,MB_ideal_boundary_particles,top_layer,20,0.9952870611442317,-0.12221293885576823,0.00013311059736444727,0.0001882468123670794,9.412340620877422e-05
1,cos(lambda_1 y),4.759988869075444,M_material_only,full,1000,0.9115571497804769,-0.20594285021952308,34.784183200496415,351.800774251794,5.578561258636759
1,cos(lambda_1 y),4.759988869075444,M_material_only,interior_z_1h,960,0.9254472013205086,-0.19205279867949132,2.2637815863339825,6.76360717730828,1.136726042260306
1,cos(lambda_1 y),4.759988869075444,M_material_only,interior_z_2h,920,0.9258378114614904,-0.19166218853850958,2.1770235687119146,6.76360717730828,1.0820653145583379
1,cos(lambda_1 y),4.759988869075444,M_material_only,interior_z_3h,880,0.9258378114614914,-0.19166218853850858,2.1770235687119075,6.76360717730828,1.0858286904886585
1,cos(lambda_1 y),4.759988869075444,M_material_only,interior_xz_2h,184,0.9948363196446098,-0.1226636803553901,0.08272870516669041,0.11699605684418302,0.07534081070351421
1,cos(lambda_1 y),4.759988869075444,M_material_only,bottom_layer,20,0.6909888045482211,-0.42651119545177885,8.934031194011633,14.710550605515174,6.994524374074476
1,cos(lambda_1 y),4.759988869075444,M_material_only,top_layer,20,-98.94767113359283,-100.06517113359284,245.29811901749122,351.800774251794,217.37068852926876
1,cos(lambda_1 y),4.759988869075444,M_virtual_mode1,full,1000,0.9116062456075589,-0.20589375439244106,34.74815088847453,351.80077425179365,5.566872065484999
1,cos(lambda_1 y),4.759988869075444,M_virtual_mode1,interior_z_1h,960,0.9254472013205086,-0.19205279867949132,2.2637815863339825,6.76360717730828,1.136726042260306
1,cos(lambda_1 y),4.759988869075444,M_virtual_mode1,interior_z_2h,920,0.9258378114614904,-0.19166218853850958,2.1770235687119146,6.76360717730828,1.0820653145583379
1,cos(lambda_1 y),4.759988869075444,M_virtual_mode1,interior_z_3h,880,0.9258378114614914,-0.19166218853850858,2.1770235687119075,6.76360717730828,1.0858286904886585
1,cos(lambda_1 y),4.759988869075444,M_virtual_mode1,interior_xz_2h,184,0.9948363196446098,-0.1226636803553901,0.08272870516669041,0.11699605684418302,0.07534081070351421
1,cos(lambda_1 y),4.759988869075444,M_virtual_mode1,bottom_layer,20,0.6909888045482211,-0.42651119545177885,8.934031194011633,14.710550605515174,6.994524374074476
1,cos(lambda_1 y),4.759988869075444,M_virtual_mode1,top_layer,20,-97.86341787436045,-98.98091787436046,245.0426425250187,351.80077425179365,216.78622887168075
1,cos(lambda_1 y),4.759988869075444,MB_ideal_boundary_particles,full,1000,0.9948363196446095,-0.12266368035539044,0.082728705166694,0.11699605684419367,0.07430824030579439
1,cos(lambda_1 y),4.759988869075444,MB_ideal_boundary_particles,interior_z_1h,960,0.9948363196446098,-0.1226636803553901,0.08272870516669129,0.11699605684419367,0.0749103910124473
1,cos(lambda_1 y),4.759988869075444,MB_ideal_boundary_particles,interior_z_2h,920,0.9948363196446094,-0.12266368035539055,0.08272870516669764,0.11699605684419367,0.07534081070353499
1,cos(lambda_1 y),4.759988869075444,MB_ideal_boundary_particles,interior_z_3h,880,0.9948363196446107,-0.12266368035538922,0.08272870516667873,0.11699605684419367,0.07560284275436169
1,cos(lambda_1 y),4.759988869075444,MB_ideal_boundary_particles,interior_xz_2h,184,0.9948363196446098,-0.1226636803553901,0.08272870516669041,0.11699605684418302,0.07534081070351421
1,cos(lambda_1 y),4.759988869075444,MB_ideal_boundary_particles,bottom_layer,20,0.9948363196446145,-0.12266368035538544,0.1169298171922485,0.11699605684411907,0.11692979841953814
1,cos(lambda_1 y),4.759988869075444,MB_ideal_boundary_particles,top_layer,20,0.9948363196370944,-0.12266368036290554,0.003936390291177693,0.005566896537217536,0.0027834482727112585
2,cos(lambda_2 y),7.933314781792407,M_material_only,full,1000,0.9107322051523427,-0.20676779484765728,58.16688684686488,585.5194073950255,10.62446998584099
2,cos(lambda_2 y),7.933314781792407,M_material_only,interior_z_1h,960,0.9246070243697008,-0.19289297563029917,6.15664423821982,18.82584463068357,3.120867126560059
2,cos(lambda_2 y),7.933314781792407,M_material_only,interior_z_2h,920,0.9249964555024086,-0.19250354449759133,6.0640650060413845,18.82584463068357,3.0321695410703815
2,cos(lambda_2 y),7.933314781792407,M_material_only,interior_z_3h,880,0.9249964555024086,-0.19250354449759133,6.064065006041386,18.82584463068357,3.0320912420150257
2,cos(lambda_2 y),7.933314781792407,M_material_only,interior_xz_2h,184,0.9939355810219722,-0.12356441897802772,0.26988799929451746,0.38163122606567157,0.24516636690483729
2,cos(lambda_2 y),7.933314781792407,M_material_only,bottom_layer,20,0.6898968877293307,-0.42760311227066927,24.835964495589188,40.88284900442826,19.463838569953506
2,cos(lambda_2 y),7.933314781792407,M_material_only,top_layer,20,-35.0267975683746,-36.1442975683746,408.32965391105836,585.5194073950255,361.95803864721324
2,cos(lambda_2 y),7.933314781792407,M_virtual_mode1,full,1000,0.9107812350855548,-0.20671876491444519,58.10703682551838,585.5194073950231,10.605001075501189
2,cos(lambda_2 y),7.933314781792407,M_virtual_mode1,interior_z_1h,960,0.9246070243697008,-0.19289297563029917,6.15664423821982,18.82584463068357,3.120867126560059
2,cos(lambda_2 y),7.933314781792407,M_virtual_mode1,interior_z_2h,920,0.9249964555024086,-0.19250354449759133,6.0640650060413845,18.82584463068357,3.0321695410703815
2,cos(lambda_2 y),7.933314781792407,M_virtual_mode1,interior_z_3h,880,0.9249964555024086,-0.19250354449759133,6.064065006041386,18.82584463068357,3.0320912420150257
2,cos(lambda_2 y),7.933314781792407,M_virtual_mode1,interior_xz_2h,184,0.9939355810219722,-0.12356441897802772,0.26988799929451746,0.38163122606567157,0.24516636690483729
2,cos(lambda_2 y),7.933314781792407,M_virtual_mode1,bottom_layer,20,0.6898968877293307,-0.42760311227066927,24.835964495589188,40.88284900442826,19.463838569953506
2,cos(lambda_2 y),7.933314781792407,M_virtual_mode1,top_layer,20,-34.636466395050945,-35.753966395050945,407.9033665250056,585.5194073950231,360.984593130223
2,cos(lambda_2 y),7.933314781792407,MB_ideal_boundary_particles,full,1000,0.9939355810219713,-0.12356441897802861,0.2698879992945606,0.38167926892435844,0.24245807329412172
2,cos(lambda_2 y),7.933314781792407,MB_ideal_boundary_particles,interior_z_1h,960,0.9939355810219713,-0.12356441897802861,0.2698879992945557,0.3816312260658421,0.24430626242466402
