case,part,time,specimen_count,platen_contamination,axial_strain_proxy,p_proxy,q_proxy,Fz_proxy,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max,Kplastic_max,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_mean,MccPlasticVolStrain_min,MccPlasticVolStrain_mean,MccPlasticVolStrain_max,MccEqPlasticStrain_mean,MccEqPlasticStrain_max,MccYieldFlag_count,MccYieldFlag_fraction,MccPlasticMultiplier_max,MccReturnIterations_mean,MccReturnIterations_max,MccYieldResidual_maxAbs,MccReturnStatus_counts
mcc_mild_yield,2,0.001005,407,0,3.5213260500543964e-06,18.493178463384115,31.445920446201495,0.11156239383737666,-16020.743816638296,3489.4607794851318,28763496.0,0.043205004,0.0049999999,5.1022213e-05,119.99577,120.00135990171987,120.04405,0.8000307715479129,-3.1296536e-06,1.0080403203464376e-06,3.2627573e-05,3.562119514471745e-06,5.1022213e-05,150,0.36855036855036855,1.0040231e-07,3.0884520884520885,21.0,3888.0342,-3:4|-1:92|0:161|1:150
mcc_mild_yield,3,0.001508,407,0,1.2303372170091587e-05,18.500652979475017,40.1175134150958,0.1279290951933325,-18898.22295791297,5553.3443161071,38999052.0,0.058520902,0.0049999999,0.00011550775,119.98267,120.00157511056517,120.09379,0.8000235949877162,-1.284435e-05,1.166933091449631e-06,6.9451722e-05,1.3976331229729735e-05,0.00011550775,130,0.3194103194103194,1.3913746e-07,2.8746928746928746,22.0,3759.2253,-1:157|0:120|1:130
mcc_mild_yield,4,0.002011,407,0,2.375143980007377e-05,32.046113058173624,41.89031210153565,0.16956962807656037,-16189.229487128725,13544.86527810674,48548364.0,0.07291884,0.0049999999,0.00017018846,119.96996,120.00008009828,120.12095,0.8000124674938589,-2.2254029e-05,5.886129884520875e-08,8.9552239e-05,2.6017208824103197e-05,0.00017018846,141,0.3464373464373464,1.3757466e-07,3.3366093366093366,24.0,4852.8984,-3:4|-1:86|0:176|1:141
mcc_mild_yield,5,0.002513,407,0,3.682086509998461e-05,48.343031414004976,40.71405820577413,0.21343089280250108,-13005.81871013194,18412.994539488733,52820388.0,0.079320081,0.0049999999,0.00022549932,119.94254,119.99695206388196,120.13522,0.8000028485995087,-4.2563934e-05,-2.258807819459459e-06,0.00010010731,4.000556691624079e-05,0.00022549932,182,0.44717444717444715,1.4592457e-07,3.7592137592137593,18.0,4846.7769,-1:40|0:185|1:182
mcc_mild_yield,6,0.003016,407,0,5.091539840004766e-05,57.74506311440621,42.96822997826775,0.24426352483765734,-13460.633326269448,28114.06278235987,54996124.0,0.082645603,0.005177726005218454,0.00028229438,119.89624,119.99215009827994,120.14246,0.7999993112039299,-7.6890188e-05,-5.817312604373463e-06,0.00010546569,5.471875539243245e-05,0.00028229438,173,0.4250614250614251,1.5871449e-07,4.117936117936118,22.0,4953.4565,-3:4|0:230|1:173
mcc_mild_yield,7,0.003519,407,0,6.57151932001443e-05,56.88484598216544,50.49191211028993,0.256013124905175,-18129.930876678507,31322.512762728158,56911092.0,0.085501015,0.005364573605300064,0.00033631627,119.83672,119.98605899262907,120.14488,0.8000082118181823,-0.00012102345,-1.0332020050565109e-05,0.00010725926,6.964280880373466e-05,0.00033631627,193,0.4742014742014742,1.619852e-07,4.5675675675675675,21.0,4702.5859,-3:4|0:210|1:193
mcc_mild_yield,8,0.004021,407,0,8.101679450006616e-05,50.03489328950861,59.12810998957015,0.25292418944165224,-26132.44833160832,38832.56892458556,59008048.0,0.088749997,0.005509173386397656,0.00040012356,119.77281,119.97813277641275,120.14371,0.800026188132678,-0.00016843175,-1.6207859861375918e-05,0.00010639787,8.62599886079115e-05,0.00040012356,266,0.6535626535626535,9.5768272e-08,5.909090909090909,23.0,4351.4722,-3:1|0:140|1:266
mcc_mild_yield,9,0.004524,407,0,9.63944103000991e-05,45.070092965208836,62.578420109926256,0.24539022859485826,-34540.38232099173,40679.67382274355,61165472.0,0.091865107,0.00562056852234564,0.00047462969,119.70541,119.96711938574953,120.13651,0.8000461753071247,-0.00021845516,-2.437272715460935e-05,0.00010106236,0.00010642434344142503,0.00047462969,348,0.855036855036855,9.8129874e-08,7.503685503685504,21.0,2744.1169,0:59|1:348
mcc_mild_yield,10,0.005027,407,0,0.0001117352160001639,43.96820416170351,63.49020755965595,0.2439933902539333,-42177.925609907645,49510.49144842366,62624752.0,0.094204821,0.005704942848729977,0.00055048795,119.63519,119.95456734643724,120.12631,0.8000640202948412,-0.0002706032,-3.3680283164255515e-05,9.3520954e-05,0.000127940033753661,0.00055048795,389,0.9557739557739557,1.0009164e-07,8.076167076167076,24.0,1428.3448,0:18|1:389
mcc_mild_yield,11,0.005529,407,0,0.00012678899500004337,45.472043552350506,63.13928598719893,0.247583924377175,-48774.82243347713,52279.162918316884,63818784.0,0.09590856,0.005770011133794526,0.00062738446,119.56279,119.94183304668279,120.11368,0.8000793262653564,-0.00032439685,-4.3125988685749384e-05,8.4168176e-05,0.00014980422823734647,0.00062738446,406,0.9975429975429976,1.0179133e-07,8.663390663390663,21.0,168.19905,0:1|1:406
mcc_mild_yield,12,0.006032,407,0,0.00014153063300006985,47.63815545470927,62.68073360171992,0.25284411060924417,-55119.16709050431,62262.306240746104,64803080.0,0.097447231,0.0058191159832406,0.00070687983,119.48885,119.92931896805904,120.09983,0.8000937086732199,-0.00037936727,-5.241123137088451e-05,7.3920412e-05,0.00017159584625970513,0.00070687983,407,1.0,1.0325791e-07,8.938574938574938,24.0,0.00011265323,1:407
