case,frame_index,kind,mode,surface_excess_count,surface_excess_max,surface_excess_maxAbs,surface_excess_mean,surface_excess_median,surface_excess_p90_abs,surface_excess_p95_abs,surface_excess_p99_abs,surface_threshold,time
compression_raw,0,compression,4,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0
compression_raw,0,compression,4,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
compression_raw,0,compression,4,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
compression_raw,1,compression,4,398,64.31556521481,64.31556521481,55.15174627936767,55.08259601707,62.19167511738,62.342100006043495,64.3155558890996,0.85,0.001005
compression_raw,1,compression,4,350,64.31556521481,64.31556521481,54.32623389379227,54.471024522,62.191669088752,62.191674439893504,64.3155574914932,0.9,0.001005
compression_raw,1,compression,4,278,64.31556521481,64.31556521481,52.46162337180979,53.357866705845,60.414649614485,60.414659560728005,64.3155599854161,0.95,0.001005
compression_raw,2,compression,4,398,225.919312718,225.919312718,212.9945755027718,213.87521108279998,223.72688707706,225.91928827515,225.91930340514898,0.85,0.002011
compression_raw,2,compression,4,350,223.0637479171,223.0637479171,211.37237879819682,212.1828384533,223.06371727627,223.06373220761,223.063740194148,0.9,0.002011
compression_raw,2,compression,4,278,219.9236325472,219.9236325472,208.65058416807733,210.49309822195,218.18320911576,219.92360733929502,219.92362271654804,0.95,0.002011
compression_raw,3,compression,4,398,158.9806535926,158.9806535926,108.49288909479367,104.1191813421,158.98055207299,158.980585175895,158.980605171649,0.85,0.003016
compression_raw,3,compression,4,350,158.9806535926,158.9806535926,112.14531560443109,104.15178286535,158.98056008277,158.98059033699002,158.980608199633,0.9,0.003016
compression_raw,3,compression,4,278,158.9806535926,158.9806535926,119.93714598422942,104.1518276431,158.98056927726,158.98059209322,158.98061256053,0.95,0.003016
compression_raw,4,compression,4,398,30.04705479088,60.10238712769,-16.885629870795157,-21.504743508719997,49.226243256904,56.0259709276265,60.102279711085195,0.85,0.004022
compression_raw,4,compression,4,350,30.04705479088,60.10238712769,-17.50493048344721,-22.589102870525,49.22626441989701,56.025976518903,60.1022946438084,0.9,0.004022
compression_raw,4,compression,4,278,30.04705479088,60.10238712769,-16.37539407764832,-34.981614573215,56.025906831469,56.0259955110765,60.102313842088996,0.95,0.004022
compression_raw,5,compression,4,398,47.7562547417,48.06883209047,0.6475456596174084,-5.331055435490001,38.305130516575005,47.756235986219494,48.0686887851864,0.85,0.005027
compression_raw,5,compression,4,350,44.77695537454,48.06883209047,-4.853597082525402,-10.191269863070001,38.304971605595,38.305101848425,48.0687042488088,0.9,0.005027
