analytical_excess_fit,analytical_excess_q0,analytical_total_fit,analytical_total_q0,depth_from_top_m,eta_depth,run,sim_excess,sim_porepress,time_s,z_m
10000.0,9987.267655481213,19711.900000981,19699.167656462214,0.9900000001,1.0,gpu,10000.0,19760.95041752,0.0,0.0049999999
10000.0,9987.267655481213,19711.900000981,19699.167656462214,0.9900000001,1.0,gpu,10000.0,19760.95041752,0.0,0.0049999999
10000.0,9987.267655481213,19711.900000981,19699.167656462214,0.9900000001,1.0,gpu,10000.0,19760.95041752,0.0,0.0049999999
10000.0,9987.267655481213,19711.900000981,19699.167656462214,0.9900000001,1.0,gpu,10000.0,19760.95041752,0.0,0.0049999999
10000.0,9987.267655481213,19711.900000981,19699.167656462214,0.9900000001,1.0,gpu,10000.0,19760.95041752,0.0,0.0049999999
10000.0,9987.267655481213,19711.900000981,19699.167656462214,0.9900000001,1.0,gpu,10000.0,19760.95041752,0.0,0.0049999999
10000.0,9987.267655481213,19711.900000981,19699.167656462214,0.9900000001,1.0,gpu,10000.0,19760.95041752,0.0,0.0049999999
10000.0,9987.267655481213,19711.900000981,19699.167656462214,0.9900000001,1.0,gpu,10000.0,19760.95041752,0.0,0.0049999999
10000.0,9987.267655481213,19711.900000981,19699.167656462214,0.9900000001,1.0,gpu,10000.0,19760.95041752,0.0,0.0049999999
10000.0,9987.267655481213,19711.900000981,19699.167656462214,0.9900000001,1.0,gpu,10000.0,19760.95041752,0.0,0.0049999999
10013.759432122422,10001.00956862062,19627.55943212242,19614.80956862062,0.98,0.989898989799,gpu,10000.0,19662.85041332,0.0,0.015
10013.759432122422,10001.00956862062,19627.55943212242,19614.80956862062,0.98,0.989898989799,gpu,10000.0,19662.85041332,0.0,0.015
10013.759432122422,10001.00956862062,19627.55943212242,19614.80956862062,0.98,0.989898989799,gpu,10000.0,19662.85041332,0.0,0.015
10013.759432122422,10001.00956862062,19627.55943212242,19614.80956862062,0.98,0.989898989799,gpu,10000.0,19662.85041332,0.0,0.015
10013.759432122422,10001.00956862062,19627.55943212242,19614.80956862062,0.98,0.989898989799,gpu,10000.0,19662.85041332,0.0,0.015
10013.759432122422,10001.00956862062,19627.55943212242,19614.80956862062,0.98,0.989898989799,gpu,10000.0,19662.85041332,0.0,0.015
10013.759432122422,10001.00956862062,19627.55943212242,19614.80956862062,0.98,0.989898989799,gpu,10000.0,19662.85041332,0.0,0.015
10013.759432122422,10001.00956862062,19627.55943212242,19614.80956862062,0.98,0.989898989799,gpu,10000.0,19662.85041332,0.0,0.015
10013.759432122422,10001.00956862062,19627.55943212242,19614.80956862062,0.98,0.989898989799,gpu,10000.0,19662.85041332,0.0,0.015
10013.759432122422,10001.00956862062,19627.55943212242,19614.80956862062,0.98,0.989898989799,gpu,10000.0,19662.85041332,0.0,0.015
10025.343229337966,10012.578616946466,19541.043229337964,19528.278616946467,0.97,0.9797979796990103,gpu,10000.0,19564.75040913,0.0,0.025
10025.343229337966,10012.578616946466,19541.043229337964,19528.278616946467,0.97,0.9797979796990103,gpu,10000.0,19564.75040913,0.0,0.025
10025.343229337966,10012.578616946466,19541.043229337964,19528.278616946467,0.97,0.9797979796990103,gpu,10000.0,19564.75040913,0.0,0.025
10025.343229337966,10012.578616946466,19541.043229337964,19528.278616946467,0.97,0.9797979796990103,gpu,10000.0,19564.75040913,0.0,0.025
10025.343229337966,10012.578616946466,19541.043229337964,19528.278616946467,0.97,0.9797979796990103,gpu,10000.0,19564.75040913,0.0,0.025
10025.343229337966,10012.578616946466,19541.043229337964,19528.278616946467,0.97,0.9797979796990103,gpu,10000.0,19564.75040913,0.0,0.025
10025.343229337966,10012.578616946466,19541.043229337964,19528.278616946467,0.97,0.9797979796990103,gpu,10000.0,19564.75040913,0.0,0.025
10025.343229337966,10012.578616946466,19541.043229337964,19528.278616946467,0.97,0.9797979796990103,gpu,10000.0,19564.75040913,0.0,0.025
10025.343229337966,10012.578616946466,19541.043229337964,19528.278616946467,0.97,0.9797979796990103,gpu,10000.0,19564.75040913,0.0,0.025
10025.343229337966,10012.578616946466,19541.043229337964,19528.278616946467,0.97,0.9797979796990103,gpu,10000.0,19564.75040913,0.0,0.025
10009.738394897182,9996.993651118508,19427.338394897182,19414.593651118506,0.96,0.9696969695990205,gpu,10000.0,19466.65040493,0.0,0.035
10009.738394897182,9996.993651118508,19427.338394897182,19414.593651118506,0.96,0.9696969695990205,gpu,10000.0,19466.65040493,0.0,0.035
