Tv,analytical_q0_bottom,bottom_error_q0,bottom_excess_mean,bottom_relative_error_q0,run,time_s
0.0,9987.267655481213,12.732344518786704,10000.0,0.0012732344518786704,gpu,0.0
0.0011155651463704602,10000.0,-3792.880642361003,6207.119357638997,-0.3792880642361003,gpu,0.004
0.0022311302927409205,10000.000000000004,-6967.039496528003,3032.9605034720003,-0.6967039496528002,gpu,0.008
0.0033466954391113807,10000.0,-8519.590603298999,1480.4093967010003,-0.8519590603298999,gpu,0.012
0.004462260585481841,10000.000000000002,-9277.400933159703,722.5990668402997,-0.9277400933159703,gpu,0.016
0.005577825731852301,10000.0,-9647.2907986111,352.7092013888998,-0.96472907986111,gpu,0.02
0.0066933908782227615,9999.999999999998,-9827.835286458298,172.16471354170005,-0.9827835286458297,gpu,0.024
0.007808956024593221,9999.999999999976,-9915.959682888437,84.04031711153999,-0.9915959682888437,gpu,0.028
0.008924521170963682,9999.99999999857,-9958.97350395907,41.026496039499996,-0.9958973503959071,gpu,0.032
0.010040086317334143,9999.999999965958,-9979.968692321647,20.03130764431,-0.9979968692321647,gpu,0.036000000000000004
0.011155651463704602,9999.999999568063,-9990.216511612334,9.783487955729004,-0.9990216511612334,gpu,0.04
0.012271216610075061,9999.999996532408,-9995.218504934914,4.781491597493998,-0.9995218504934914,gpu,0.044
0.013386781756445523,9999.99998025862,-9997.659977986757,2.340002271863,-0.9997659977986757,gpu,0.048
0.014502346902815983,9999.999913744308,-9998.85161081835,1.1483029259579998,-0.999885161081835,gpu,0.052000000000000005
0.015617912049186443,9999.99969395139,-9999.433063693888,0.5666302575009,-0.9999433063693889,gpu,0.056
0.016733477195556904,9999.999080845591,-9999.716320622838,0.2827602227534999,-0.9999716320622838,gpu,0.06
0.017849042341927364,9999.997589571547,-9999.853433486427,0.14415608511990005,-0.9999853433486428,gpu,0.064
0.018964607488297824,9999.994347400092,-9999.917844573612,0.07650282647954999,-0.9999917844573613,gpu,0.068
0.020080172634668287,9999.987924669735,-9999.94444361119,0.04348105854478001,-0.999994444361119,gpu,0.07200000000000001
0.021195737781038743,9999.976154560876,-9999.948791575132,0.027362985743820005,-0.9999948791575133,gpu,0.076
0.022311302927409203,9999.955958925728,-9999.936463100756,0.01949582497218,-0.9999936463100756,gpu,0.08
