H_effective_m,Tv,bottom_excess_mean_Pa,bottom_no_flux_proxy_Pa,cv_m2_s,run,time_s,top_drained_excess_maxAbs_Pa,volume_mean_excess_Pa
0.9900000001,0.0,10000.0,0.0,0.2733413500446425,gpu,0.0,0.0,9800.0
0.9900000001,0.0011155651463704602,6207.119357638997,0.04066450819664169,0.2733413500446425,gpu,0.004,0.0,3953.61609443873
0.9900000001,0.0022311302927409205,3032.9605034720003,0.020047111499479797,0.2733413500446425,gpu,0.008,0.0,1929.18481498167
0.9900000001,0.0033466954391113807,1480.4093967010003,0.009751034150212945,0.2733413500446425,gpu,0.012,0.0,941.6448076286963
0.9900000001,0.004462260585481841,722.5990668402997,0.0047611635948214825,0.2733413500446425,gpu,0.016,0.0,459.62415526040866
0.9900000001,0.005577825731852301,352.7092013888998,0.0023233676898257727,0.2733413500446425,gpu,0.02,0.0,224.3482234801124
0.9900000001,0.0066933908782227615,172.16471354170005,0.0011522482700740966,0.2733413500446425,gpu,0.024,0.0,109.5092406144453
0.9900000001,0.007808956024593221,84.04031711153999,0.0005567847859850872,0.2733413500446425,gpu,0.028,0.0,53.45594365929308
0.9900000001,0.008924521170963682,41.026496039499996,0.0002716663219857196,0.2733413500446425,gpu,0.032,0.0,26.096136965450103
0.9900000001,0.010040086317334143,20.03130764431,0.0001312643134987468,0.2733413500446425,gpu,0.036000000000000004,0.0,12.741722581403804
0.9900000001,0.011155651463704602,9.783487955729004,6.535188520473412e-05,0.2733413500446425,gpu,0.04,0.0,6.223388510419166
0.9900000001,0.012271216610075061,4.781491597493998,3.114725679864705e-05,0.2733413500446425,gpu,0.044,0.0,3.041768081357589
0.9900000001,0.013386781756445523,2.340002271863,1.526211469915495e-05,0.2733413500446425,gpu,0.048,0.0,1.4888091754942274
0.9900000001,0.014502346902815983,1.1483029259579998,7.192868049843426e-06,0.2733413500446425,gpu,0.052000000000000005,0.0,0.7308046171302316
0.9900000001,0.015617912049186443,0.5666302575009,3.385898664998166e-06,0.2733413500446425,gpu,0.056,0.0,0.3608199169700023
0.9900000001,0.016733477195556904,0.2827602227534999,1.5191969497951874e-06,0.2733413500446425,gpu,0.06,0.0,0.1802587688952354
0.9900000001,0.017849042341927364,0.14415608511990005,5.898665250414492e-07,0.2733413500446425,gpu,0.064,0.0,0.09209690882854446
0.9900000001,0.018964607488297824,0.07650282647954999,1.4101269150967877e-07,0.2733413500446425,gpu,0.068,0.0,0.0490644638067985
0.9900000001,0.020080172634668287,0.04348105854478001,-7.815197448912681e-08,0.2733413500446425,gpu,0.07200000000000001,0.0,0.02806054308126575
0.9900000001,0.021195737781038743,0.027362985743820005,-1.8148030049569552e-07,0.2733413500446425,gpu,0.076,0.0,0.017808094297873014
0.9900000001,0.022311302927409203,0.01949582497218,-2.3927323299782755e-07,0.2733413500446425,gpu,0.08,0.0,0.012804257212295271
