DivVel_maxAbs,PorePressRate_maxAbs,bottom_excess_mean,bottom_no_flux_proxy,bottom_reference_excess_mean,run,time_s,top_drained_excess_maxAbs,velocity_max
0.0,4187422000.0,10000.0,0.0,10000.0,gpu,0.0,0.0,0.0
0.0,58630092.0,6207.119357638997,0.04066450819664169,6207.0786931308,gpu,0.004,0.0,0.0
0.0,28526248.0,3032.9605034720003,0.020047111499479797,3032.940456360501,gpu,0.008,0.0,0.0
0.0,13923688.0,1480.4093967010003,0.009751034150212945,1480.3996456668501,gpu,0.012,0.0,0.0
0.0,6796274.0,722.5990668402997,0.0047611635948214825,722.5943056767048,gpu,0.016,0.0,0.0
0.0,3317361.2,352.7092013888998,0.0023233676898257727,352.70687802121,gpu,0.02,0.0,0.0
0.0,1619289.4,172.16471354170005,0.0011522482700740966,172.16356129342998,gpu,0.024,0.0,0.0
0.0,790457.12,84.04031711153999,0.0005567847859850872,84.039760326754,gpu,0.028,0.0,0.0
0.0,385899.31,41.026496039499996,0.0002716663219857196,41.02622437317801,gpu,0.032,0.0,0.0
0.0,188434.08,20.03130764431,0.0001312643134987468,20.031176379996502,gpu,0.036000000000000004,0.0,0.0
0.0,92050.891,9.783487955729004,6.535188520473412e-05,9.7834226038438,gpu,0.04,0.0,0.0
0.0,45005.441,4.781491597493998,3.114725679864705e-05,4.7814604502372,gpu,0.044,0.0,0.0
0.0,22042.758,2.340002271863,1.526211469915495e-05,2.3399870097483007,gpu,0.048,0.0,0.0
0.0,10834.602,1.1483029259579998,7.192868049843426e-06,1.14829573308995,gpu,0.052000000000000005,0.0,0.0
0.0,5364.6328,0.5666302575009,3.385898664998166e-06,0.566626871602235,gpu,0.056,0.0,0.0
0.0,2693.5999,0.2827602227534999,1.5191969497951874e-06,0.2827587035565501,gpu,0.06,0.0,0.0
0.0,1390.9902,0.14415608511990005,5.898665250414492e-07,0.144155495253375,gpu,0.064,0.0,0.0
0.0,755.20746,0.07650282647954999,1.4101269150967877e-07,0.07650268546685848,gpu,0.068,0.0,0.0
0.0,443.52484,0.04348105854478001,-7.815197448912681e-08,0.0434811366967545,gpu,0.07200000000000001,0.0,0.0
0.0,292.02969,0.027362985743820005,-1.8148030049569552e-07,0.0273631672241205,gpu,0.076,0.0,0.0
0.0,218.76566,0.01949582497218,-2.3927323299782755e-07,0.019496064245413,gpu,0.08,0.0,0.0
