bottom_rmse_q0_Pa,case,final_velocity_max_mps,peak_excess_maxAbs_Pa,profile_rmse_q0_Pa,route
9278.642022044087,L4 consistent initial state gpu,0.0,10000.0,8712.184562578706,uniform initial excess with zero effective-stress increment
7287.235318394663,L3a initial-pressure gate,0.0,10000.0,9128.622705131094,initial pressure diffusion gate
272384.90554238076,L3b mechanical top-load,0.1356249600000011,589684.2742723,440096.41205961816,CPU top material surface force
220616.71431923972,L2 AccInput,0.03754387100000044,624556.0838005,47912.45556285427,AccInput body acceleration
