case_id,route,operator,bottom_rmse,final_profile_rmse,top_drained_residual_final,bottom_noflux_proxy_final,lateral_noflux_proxy_final,peak_abs_excess
l3c_mode1,feedback_off,1,2766.35730713335,6426.865333360469,100.2006003647,0.034354304997577856,2.2737367544323206e-13,10000.0
l3c_mode2,feedback_off,2,9128.709973071378,9674.740415175316,0.0,0.0,0.0,10000.0
l5_mode1,feedback_on,1,12663.492097211698,10833.837125284848,0.0,-0.23114587800046138,1.1368683772161603e-12,10000.0
l5_mode2,feedback_on,2,460282654.2305344,195772887.22702125,0.0,12.70475373112,596775.037925005,1177429286.014
