case_id,route,operator,feedback,status,code,excluded,dtmin_adjustments,runtime_s,steps,frames,final_time_s,p_w0,boundary_log_found,drained_pairs,noflux_pairs,bottom_noflux_pairs,ordinary_solid_noflux_pairs,boundary_pairs,inactive_boundary_neighbours,unique_drained,unique_noflux,unique_bottom_noflux,unique_ordinary_solid_noflux,normals_used,mls_samples,mls_fallback,reconstructed_excess_min,reconstructed_excess_max
l3c_mode1,feedback_off,1,0,ok,0,0,0,112.282028,5244,6,0.005,10000.0,no,,,,,,,,,,,,,,,
l3c_mode2,feedback_off,2,0,ok,0,0,0,120.194023,5244,6,0.005,10000.0,yes,0,1180,490,690,1180,0,0,40,20,20,1180,28400,0,10000.0,10000.0
l5_mode1,feedback_on,1,1,ok,0,0,0,138.702209,5244,6,0.005,10000.0,no,,,,,,,,,,,,,,,
l5_mode2,feedback_on,2,1,ok,0,973,10252,61.823784,5244,6,0.005,10000.0,yes,0,1180,490,690,1180,0,0,40,20,20,1180,28400,0,10000.0,10000.0
