case_id,time_s,Tv,volume_mean_excess,peak_abs_excess,bottom_excess,analytical_bottom_excess,bottom_error,profile_rmse
l3c_mode1,0.0,0.0,9800.0,10000.0,10000.0,10008.639138674438,-8.639138674438072,998.1805534690757
l3c_mode1,0.001,0.00027889128659261506,6926.495059610685,9825.570152762,9825.173659869002,10000.000000000002,-174.8263401309996,3933.094052869827
l3c_mode1,0.002,0.0005577825731852301,5687.518269543497,8726.555320965,8725.773394068001,9999.999999999996,-1274.2266059319954,4686.244182809407
l3c_mode1,0.003,0.0008366738597778452,4734.102358171518,7400.485010456,7399.730330352,9999.999999999996,-2600.269669647996,5314.342042452199
l3c_mode1,0.004,0.0011155651463704602,3953.610559558994,6207.762175054,6207.111043593001,10000.0,-3792.8889564069987,5897.81497174193
l3c_mode1,0.005,0.0013944564329630752,3303.7049974663255,5192.773810351,5192.225547441999,10000.000000000002,-4807.774452558003,6426.865333360469
l3c_mode2,0.0,0.0,9800.0,10000.0,10000.0,10008.639138674438,-8.639138674438072,998.1805534690757
l3c_mode2,0.001,0.00027889128659261506,0.0,0.0,0.0,10000.000000000002,-10000.000000000002,9841.834641407626
l3c_mode2,0.002,0.0005577825731852301,0.0,0.0,0.0,9999.999999999996,-9999.999999999996,9786.15825610968
l3c_mode2,0.003,0.0008366738597778452,0.0,0.0,0.0,9999.999999999996,-9999.999999999996,9743.220525615827
l3c_mode2,0.004,0.0011155651463704602,0.0,0.0,0.0,10000.0,-10000.0,9706.874790249864
l3c_mode2,0.005,0.0013944564329630752,0.0,0.0,0.0,10000.000000000002,-10000.000000000002,9674.740415175316
l5_mode1,0.0,0.0,9800.0,10000.0,10000.0,10008.639138674438,-8.639138674438072,998.1805534690757
l5_mode1,0.001,0.00027888879630729927,3742.097383932323,8158.673214957,8155.664566988,10000.000000000004,-1844.3354330120037,6689.558055885784
l5_mode1,0.002,0.0005577659386780379,-1868.1370767222454,3638.058989392,-3636.070154763999,9999.999999999996,-13636.070154763995,11757.022101666938
l5_mode1,0.003,0.0008366343987328124,-5410.443336613593,8186.760307279,-8184.250306261997,10000.000000000002,-18184.250306261998,15446.047187982249
l5_mode1,0.004,0.00111551020602762,-4523.100723596225,7235.253064366,-7230.190763706998,9999.999999999998,-17230.190763706996,14483.027527957935
l5_mode1,0.005,0.0013944023346983494,-1108.8524351791696,2054.064379113,-2053.783743394,9999.999999999995,-12053.783743393995,10833.837125284848
l5_mode2,0.0,0.0,9800.0,10000.0,10000.0,10008.639138674438,-8.639138674438072,998.1805534690757
l5_mode2,0.001,0.0003023487482494988,-68716479.9803739,1177429286.014,1127467640.139,9999.999999999996,1127457640.139,146053405.38243398
l5_mode2,0.002,0.0006414610713252246,61737312.639121376,1012664958.307,-0.2099168931873,9999.999999999998,-10000.209916893185,85614902.62912925
l5_mode2,0.003,0.0010043790990614105,149506058.46303123,981808033.4879,-248.6479825474,10000.000000000004,-10248.647982547403,173968338.13600707
l5_mode2,0.004,0.0015622916128768187,135945341.66450638,981808925.7591,-22.29459722844,10000.000000000004,-10022.294597228443,178588763.13481453
l5_mode2,0.005,0.0023383506508329833,149059506.1988909,302558099.708,12.70475373112,10000.0,-9987.29524626888,195772887.22702125
