case_id,time_s,top_drained_residual,bottom_noflux_proxy,lateral_noflux_proxy
l3c_mode1,0.0,10000.0,0.0,0.0
l3c_mode1,0.001,256.7215910272,0.024834597506924183,-4.547473508864641e-13
l3c_mode1,0.002,181.1910731588,0.04899308000130986,-4.547473508864641e-13
l3c_mode1,0.003,145.23235646,0.04728790099852631,3.183231456205249e-12
l3c_mode1,0.004,120.1773659046,0.04079996900327387,1.5916157281026244e-12
l3c_mode1,0.005,100.2006003647,0.034354304997577856,2.2737367544323206e-13
l3c_mode2,0.0,10000.0,0.0,0.0
l3c_mode2,0.001,0.0,0.0,0.0
l3c_mode2,0.002,0.0,0.0,0.0
l3c_mode2,0.003,0.0,0.0,0.0
l3c_mode2,0.004,0.0,0.0,0.0
l3c_mode2,0.005,0.0,0.0,0.0
l5_mode1,0.0,10000.0,0.0,0.0
l5_mode1,0.001,58.49279535924,0.3066340949990263,2.2737367544323206e-13
l5_mode1,0.002,0.0,0.3435929405013667,-4.547473508864641e-13
l5_mode1,0.003,0.0,0.043776213002274744,1.8189894035458565e-12
l5_mode1,0.004,0.0,-0.12208116499823518,-3.637978807091713e-12
l5_mode1,0.005,0.0,-0.23114587800046138,1.1368683772161603e-12
l5_mode2,0.0,10000.0,0.0,0.0
l5_mode2,0.001,0.0,-12234821.0,1776890.944595255
l5_mode2,0.002,0.0,-0.2099168931873,-189895.87119343132
l5_mode2,0.003,0.0,-248.6479825474,13175024.271896541
l5_mode2,0.004,0.0,-22.29459722844,2921329.7097729295
l5_mode2,0.005,0.0,12.70475373112,596775.037925005
