time_s,nfluid,vel_max,vel_mean,mean_settlement_m,PorePress_max,PorePress_mean,ExcessPorePress_maxAbs,ExcessPorePress_mean,bottom_excess_mean,top_drained_excess_maxAbs,bottom_no_flux_proxy,PorePressRate_maxAbs,DivVel_contribution_maxAbs,hydraulic_contribution_maxAbs,PorePressureAccelDiff_maxAbs
0,1000,0,0,0,9760.95042,4905.00021,0,0,0,0,0,17.464165,0,2.61962491e-08,0
0.005,1000,3.789771e-06,1.7221769e-06,-3.24e-09,9765.78591,4910.23308,5.96114946,5.23283571,4.83549288,5.96114946,-8.8552422e-05,2862.853,1.3093053e-05,8.80092966e-06,0.000985872
0.01,1000,6.9526586e-06,3.35629901e-06,-1.6305e-08,9783.81259,4928.21026,23.8087633,23.2098913,22.8621657,23.8087633,-0.000168354531,4631.0049,1.4010491e-05,7.06551988e-06,0.00080179883
0.015,1000,8.0096133e-06,3.9147865e-06,-3.4979e-08,9808.62304,4952.92419,48.3378947,47.9236323,47.6726176,48.3378947,-0.000193999084,5788.0898,1.4105255e-05,5.42318247e-06,0.00056114199
0.02,1000,7.9437441e-06,3.89118403e-06,-5.4654e-08,9834.69952,4978.95414,74.2824156,73.953392,73.7490913,74.2824156,-0.000186555912,5306.2856,1.4059778e-05,6.10412029e-06,0.00044026255
0.025,1000,7.6299129e-06,3.73360043e-06,-7.4189e-08,9859.94383,5004.1879,99.4977625,99.1869653,98.9933946,99.4977625,-0.000183937462,5052.9658,1.4034911e-05,6.46278287e-06,0.00040380363
0.03,1000,7.423143e-06,3.62714575e-06,-9.0833e-08,9884.27019,5028.51776,123.832294,123.51665,123.319743,123.832294,-0.000181816745,5221.7266,1.4045691e-05,6.20882467e-06,0.00040095652
0.035,1000,7.3545243e-06,3.59113247e-06,-1.10278e-07,9908.15946,5052.41144,147.73316,147.410154,147.209012,147.73316,-0.000167078565,4918.6172,1.4051967e-05,6.66942406e-06,0.00040163269
0.04,1000,7.3635988e-06,3.59491652e-06,-1.28317e-07,9931.96438,5076.21941,171.539762,171.217942,171.01393,171.539762,-0.000150080005,7128.8369,1.409592e-05,3.40831091e-06,0.00039978782
0.045,1000,7.3916544e-06,3.60942926e-06,-1.44142e-07,9955.83779,5100.09206,195.412559,195.090422,194.887329,195.412559,-0.000174012595,5067.0327,1.4101441e-05,6.50266667e-06,0.00039391304
0.05,1000,7.4167147e-06,3.62247048e-06,-1.64297e-07,9979.79994,5119.66651,219.358357,214.664686,218.849474,3.46887532e-08,-0.000182063795,91857416,1.4139778e-05,0.137781131,3.8630676
0.055,1000,0.00012187569,6.28449814e-05,4.3915e-08,9720.15951,4882.34948,40.7973001,-22.6502909,-40.7908427,5.70022806e-07,-0.00402461612,533265.44,0.00083717494,0.000604176417,0.038335767
0.06,1000,5.4409389e-05,2.50656354e-05,1.8272e-08,9721.90855,4880.48727,39.0680588,-24.5127633,-39.0418226,2.54478216e-07,0.00113776936,994491.25,0.00038517057,0.00112530519,0.047329389
0.065,1000,6.3855723e-06,3.54319332e-06,-1.8676e-08,9787.57983,4921.82123,26.6362945,16.8208458,26.6294267,1.54906843e-08,0.000396105764,386901.12,7.1978589e-05,0.000557162464,0.027214548
0.07,1000,1.2926424e-05,7.21860871e-06,3.213e-09,9758.92176,4903.72519,2.03246151,-1.27499109,-2.02863715,6.04608061e-08,-0.000428787958,43619.52,7.2393734e-05,5.47258574e-05,0.0038016394
0.075,1000,4.6886221e-06,2.22732701e-06,2.243e-09,9755.78785,4901.71533,5.1647357,-3.28486173,-5.16254934,2.19296084e-08,8.97624048e-05,113302.3,3.6244688e-05,0.000147474602,0.0065309615
