case,layout,specimen_count,edge_support_core_ratio,edge_neighbor_mean,cap_support_core_ratio,cap_neighbor_mean,max_return_status_minus3,max_return_status_minus1,solver_status
M3m_overhang045_cartesian_dp001,Cartesian cut-cell with platen overhang,407,0.828,96.25,,,8,20,CPU diagnostic already run
M3n_dp0075_cartesian_overhang045,Higher-resolution Cartesian cut-cell,1035,0.851,87.5,0.894,,16,52,CPU diagnostic already run
M3o_radial_ring_smooth_edge_prototype,"External radial-ring fan-like specimen, geometry only",555,0.7487012377321488,113.635687732342,1.0911159685261342,115.92424242424242,,,not run; no direct point-cloud import path confirmed
