id,kind,mk,x,y,z,r,theta,z_over_H,region,volume_weight
1,specimen,0,0.0,0.0,0.0,0.0,0.0,0.0,bottom_cap_zone,7.853981633974483e-07
2,specimen,0,0.009898640443660435,0.0014201821598407527,0.0,0.01,0.14250000000000002,0.0,bottom_cap_zone,7.853981633974483e-07
3,specimen,0,0.005995175346496156,0.008003616217983263,0.0,0.01,0.9278981633974484,0.0,bottom_cap_zone,7.853981633974483e-07
4,specimen,0,-0.0014201821598407527,0.009898640443660435,0.0,0.01,1.7132963267948966,0.0,bottom_cap_zone,7.853981633974483e-07
5,specimen,0,-0.008003616217983263,0.005995175346496156,0.0,0.01,2.498694490192345,0.0,bottom_cap_zone,7.853981633974483e-07
6,specimen,0,-0.009898640443660435,-0.0014201821598407518,0.0,0.01,-2.9990926535897935,0.0,bottom_cap_zone,7.853981633974483e-07
7,specimen,0,-0.005995175346496157,-0.008003616217983262,0.0,0.01,-2.213694490192345,0.0,bottom_cap_zone,7.853981633974483e-07
8,specimen,0,0.0014201821598407514,-0.009898640443660435,0.0,0.01,-1.4282963267948967,0.0,bottom_cap_zone,7.853981633974483e-07
9,specimen,0,0.008003616217983262,-0.005995175346496157,0.0,0.01,-0.6428981633974484,0.0,bottom_cap_zone,7.853981633974483e-07
10,specimen,0,0.01979728088732087,0.0028403643196815054,0.0,0.02,0.14250000000000002,0.0,bottom_cap_zone,7.391982714328927e-07
11,specimen,0,0.01743435670572405,0.009800163583204869,0.0,0.02,0.5120991357164463,0.0,bottom_cap_zone,7.391982714328927e-07
12,specimen,0,0.012716826043913701,0.015436396450235342,0.0,0.020000000000000004,0.8816982714328925,0.0,bottom_cap_zone,7.391982714328927e-07
13,specimen,0,0.006281817558507112,0.018987858440636,0.0,0.02,1.2512974071493388,0.0,bottom_cap_zone,7.391982714328927e-07
14,specimen,0,-0.0010015851969285903,0.01997490493327299,0.0,0.020000000000000004,1.620896542865785,0.0,bottom_cap_zone,7.391982714328927e-07
15,specimen,0,-0.00814971832154392,0.018264229829902254,0.0,0.019999999999999997,1.9904956785822314,0.0,bottom_cap_zone,7.391982714328927e-07
16,specimen,0,-0.014197186827686573,0.014086869282412005,0.0,0.02,2.3600948142986775,0.0,bottom_cap_zone,7.391982714328927e-07
17,specimen,0,-0.018327246583422187,0.008006998980294664,0.0,0.02,2.7296939500151236,0.0,bottom_cap_zone,7.391982714328927e-07
18,specimen,0,-0.01998211013328753,0.0008457390975755271,0.0,0.02,3.09929308573157,0.0,bottom_cap_zone,7.391982714328927e-07
19,specimen,0,-0.018938278984957795,-0.0064297425366732965,0.0,0.02,-2.8142930857315704,0.0,bottom_cap_zone,7.391982714328927e-07
20,specimen,0,-0.01533672831908298,-0.012836851812911068,0.0,0.02,-2.444693950015124,0.0,bottom_cap_zone,7.391982714328927e-07
21,specimen,0,-0.009663867509970657,-0.017510273120363757,0.0,0.019999999999999997,-2.075094814298678,0.0,bottom_cap_zone,7.391982714328927e-07
22,specimen,0,-0.0026858478442983408,-0.019818835015138453,0.0,0.02,-1.7054956785822315,0.0,bottom_cap_zone,7.391982714328927e-07
23,specimen,0,0.004654910455543142,-0.01945075342116277,0.0,0.02,-1.3358965428657854,0.0,bottom_cap_zone,7.391982714328927e-07
24,specimen,0,0.011366997304614261,-0.016455739797313646,0.0,0.02,-0.9662974071493393,0.0,bottom_cap_zone,7.391982714328927e-07
25,specimen,0,0.016543908180990784,-0.011238287329435308,0.0,0.02,-0.5966982714328933,0.0,bottom_cap_zone,7.391982714328927e-07
26,specimen,0,0.01948647258456462,-0.00450304188421687,0.0,0.02,-0.2270991357164463,0.0,bottom_cap_zone,7.391982714328927e-07
27,specimen,0,0.025902661565091255,0.004256127799343453,0.0,0.026249999999999996,0.1628571428571429,0.0,edge_corner,3.391492069216254e-07
28,specimen,0,0.02365433200246644,0.011381347790006765,0.0,0.026249999999999996,0.4484564750016696,0.0,edge_corner,3.391492069216254e-07
29,specimen,0,0.019489669138730934,0.017584518670205305,0.0,0.026249999999999996,0.7340558071461961,0.0,edge_corner,3.391492069216254e-07
30,specimen,0,0.01374606919090085,0.022363096426903106,0.0,0.026250000000000002,1.0196551392907227,0.0,edge_corner,3.391492069216254e-07
31,specimen,0,0.006888844468245231,0.0253299491095487,0.0,0.026250000000000002,1.3052544714352494,0.0,edge_corner,3.391492069216254e-07
32,specimen,0,-0.0005264734636920496,0.026244719958346444,0.0,0.02625,1.590853803579776,0.0,edge_corner,3.391492069216254e-07
33,specimen,0,-0.007899139646659253,0.02503329967947845,0.0,0.02625,1.8764531357243026,0.0,edge_corner,3.391492069216254e-07
34,specimen,0,-0.01463186451344647,0.0217938303393448,0.0,0.02625,2.1620524678688295,0.0,edge_corner,3.391492069216254e-07
35,specimen,0,-0.020179202736403126,0.016788754478017143,0.0,0.02625,2.447651800013356,0.0,edge_corner,3.391492069216254e-07
36,specimen,0,-0.02409174196399601,0.010423553575447941,0.0,0.026249999999999996,2.733251132157883,0.0,edge_corner,3.391492069216254e-07
37,specimen,0,-0.026052511536772276,0.003213898353456024,0.0,0.026249999999999996,3.018850464302409,0.0,edge_corner,3.391492069216254e-07
38,specimen,0,-0.025902661565091255,-0.0042561277993434475,0.0,0.026249999999999996,-2.9787355107326507,0.0,edge_corner,3.391492069216254e-07
39,specimen,0,-0.023654332002466447,-0.011381347790006756,0.0,0.02625,-2.6931361785881243,0.0,edge_corner,3.391492069216254e-07
40,specimen,0,-0.019489669138730934,-0.0175845186702053,0.0,0.026249999999999996,-2.4075368464435973,0.0,edge_corner,3.391492069216254e-07
41,specimen,0,-0.013746069190900842,-0.02236309642690311,0.0,0.026249999999999996,-2.1219375142990704,0.0,edge_corner,3.391492069216254e-07
42,specimen,0,-0.00688884446824525,-0.025329949109548697,0.0,0.02625,-1.8363381821545446,0.0,edge_corner,3.391492069216254e-07
43,specimen,0,0.0005264734636920522,-0.026244719958346444,0.0,0.02625,-1.5507388500100172,0.0,edge_corner,3.391492069216254e-07
44,specimen,0,0.00789913964665925,-0.02503329967947845,0.0,0.02625,-1.2651395178654907,0.0,edge_corner,3.391492069216254e-07
45,specimen,0,0.014631864513446476,-0.021793830339344795,0.0,0.02625,-0.9795401857209634,0.0,edge_corner,3.391492069216254e-07
46,specimen,0,0.02017920273640313,-0.016788754478017132,0.0,0.026249999999999996,-0.6939408535764369,0.0,edge_corner,3.391492069216254e-07
47,specimen,0,0.024091741963996,-0.010423553575447966,0.0,0.026249999999999996,-0.40834152143191127,0.0,edge_corner,3.391492069216254e-07
48,specimen,0,0.026052511536772276,-0.003213898353456016,0.0,0.026249999999999996,-0.12274218928738392,0.0,edge_corner,3.391492069216254e-07
49,specimen,0,0.0,0.0,0.01,0.0,0.0,0.09999999999999999,bottom_cap_zone,7.853981633974483e-07
50,specimen,0,0.009130889403123083,0.004077604530595702,0.01,0.01,0.42000000000000004,0.09999999999999999,bottom_cap_zone,7.853981633974483e-07
51,specimen,0,0.0035732120006315106,0.009339815629793928,0.01,0.01,1.2053981633974482,0.09999999999999999,bottom_cap_zone,7.853981633974483e-07
52,specimen,0,-0.004077604530595701,0.009130889403123083,0.01,0.01,1.9907963267948965,0.09999999999999999,bottom_cap_zone,7.853981633974483e-07
53,specimen,0,-0.009339815629793928,0.003573212000631511,0.01,0.01,2.7761944901923448,0.09999999999999999,bottom_cap_zone,7.853981633974483e-07
54,specimen,0,-0.009130889403123083,-0.0040776045305957,0.01,0.01,-2.7215926535897936,0.09999999999999999,bottom_cap_zone,7.853981633974483e-07
55,specimen,0,-0.0035732120006315114,-0.009339815629793928,0.01,0.01,-1.9361944901923451,0.09999999999999999,bottom_cap_zone,7.853981633974483e-07
56,specimen,0,0.0040776045305957,-0.009130889403123083,0.01,0.01,-1.1507963267948969,0.09999999999999999,bottom_cap_zone,7.853981633974483e-07
57,specimen,0,0.009339815629793928,-0.0035732120006315123,0.01,0.01,-0.3653981633974486,0.09999999999999999,bottom_cap_zone,7.853981633974483e-07
58,specimen,0,0.019214184860311238,0.005551135032926726,0.01,0.02,0.28125,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
59,specimen,0,0.015911392524357512,0.012117243413244607,0.01,0.019999999999999997,0.6508491357164463,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
60,specimen,0,0.010459678459919663,0.017046850926640163,0.01,0.02,1.0204482714328926,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
61,specimen,0,0.0035953268603905065,0.019674186762531114,0.01,0.019999999999999997,1.3900474071493387,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
62,specimen,0,-0.0037545935540282704,0.019644414657709944,0.01,0.019999999999999997,1.759646542865785,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
63,specimen,0,-0.010597435304054437,0.016961555499905683,0.01,0.02,2.1292456785822313,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
64,specimen,0,-0.016009034693851863,0.011987944284615583,0.01,0.02,2.4988448142986774,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
65,specimen,0,-0.019258525239121013,0.005395294766195716,0.01,0.019999999999999997,2.8684439500151235,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
66,specimen,0,-0.019907045235674593,-0.0019260192067592462,0.01,0.02,-3.0451422214480166,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
67,specimen,0,-0.017867008464404678,-0.008987213613400515,0.01,0.02,-2.67554308573157,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
68,specimen,0,-0.013413933195505259,-0.01483463502168227,0.01,0.02,-2.305943950015124,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
69,specimen,0,-0.007149231919383091,-0.01867855676873548,0.01,0.02,-1.9363448142986777,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
70,specimen,0,8.101274271339216e-05,-0.01999983592271492,0.01,0.02,-1.5667456785822316,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
71,specimen,0,0.007300316184999327,-0.018620026412415124,0.01,0.02,-1.1971465428657855,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
72,specimen,0,0.013533671474052657,-0.014725479157990527,0.01,0.02,-0.8275474071493395,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
73,specimen,0,0.017939229437872708,-0.008842174346582481,0.01,0.02,-0.4579482714328933,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
74,specimen,0,0.01992199506140617,-0.0017646848934889951,0.01,0.02,-0.08834913571644633,0.09999999999999999,bottom_cap_zone,7.391982714328927e-07
75,specimen,0,0.02917543023997929,0.006985289565372504,0.01,0.029999999999999995,0.23500000000000001,0.09999999999999999,edge_corner,3.4557519189487737e-07
76,specimen,0,0.02652165957530067,0.014021468302993882,0.01,0.029999999999999995,0.48632741228718346,0.09999999999999999,edge_corner,3.4557519189487737e-07
77,specimen,0,0.022201435499665016,0.02017662661978493,0.01,0.029999999999999995,0.7376548245743669,0.09999999999999999,edge_corner,3.4557519189487737e-07
78,specimen,0,0.016486213580417235,0.025064013281612868,0.01,0.03,0.9889822368615502,0.09999999999999999,edge_corner,3.4557519189487737e-07
79,specimen,0,0.009735102229859557,0.02837653580996425,0.01,0.030000000000000002,1.240309649148734,0.09999999999999999,edge_corner,3.4557519189487737e-07
80,specimen,0,0.002372298602998289,0.029906056231777074,0.01,0.03,1.4916370614359173,0.09999999999999999,edge_corner,3.4557519189487737e-07
81,specimen,0,-0.005139565269793321,0.029556469153766224,0.01,0.03,1.7429644737231007,0.09999999999999999,edge_corner,3.4557519189487737e-07
82,specimen,0,-0.012328491354684983,0.027349740417734452,0.01,0.03,1.9942918860102845,0.09999999999999999,edge_corner,3.4557519189487737e-07
83,specimen,0,-0.018742772986742224,0.023424526905947235,0.01,0.030000000000000002,2.2456192982974676,0.09999999999999999,edge_corner,3.4557519189487737e-07
84,specimen,0,-0.02397937726094522,0.018027464219275636,0.01,0.030000000000000002,2.496946710584651,0.09999999999999999,edge_corner,3.4557519189487737e-07
85,specimen,0,-0.027709269071862448,0.011497669655331338,0.01,0.03,2.7482741228718344,0.09999999999999999,edge_corner,3.4557519189487737e-07
86,specimen,0,-0.029698085599431465,0.004245434221471494,0.01,0.03,2.9996015351590177,0.09999999999999999,edge_corner,3.4557519189487737e-07
87,specimen,0,-0.02982086218686957,-0.003273557458138278,0.01,0.03,-3.0322563597333856,0.09999999999999999,edge_corner,3.4557519189487737e-07
88,specimen,0,-0.02806988432964731,-0.010586859483351066,0.01,0.030000000000000002,-2.780928947446202,0.09999999999999999,edge_corner,3.4557519189487737e-07
89,specimen,0,-0.024555172406180062,-0.017234950191479324,0.01,0.03,-2.529601535159018,0.09999999999999999,edge_corner,3.4557519189487737e-07
90,specimen,0,-0.019497568692825536,-0.022800105593364026,0.01,0.03,-2.2782741228718346,0.09999999999999999,edge_corner,3.4557519189487737e-07
91,specimen,0,-0.013214861031459104,-0.026932646507894904,0.01,0.029999999999999995,-2.0269467105846504,0.09999999999999999,edge_corner,3.4557519189487737e-07
92,specimen,0,-0.006101815050626909,-0.029372910190989636,0.01,0.03,-1.7756192982974668,0.09999999999999999,edge_corner,3.4557519189487737e-07
93,specimen,0,0.00139463041074214,-0.029967565900777347,0.01,0.03,-1.5242918860102839,0.09999999999999999,edge_corner,3.4557519189487737e-07
94,specimen,0,0.008803446114312396,-0.02867924923202136,0.01,0.029999999999999995,-1.272964473723101,0.09999999999999999,edge_corner,3.4557519189487737e-07
95,specimen,0,0.015659108921710414,-0.025588909859116885,0.01,0.03,-1.0216370614359171,0.09999999999999999,edge_corner,3.4557519189487737e-07
