id,region,r_over_R,z_over_H,support_proxy,volume_weighted_support_proxy,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance
1,bottom_cap_zone,0.0,0.0,23.785867785627786,1.8166047144298257e-05,261,133,0.005000000000000001
2,bottom_cap_zone,0.33333333333333337,0.0,24.02329189471912,1.762006627993827e-05,280,138,0.00533903899402776
3,bottom_cap_zone,0.33333333333333337,0.0,24.023291621651104,1.7620066051741012e-05,279,137,0.00533903899402776
4,bottom_cap_zone,0.33333333333333337,0.0,24.0232913111348,1.7620065827021847e-05,281,138,0.00533903899402776
5,bottom_cap_zone,0.33333333333333337,0.0,24.023291083381515,1.7620065706114714e-05,279,137,0.00533903899402776
6,bottom_cap_zone,0.33333333333333337,0.0,24.02329135908522,1.762006596011204e-05,279,138,0.00533903899402776
7,bottom_cap_zone,0.33333333333333337,0.0,24.023292024543288,1.7620066472564687e-05,281,138,0.00533903899402776
8,bottom_cap_zone,0.33333333333333337,0.0,24.023292402798592,1.7620066733825047e-05,282,138,0.00533903899402776
9,bottom_cap_zone,0.33333333333333337,0.0,24.02329224382506,1.762006657495482e-05,280,138,0.00533903899402776
10,bottom_cap_zone,0.6666666666666667,0.0,23.219722934392163,1.5499646580430373e-05,257,108,0.0054791628042966485
11,bottom_cap_zone,0.6666666666666667,0.0,23.218822960504518,1.5498964999241132e-05,259,109,0.00547916280429665
12,bottom_cap_zone,0.6666666666666669,0.0,23.219428345575814,1.5499470487346994e-05,257,108,0.00547916280429665
13,bottom_cap_zone,0.6666666666666667,0.0,23.21903578042573,1.5499123558270364e-05,261,109,0.005479162804296651
14,bottom_cap_zone,0.6666666666666669,0.0,23.219334106509844,1.5499344795775324e-05,257,108,0.005479162804296652
15,bottom_cap_zone,0.6666666666666666,0.0,23.219172773820073,1.5499267580864023e-05,257,107,0.005479162804296651
16,bottom_cap_zone,0.6666666666666667,0.0,23.21903603344526,1.5499145105729412e-05,255,106,0.00547916280429665
17,bottom_cap_zone,0.6666666666666667,0.0,23.21951227612435,1.5499478624107448e-05,259,108,0.00547916280429665
