case,code,excluded,dtmin_adjustments,fixed_count,moving_count,fluid_count,final_top_platen_displacement,final_bottom_platen_displacement,final_specimen_axial_strain_proxy,final_measurement_count,final_platen_contamination_in_measurement,final_velocity_max,final_specimen_velocity_max,final_porepress_mean,final_porepressrate_maxabs,final_divvel_maxabs,final_kplastic_max,reaction_proxy_available
geometry_no_load,0,0,0,148,0,407,nan,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0
top_velocity,0,0,0,74,74,407,-7.499999999979745e-06,0.0,-1.6076164355421918e-05,15,0,0.0045963549,0.004274869300000001,4194.341168624555,30368034.0,0.045617662,0.0,0
top_velocity_lateral,0,0,0,74,74,407,-7.499999999979745e-06,0.0,-1.5789309509989247e-05,15,0,0.0045963693,0.004178799700000004,12485.602316495526,40173304.0,0.060293276,0.0,0
