case,bottom_platen_fixed,top_platen_moving,specimen,unknown,measurement_count_initial,platen_contamination_initial
geometry_no_load,148,0,407,0,15,0
top_velocity,74,74,407,0,15,0
top_velocity_lateral,74,74,407,0,15,0
