adami,adami_fallback,adami_max_abs_excess,adami_mean_abs_excess,adami_samples,avg,case,kind,mkbound,mode,pairs,selected,targets,tol,value,value_type
True,0.0,0.0,0.0,235812.0,328.53,mode4_boundary_particles,compression,0.0,4,194490.0,2418.0,592.0,0.1,0.0,excess
True,0.0,1000.0,1000.0,235812.0,328.53,diffusion_mode4_boundary_particles,diffusion,0.0,4,194490.0,2418.0,592.0,0.1,0.0,excess
