case,case_name,center_avg_count_r0p20,center_avg_count_r0p40,center_avg_excess_over_p0_r0p20,center_avg_excess_over_p0_r0p40,center_avg_excess_r0p20,center_avg_excess_r0p40,com_drift,div_rate_contrib_maxAbs_est,excess_maxAbs,excess_mean,frame_index,kind,kplastic_maxAbs,lap_maxAbs,lap_rate_contrib_maxAbs_est,lapz_maxAbs,lapz_rate_contrib_maxAbs_est,mode,p0,particle_count,particle_count_vtk,porepressrate_maxAbs,surface_lap_maxAbs,surface_lap_rate_contrib_maxAbs_est,surface_porepressrate_maxAbs,time,vel_max,vel_mean
mode3_shell,CaseCryer_PR_StrictSphere_C5e_Mode3Shell,7,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,0.0,0.0,0.0,0.0,0.0,3,50.0,739,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode3_shell,CaseCryer_PR_StrictSphere_C5e_Mode3Shell,7,33,0.3948851257668,0.44832384385167884,19.74425628834,22.416192192583942,3.7087206495227714e-16,241914.2666666667,72.38424895627,56.970392787306075,1,compression,0.0,211728.38,1438.8608902480466,71.514824,0.0,3,50.0,739,739,240796.25,139674.67,949.1992524634729,226230.0,0.001005,0.0008297488411514559,0.0005108521582814027
mode3_shell,CaseCryer_PR_StrictSphere_C5e_Mode3Shell,7,33,8.167226721446855,7.656908408134789,408.3613360723428,382.84542040673944,8.502592348786119e-16,244134.32,421.7416457211,294.21265096165746,2,compression,0.0,956495.44,6500.138905878356,71.514183,0.0,3,50.0,739,739,240074.42,630729.13,4286.300577641863,151827.97,0.002011,0.0005969764315523213,0.00037742164300865816
mode3_shell,CaseCryer_PR_StrictSphere_C5e_Mode3Shell,1,33,1.7579080708634,3.6953174042798604,87.89540354317,184.76587021399303,3.052413377788112e-15,283079.14666666667,258.836285085,224.0179448127633,3,compression,0.0,1880540.9,12779.754672103298,71.514664,0.0,3,50.0,739,739,270299.38,912498.81,6201.147196738024,213420.19,0.003016,0.0008013085462152977,0.0005018632909868834
mode3_shell,CaseCryer_PR_StrictSphere_C5e_Mode3Shell,1,33,2.226534356126,2.4051851024454542,111.3267178063,120.2592551222727,8.974127310019687e-15,128389.28666666667,183.6239601154,132.01461347228633,4,compression,0.0,928739.25,6311.5137614678915,71.514389,0.0,3,50.0,739,739,128144.8,928739.25,6311.5137614678915,54882.492,0.004022,0.0004525131371338171,0.00021111059680601553
mode3_shell,CaseCryer_PR_StrictSphere_C5e_Mode3Shell,7,33,5.988263081335142,5.243477422105454,299.4131540667571,262.1738711052727,1.03518398825737e-14,419190.0266666667,340.6402962108,216.35508002874354,5,compression,0.0,1182828.1,8038.24736663269,71.513084,0.0,3,50.0,739,739,411151.75,673430.0,4576.486578321442,85672.109,0.005027,0.00048189128138491767,0.0002115220340296546
mode3_shell,CaseCryer_PR_StrictSphere_C5e_Mode3Shell,7,33,2.8168941806811434,2.7955078548860617,140.84470903405716,139.77539274430308,1.8973320903706897e-14,265878.04000000004,252.3948226608,167.78411520443805,6,compression,0.0,1306926.6,8881.594291539248,71.513786,0.0,3,50.0,739,739,267149.91,1306926.6,8881.594291539248,210131.58,0.006032,0.0010476377571274206,0.000381701574764428
mode4_boundary_particles,CaseCryer_PR_StrictSphere_C5e_Mode4BoundaryParticles,7,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,0.0,0.0,0.0,0.0,0.0,4,50.0,739,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode4_boundary_particles,CaseCryer_PR_StrictSphere_C5e_Mode4BoundaryParticles,7,33,0.3914555462582571,0.4447268341798183,19.572777312912855,22.236341708990913,4.69450851653116e-16,241804.0466666667,69.300915341,54.65050937310676,1,compression,0.0,3095079.3,21033.498470948016,395.99487,0.0,4,50.0,739,739,224839.05,3095079.3,21033.498470948016,206277.14,0.001005,0.0008305557402300613,0.0005091452099794189
mode4_boundary_particles,CaseCryer_PR_StrictSphere_C5e_Mode4BoundaryParticles,7,33,7.443257495217714,6.90810405373091,372.1628747608857,345.4052026865455,8.878658544128744e-16,163598.17333333334,387.8827222011,241.4254543149071,2,compression,0.0,14995214.0,101904.27454977916,395.9733,0.0,4,50.0,739,739,159608.45,14995214.0,101904.27454977916,69451.805,0.002011,0.0005749218540365762,0.0002976953089869935
