source_stage,case,return_status,count,status_-3,status_-1,status_-5,mean_r_over_R,mean_z_over_H,mean_distance_to_bottom,mean_distance_to_lateral,mean_p_eff,mean_q,mean_q_over_p,mean_pc,mean_void_ratio,mean_plastic_vol_strain,mean_eq_plastic_strain,max_return_iterations,max_abs_yield_residual,max_abs_DivVel,max_velocity,max_abs_PorePressRate,mean_pairwise_reaction_avg,neighbor_count_available
M3d2,baseline,-3,70,70,0,0,0.4294987137862554,0.4941575774830289,0.04941575774830287,0.017115038586412338,43.233497873809526,83.94245139006766,2.072191956696671,119.80635242857139,0.8002493697142856,-0.00014365131342571432,0.0004641325353,11.0,4604.748,0.072419919,0.0038848526,48084448.0,nan,0
M3d2,baseline,-1,395,0,395,0,0.7116196037319468,0.20631559883683004,0.020631559883682912,0.008651411888041603,-15.15978376441435,47.790792971847765,-22.10530957454211,119.96232820253199,0.800099048405063,-2.7978374094582276e-05,4.798157773967089e-05,0.0,122.34028,0.10061236,0.005916646641902406,66923092.0,nan,0
M3d2,early_stop,-3,17,17,0,0,0.5680768362100811,0.8823166129411764,0.08823166129411766,0.012957694913697566,60.120452509803926,90.02592229222385,1.5265712495114105,120.02460411764707,0.7999559611764707,1.8217021188235294e-05,0.00012543808711764704,9.0,4604.748,0.062669322,0.0038848526,41704604.0,nan,0
M3d2,early_stop,-1,375,0,375,0,0.6961863985976507,0.16399966149479414,0.016399966149479334,0.00911440804207049,-12.531898581360895,36.926033164682806,-11.432279998023587,119.9992561066669,0.8000505464533335,-5.499467129599999e-07,5.802692191199999e-07,0.0,31.624567,0.043205004,0.00111291760230914,28763496.0,nan,0
M3d2,slower_half_velocity,-3,91,91,0,0,0.6997385346129233,0.2911264949964945,0.02911264949964944,0.009007843961612281,29.15799971989011,73.1584195743604,2.606712130906418,119.55260439560432,0.8005728175824179,-0.0003323044305797802,0.0006244327279340662,11.0,2389.9802,0.044329159,0.0025152518494765694,29422702.0,nan,0
M3d2,slower_half_velocity,-1,190,0,190,0,0.6641381134891359,0.1731576940888967,0.017315769408889663,0.010075856595325918,-10.618862052192982,34.40099942192714,-14.545785179677944,119.99945826315789,0.8000502923157895,-4.007567605789474e-07,4.221524322105263e-07,0.0,32.010017,0.04320972,0.001112916199756066,28766642.0,nan,0
M3d2,tight_return,-3,70,70,0,0,0.42949871621459335,0.4941575776281003,0.04941575776281001,0.0171150385135622,43.23350212238097,83.94245869893255,2.0721944746485175,119.8063517142857,0.8002493415714285,-0.00014365142581142855,0.0004641321826714286,11.0,4604.7471,0.072420113,0.0038848529,48084580.0,nan,0
M3d2,tight_return,-1,395,0,395,0,0.7116196037319468,0.20631559883683018,0.020631559883682923,0.008651411888041603,-15.159794715165415,47.79075717444009,-22.105618292246877,119.96232820253199,0.800099048405063,-2.797837270243038e-05,4.798157508255697e-05,0.0,122.34025,0.10061236,0.005916646641902406,66923088.0,nan,0
M3f,baseline,-3,70,70,0,0,0.4294987137862554,0.4941575774830289,0.04941575774830287,0.017115038586412338,43.233497873809526,83.94245139006766,2.072191956696671,119.80635242857139,0.8002493697142856,-0.00014365131342571432,0.0004641325353,11.0,4604.748,0.072419919,0.0038848526,48084448.0,0.2943715971428576,0
M3f,baseline,-1,395,0,395,0,0.7116196037319468,0.20631559883683004,0.020631559883682912,0.008651411888041603,-15.15978376441435,47.790792971847765,-22.10530957454211,119.96232820253199,0.800099048405063,-2.7978374094582276e-05,4.798157773967089e-05,0.0,122.34028,0.10061236,0.005916646641902406,66923092.0,0.2913368671012638,0
