source_stage,case,part,time,idp,return_status,original_region,x,y,z,r,r_over_R,z_over_H,distance_to_bottom_platen,distance_to_top_platen,distance_to_lateral_boundary,distance_to_edge_corner,near_bottom_platen,near_top_platen,near_lateral_surface,in_measurement_core,boundary_class,nearest_platen_role,neighbor_count_available,neighbor_count,local_distribution_metric_available,local_distribution_metric,strain_increment_proxy_available,strain_increment_proxy,axial_velocity_gradient_proxy_available,axial_velocity_gradient_proxy,radial_velocity_gradient_proxy_available,radial_velocity_gradient_proxy,trial_state_available,trial_p,trial_q,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,substep_count,line_search_backtracks,line_search_reject_reason,Kplastic,PorePress,PorePressRate,DivVel,velocity,pairwise_reaction_avg
M3d2,baseline,2,0.001005,314,-1,edge,3.3819613e-14,-0.030000756,0.009999997,0.030000756,1.0000252,0.09999997,0.009999997,0.09000000300000001,-7.560000000010614e-07,0.009999997028576808,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-2.9556029333333336,25.34694038360168,-8.57589498837564,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.9556127,0.0,0.0,0.0,0.0,-20244.42086663,-27926256.0,0.041912846,0.0010840687779070132,nan
M3d2,baseline,2,0.001005,325,-1,edge,1.4313159e-14,-0.020000296,0.010000013,0.020000296,0.6666765333333334,0.10000012999999999,0.010000013,0.089999987,0.009999703999999998,0.01414193551419978,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-4.415032666666667,25.80406304360768,-5.844591646722662,119.9977,0.80005389,-1.7053262e-06,1.7668345e-06,0.0,0.0,-4.4150429,0.0,0.0,0.0,1.7668345e-06,-22691.59728594,-28763492.0,0.043204997,0.0004261969987560803,nan
M3d2,baseline,2,0.001005,326,-1,lateral_boundary,2.1761772e-14,-0.02000029,0.020000003,0.02000029,0.6666763333333334,0.20000002999999997,0.020000003,0.079999997,0.009999709999999998,0.02236055276785681,0,0,1,0,lateral_surface,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-2.8495131333333323,25.59882133881574,-8.983577243201013,119.9985,0.80005276,-1.1101758e-06,1.1510047e-06,0.0,0.0,-2.8495231,0.0,0.0,0.0,1.1510047e-06,-21866.8741143,-23219272.0,0.034879919,0.00039667968420899403,nan
M3d2,baseline,2,0.001005,327,-1,lateral_boundary,8.0221686e-15,-0.020000292,0.029999999,0.020000292,0.6666764000000001,0.29999999,0.029999999,0.070000001,0.009999708,0.03162268331570338,0,0,1,0,lateral_surface,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-1.8316252000000002,24.627999183274227,-13.445981843487536,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.8316354,0.0,0.0,0.0,0.0,-20722.77411826,-19305312.0,0.028998546,0.0004027826703337253,nan
M3d2,baseline,2,0.001005,336,-1,bottom_cap_zone,9.1723565e-14,-0.010000035,0.01000002,0.010000035,0.3333345,0.1000002,0.01000002,0.08999998000000001,0.019999965,0.022360657414343277,1,0,0,0,bottom_cap_zone,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-4.184966,25.888124622208355,-6.1859820658539055,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849761,0.0,0.0,0.0,0.0,-21506.69435069,-28529658.0,0.042827237,0.00010933281057397472,nan
M3d2,baseline,2,0.001005,337,-1,interior,9.9536014e-14,-0.010000031,0.020000005,0.010000031,0.33333436666666666,0.20000005,0.020000005,0.079999995,0.019999969,0.02828425286269705,0,0,0,0,interior_ring,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-3.1187089999999995,25.982492877142327,-8.331169364356318,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187189,0.0,0.0,0.0,0.0,-21241.1116803,-25330676.0,0.038017955,5.496767327852546e-05,nan
M3d2,baseline,2,0.001005,338,-1,interior,-8.0213505e-14,-0.010000032,0.029999999,0.010000032,0.33333440000000003,0.29999999,0.029999999,0.070000001,0.019999968,0.03605549417219275,0,0,0,0,interior_ring,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-1.7809187000000002,24.69847821338917,-13.868391753867915,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809287,0.0,0.0,0.0,0.0,-20709.71940565,-23506980.0,0.035275787,5.190755579978422e-05,nan
M3d2,baseline,2,0.001005,402,-1,edge,0.01000028,-0.020000389,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.010000009,0.089999991,0.007638847072887298,0.012583805648651757,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-3.500046333333333,25.755476729709592,-7.358610223076931,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000565,0.0,0.0,0.0,0.0,-20984.25510555,-27050680.0,0.040608749,0.0006625134520132743,nan
M3d2,baseline,2,0.001005,403,-1,lateral_boundary,0.010000277,-0.020000385,0.020000001,0.02236114800776011,0.7453716002586703,0.20000000999999998,0.020000001,0.079999999,0.0076388519922398895,0.021409159249240695,0,0,1,0,lateral_surface,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-0.7869815333333333,24.90553998299342,-31.646917911153132,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78699142,0.0,0.0,0.0,0.0,-20306.36651571,-22372544.0,0.033584654,0.0006367210648736596,nan
M3d2,baseline,2,0.001005,413,-1,bottom_cap_zone,0.010000105,-0.010000105,0.010000018,0.014142284116155002,0.4714094705385001,0.10000018,0.010000018,0.089999982,0.015857715883845,0.018747466843631804,1,0,0,0,bottom_cap_zone,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-4.1978056666666665,26.49444503286386,-6.311498705918464,119.99934,0.80005151,-4.8932509e-07,5.0790533e-07,0.0,0.0,-4.1978159,0.0,0.0,0.0,5.0790533e-07,-21835.96091839,-28421314.0,0.042672817,0.00022574630122773823,nan
