#Time;LinearAccX;LinearAccY;LinearAccZ;AngularAccX;AngularAccY;AngularAccZ
0;0;0;0;0;0;0
0.0005;0;0;-0.05;0;0;0
0.001;0;0;-0.15;0;0;0
0.0015;0;0;-0.15;0;0;0
