stage,case,Fz_proxy,pairwise_reaction_avg,pairwise_over_Fz_proxy,force_balance_error,p_proxy,q_proxy,reaction_type
T4t,elastic,1.038537859175914,0.956997,0.9214849430326814,0.093516,145.66138292649472,332.46937186332934,pairwise_fluid_bound_accumulator
T4t,dp_high_strength,1.038537859175914,0.956997,0.9214849430326814,0.093516,145.66138292649472,332.46937186332934,pairwise_fluid_bound_accumulator
T4t,dp_mild_yield,0.4837401837606574,0.4927745,1.0186759680973962,0.135124,86.57907906487306,126.76351946165852,pairwise_fluid_bound_accumulator
T5c,dp_high_strength,3.1147973110552334,3.274005,1.0511133383798992,0.0506831,385.8049189009095,1073.7439175945835,pairwise_fluid_bound_accumulator
T5c,dp_mild_yield,0.4031128923098545,0.4335245,1.075441912849489,0.00532965,62.23262833995903,120.50908894067557,pairwise_fluid_bound_accumulator
M3d,mcc_high_pc,3.176123108637834,3.33843,1.0511022041056135,0.0505647,395.9054204483719,1091.1275113544698,pairwise_fluid_bound_accumulator
M3d,mcc_mild_yield,0.24781437833696118,0.286149,1.1546908695140925,0.0346152,47.26133310780508,60.577611276883275,pairwise_fluid_bound_accumulator
