stage,case,pore_pressure_mean,pore_press_rate_max_abs,interpretation
T5c,dp_high_strength,111458.97791005751,15200322.0,bounded feedback-off diagnostic; not strict undrained validation
T5c,dp_mild_yield,-35251.016202382,14385874.0,bounded feedback-off diagnostic; not strict undrained validation
M3d,mcc_high_pc,95552.39333608451,13685868.0,bounded feedback-off diagnostic; not strict undrained validation
M3d,mcc_mild_yield,-225214.38188911168,63265952.0,bounded feedback-off diagnostic; not strict undrained validation
M3d3,baseline,-225214.38188911168,63265952.0,bounded feedback-off diagnostic; not strict undrained validation
M3d3,fixed_substeps4,-240501.7072251021,77213296.0,bounded feedback-off diagnostic; not strict undrained validation
M3d3,adaptive_substeps16,-239475.03886834142,76510104.0,bounded feedback-off diagnostic; not strict undrained validation
M3d3,adaptive_fallback16,-239488.43393454916,74225288.0,bounded feedback-off diagnostic; not strict undrained validation
M3d3,half_speed_adaptive,-282269.0080923411,29217048.0,bounded feedback-off diagnostic; not strict undrained validation
