case,source,dp,time_mid,shell_index,r_over_R_min,r_over_R_max,shell_volume,pressure_mean_mid,storage_derivative,flux_in,flux_out,residual,abs_residual
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,0,0.0,0.2,7.000000000000001e-06,966.8666347045,-0.46155931754925456,0.0,0.0034373537185087696,-0.45812196383074577,0.45812196383074577
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,1,0.2,0.4,2.6000000000000005e-05,962.8415536751327,-1.9226260785006,0.0034373537185087696,-0.019608845339118,-1.945672277558227,1.945672277558227
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,2,0.4,0.6,9.000000000000002e-05,968.5819573290606,-5.627112120168254,-0.019608845339118,0.08941220926929733,-5.518091065559839,5.518091065559839
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,3,0.6,0.8,0.00013400000000000003,956.9486093528155,-11.48037083924921,0.08941220926929733,0.2296057775539627,-11.340177270964546,11.340177270964546
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,4,0.8,0.9,0.000132,944.345593134501,-14.619665087056465,0.2296057775539627,0.005582842231997671,-14.843688022378428,14.843688022378428
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,5,0.9,0.95,7.200000000000002e-05,944.224529976736,-7.991709137661699,0.005582842231997671,0.02786438753506832,-7.969427592358628,7.969427592358628
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0005025,6,0.95,1.0,4.800000000000001e-05,943.8629930237832,-5.362340964892349,0.02786438753506832,40.302182057475946,34.91197670504853,34.91197670504853
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,0,0.0,0.2,7.000000000000001e-06,903.9998077240714,-0.41378574909443216,0.0,0.015519188744950573,-0.3982665603494816,0.3982665603494816
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,1,0.2,0.4,2.6000000000000005e-05,885.8271093857777,-2.0601509882240103,0.015519188744950573,0.025975914065390168,-2.0496942629035706,2.0496942629035706
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,2,0.4,0.6,9.000000000000002e-05,878.2227742280304,-10.546128506378086,0.025975914065390168,0.21353845216810177,-10.358565968275373,10.358565968275373
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,3,0.6,0.8,0.00013400000000000003,850.4394643122858,-16.905246697233093,0.21353845216810177,0.3635379239950216,-16.755247225406173,16.755247225406173
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,4,0.8,0.9,0.000132,830.4849387733766,-15.274800535631291,0.3635379239950216,-0.006798041331621668,-15.645136500957936,15.645136500957936
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,5,0.9,0.95,7.200000000000002e-05,830.6323533546997,-8.27595004992366,-0.006798041331621668,0.15319700923381702,-8.11595499935822,8.11595499935822
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0015080000000000002,6,0.95,1.0,4.800000000000001e-05,828.6446412669977,-5.6379812116646075,0.15319700923381702,35.38245215685967,29.591273935961244,29.591273935961244
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,0,0.0,0.2,7.000000000000001e-06,776.7248789225714,-1.3587866065990066,0.0,-0.008614859817463842,-1.3674014664164704,1.3674014664164704
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,1,0.2,0.4,2.6000000000000005e-05,786.8127289553507,-3.06093123206851,-0.008614859817463842,-0.017456936338677797,-3.0697733085897236,3.0697733085897236
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,2,0.4,0.6,9.000000000000002e-05,791.9231706673379,-4.90002324727192,-0.017456936338677797,0.257171561424951,-4.625394749508291,4.625394749508291
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,3,0.6,0.8,0.00013400000000000003,758.4627932971741,-7.605044432471093,0.257171561424951,0.5084185818658795,-7.353797412030165,7.353797412030165
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,4,0.8,0.9,0.000132,730.5557967868523,-10.9600439259675,0.5084185818658795,0.30890746912294015,-11.159555038710439,11.159555038710439
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,5,0.9,0.95,7.200000000000002e-05,723.8571812582115,-7.0149443101205,0.30890746912294015,0.7076480236262556,-6.616203755617184,6.616203755617184
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,0.0025135,6,0.95,1.0,4.800000000000001e-05,714.6755364112582,-5.243009917628253,0.7076480236262556,30.516064082772058,24.56540614151755,24.56540614151755
