label,dp,field,region,rmse,bias,p95_abs_error,max_abs_error
dp=0.010,0.01,constant,global,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,interior_r_lt_080R,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,near_boundary_r_ge_095R,0.0,0.0,0.0,0.0
dp=0.010,0.01,quadratic_r2,global,7.55287349039694,-6.0,12.2442100514067,12.244210051406759
dp=0.010,0.01,quadratic_r2,interior_r_lt_080R,1.056051620601722,-0.6896832052290705,1.97448025789259,2.6788064923167942
dp=0.010,0.01,quadratic_r2,near_boundary_r_ge_095R,11.220890912678305,-11.18290369233172,12.244210051406737,12.244210051406759
dp=0.010,0.01,linear_gap,global,65.2576581959981,53.262232754387526,100.2818510428774,100.28185104287752
dp=0.010,0.01,linear_gap,interior_r_lt_080R,11.945188982317452,8.461082823176897,20.344142720540365,28.929480885812865
dp=0.010,0.01,linear_gap,near_boundary_r_ge_095R,94.90985956608876,94.75153632075943,100.28185104287746,100.28185104287752
dp=0.010,0.01,smooth_quartic,global,2205.672989975301,-1225.006765899875,4745.620681564579,4745.620681564772
dp=0.010,0.01,smooth_quartic,interior_r_lt_080R,432.710229742971,431.9804798836639,465.912243264303,465.9122432643119
dp=0.010,0.01,smooth_quartic,near_boundary_r_ge_095R,3542.233054390567,-3405.35463096997,4745.6206815647165,4745.620681564772
dp=0.008,0.008,constant,global,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,interior_r_lt_080R,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,near_boundary_r_ge_095R,0.0,0.0,0.0,0.0
dp=0.008,0.008,quadratic_r2,global,7.975866056795894,-6.0,13.812724334435524,14.055273974137329
dp=0.008,0.008,quadratic_r2,interior_r_lt_080R,1.0735415831169401,-0.6203972616670668,3.025115966218282,3.3008271257799793
dp=0.008,0.008,quadratic_r2,near_boundary_r_ge_095R,13.046417952680647,-13.01775028868758,14.05527397413726,14.055273974137329
dp=0.008,0.008,linear_gap,global,73.3431332493497,56.48505743848428,121.3194639462165,122.23705620025618
dp=0.008,0.008,linear_gap,interior_r_lt_080R,12.226208980068812,7.513689772059322,31.81241140564518,36.16185110726687
dp=0.008,0.008,linear_gap,near_boundary_r_ge_095R,116.87622846667287,116.74868874448335,122.23705620025606,122.23705620025618
dp=0.008,0.008,smooth_quartic,global,1372.8139741095633,-576.1266281945686,3225.198305055187,3578.0370093326837
dp=0.008,0.008,smooth_quartic,interior_r_lt_080R,325.94067639248664,320.81384292846167,422.1060140072829,425.36984751338446
dp=0.008,0.008,smooth_quartic,near_boundary_r_ge_095R,2586.1312288622626,-2488.3948997742646,3578.0370093324905,3578.0370093326837
dp=0.0065,0.0065,constant,global,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,interior_r_lt_080R,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,near_boundary_r_ge_095R,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,quadratic_r2,global,8.758633514124677,-6.0,16.860130336458592,17.141228700814366
dp=0.0065,0.0065,quadratic_r2,interior_r_lt_080R,0.11201033789707257,-0.06071498972229429,0.3143373194529591,0.3171262758633251
dp=0.0065,0.0065,quadratic_r2,near_boundary_r_ge_095R,14.002749014350776,-13.684885310622903,17.079486664204378,17.141228700814366
dp=0.0065,0.0065,linear_gap,global,77.3841381188987,53.976845991850986,143.66233375781792,144.88763933298333
dp=0.0065,0.0065,linear_gap,interior_r_lt_080R,3.9737466600434663,1.154122581265884,3.2844586501785313,44.846193474131724
dp=0.0065,0.0065,linear_gap,near_boundary_r_ge_095R,122.92193012828591,120.745358428173,144.60904834762357,144.88763933298333
dp=0.0065,0.0065,smooth_quartic,global,2106.5888632982314,-1104.516408448684,4949.154011140311,5810.62129773348
dp=0.0065,0.0065,smooth_quartic,interior_r_lt_080R,180.96354625744536,180.9280561169845,189.9503520955978,190.57666150645218
dp=0.0065,0.0065,smooth_quartic,near_boundary_r_ge_095R,3463.77325824131,-3122.893870452365,5615.108744164444,5810.62129773348
