label,dp,field,r_over_R,lap,exact,error,valid
dp=0.010,0.01,constant,0.4898979485566383,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.4898979485566383,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.4898979485566383,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.4898979485566383,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.48989794855664054,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.48989794855664054,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.48989794855664054,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492346,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492346,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492346,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492385,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492385,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492385,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492385,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492385,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492385,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492425,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492425,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5656854249492425,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999959,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999959,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999959,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999978,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999978,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999978,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999978,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999978,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999978,0.0,0.0,0.0,True
