case,source,dp,time_mid,interface_index,interface_r_over_R,fv_gradient_flux
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0015285000000000001,3,0.6,0.2852783014081339
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0015285000000000001,4,0.8,0.32162187666034436
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0015285000000000001,5,0.9,0.3642383778208877
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0015285000000000001,6,0.95,0.4579540114710694
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0015285000000000001,7,1.0,38.684898450097364
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0025335,0,0.0,0.0
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0025335,1,0.2,-0.002877931767451123
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0025335,2,0.4,0.09219347559497945
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0025335,3,0.6,0.32313581404192854
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0025335,4,0.8,0.42431096703159593
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0025335,5,0.9,0.5508992364849927
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0025335,6,0.95,0.31432528014337424
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0025335,7,1.0,30.62722520611164
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0035390000000000005,0,0.0,0.0
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0035390000000000005,1,0.2,-0.0031723412501637625
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0035390000000000005,2,0.4,0.0715001275550551
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0035390000000000005,3,0.6,0.37862047765155
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0035390000000000005,4,0.8,0.544913714767164
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0035390000000000005,5,0.9,0.8222002066877141
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0035390000000000005,6,0.95,-0.5661296862506527
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0035390000000000005,7,1.0,26.785696862499925
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0045445,0,0.0,0.0
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0045445,1,0.2,-0.006658583762376089
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0045445,2,0.4,0.03242608598503169
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0045445,3,0.6,0.5434993227398687
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0045445,4,0.8,0.837697757079813
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0045445,5,0.9,0.9756896653898269
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0045445,6,0.95,-1.6318983543159082
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.0045445,7,1.0,24.24371117925931
