case,source,dp,shell_residual_rmse,shell_residual_p95_abs,outer_shell_residual_p95_abs,middle_shell_residual_p95_abs,median_boundary_flux_abs,normalized_residual_p95
mode4_normalized_dp010,C5i/C5h mode4 normalized,0.01,13.548225707765429,24.495057723151536,33.58180101277671,20.050872470701755,28.296203465877788,0.8656658746707829
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,13.531627213180222,25.046619797956808,34.3599348579936,21.27723303924449,28.706461034305782,0.8725081008078542
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,17.394564861708066,32.11983787674015,37.823323179313434,30.880385311023474,26.47925102363802,1.2130191238440535
mode5_mls_dp008,C5j mode5 MLS,0.008,14.654242004735295,31.40389412963565,39.822734354365835,19.58043570909304,34.15797108366503,0.9193723495085915
mode5_mls_dp010,C5j mode5 MLS,0.01,13.712464552139297,26.978564643248824,35.691290170553444,18.950624466171284,30.424450941074404,0.8867395732301129
mode6_shell_dp008,C5k mode6 shell,0.008,19.9379509946837,40.30239376785028,45.424448213517806,41.32139584542779,30.96440184888457,1.301571849007059
mode6_shell_dp010,C5k mode6 shell,0.01,13.541371157156659,30.836445020883804,36.03482060292595,21.037238132509152,32.17497271446486,0.958398482402464
