label,dp,field,r_over_R_min,r_over_R_max,count,lap_mean,exact_mean,bias,rmse,p95_abs_error,max_abs_error
dp=0.010,0.01,constant,0.0,0.2,4,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,0.2,0.4,26,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,0.4,0.6,78,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,0.6,0.8,146,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,0.8,0.9,135,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,0.9,0.95,72,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,0.95,1.0,33,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.010,0.01,constant,1.0,1.12,245,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.010,0.01,quadratic_r2,0.0,0.2,4,5.9870942298789505,6.0,-0.012905770121049098,0.012905770121049098,0.012905770121049542,0.012905770121049542
dp=0.010,0.01,quadratic_r2,0.2,0.4,26,5.9870942298789505,6.0,-0.012905770121049235,0.012905770121049234,0.012905770121051319,0.012905770121051319
dp=0.010,0.01,quadratic_r2,0.4,0.6,78,5.929602313345738,6.0,-0.07039768665426023,0.10743528474280555,0.222261440569618,0.22226144056962038
dp=0.010,0.01,quadratic_r2,0.6,0.8,146,4.840401770784109,6.0,-1.1595982292158913,1.3906905181616886,1.974480257892594,2.6788064923167942
dp=0.010,0.01,quadratic_r2,0.8,0.9,135,1.3336660359223407,6.0,-4.66633396407766,4.79070058610136,6.092549680492118,6.092549680492131
dp=0.010,0.01,quadratic_r2,0.9,0.95,72,-1.2224743646265825,6.0,-7.222474364626582,7.238739822925191,7.908358139496472,7.908358139496482
dp=0.010,0.01,quadratic_r2,0.95,1.0,33,-3.5529746080055586,6.0,-9.55297460800556,9.563907746086386,10.4630433190226,10.4630433190226
dp=0.010,0.01,quadratic_r2,1.0,1.12,245,-5.402445160832795,6.0,-11.402445160832794,11.425727911190835,12.244210051406743,12.244210051406759
dp=0.010,0.01,linear_gap,0.0,0.2,3,-171.07051911418975,-200.0000000000026,28.929480885812865,28.92948088581287,28.929480885812865,28.929480885812865
dp=0.010,0.01,linear_gap,0.2,0.4,26,-127.57926815853443,-135.416027136581,7.83675897804657,11.211346421108816,28.929480885810335,28.929480885810335
dp=0.010,0.01,linear_gap,0.4,0.6,78,-79.09328385269467,-80.18904089807941,1.0957570453847705,1.3366957190877466,2.531068081636479,2.531068081636519
dp=0.010,0.01,linear_gap,0.6,0.8,146,-45.9546274717021,-58.04120780483288,12.086580333130776,14.377918894756203,20.34414272054036,26.3535884644079
dp=0.010,0.01,linear_gap,0.8,0.9,135,-2.2679437229822565,-47.03634390351927,44.768400180537014,45.84236211739139,57.07895621470781,57.078956214707844
dp=0.010,0.01,linear_gap,0.9,0.95,72,23.110521002196766,-43.30909978850631,66.41962079070306,66.54387030205376,72.16777680733242,72.16777680733244
dp=0.010,0.01,linear_gap,0.95,1.0,33,43.881946763205974,-40.599875670099124,84.48182243330511,84.56134860028476,91.96423233401599,91.96423233401599
dp=0.010,0.01,linear_gap,1.0,1.12,245,58.08387339936707,-38.05093050623315,96.1348039056002,96.21872459310526,100.28185104287746,100.28185104287752
dp=0.010,0.01,smooth_quartic,0.0,0.2,4,-4136.555346661476,-4560.0000000000055,423.44465333852895,423.4447582299273,423.85763798240333,423.9608841433719
dp=0.010,0.01,smooth_quartic,0.2,0.4,26,-3602.32232307227,-4024.6153846153834,422.2930615431132,422.2934573586561,423.2725764035829,423.2725764035831
dp=0.010,0.01,smooth_quartic,0.4,0.6,78,-2293.433975826349,-2719.9999999999995,426.5660241736502,426.65899653643737,441.45501831930386,441.4550183193053
dp=0.010,0.01,smooth_quartic,0.6,0.8,146,-490.2911384148483,-927.1232876712243,436.8321492563758,437.9723237874163,465.912243264303,465.9122432643119
dp=0.010,0.01,smooth_quartic,0.8,0.9,135,944.2339693640703,1002.6666666666774,-58.43269730260738,226.0580041257492,442.0063424467567,442.0063424467842
dp=0.010,0.01,smooth_quartic,0.9,0.95,72,1187.4161063200838,2026.6666666666783,-839.2505603465945,854.6556803920098,1067.7011194803572,1067.7011194803918
dp=0.010,0.01,smooth_quartic,0.95,1.0,33,1009.3004041441181,2967.2727272727248,-1957.9723231286066,1969.2502022160752,2310.6916612556624,2310.6916612556624
dp=0.010,0.01,smooth_quartic,1.0,1.12,245,466.9571398105984,4067.265306122467,-3600.308166311867,3703.395652742877,4745.620681564719,4745.620681564772
dp=0.008,0.008,constant,0.0,0.2,7,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,0.2,0.4,74,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,0.4,0.6,170,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,0.6,0.8,243,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,0.8,0.9,245,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,0.9,0.95,156,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,0.95,1.0,126,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,1.0,1.12,192,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.008,0.008,quadratic_r2,0.0,0.2,7,5.98709422987894,6.0,-0.012905770121061469,0.012905770121061469,0.012905770121061977,0.012905770121061977
dp=0.008,0.008,quadratic_r2,0.2,0.4,74,5.98709422987894,6.0,-0.01290577012106104,0.012905770121061042,0.012905770121061977,0.012905770121063753
dp=0.008,0.008,quadratic_r2,0.4,0.6,170,5.964672405212835,6.0,-0.03532759478716569,0.04565510675425484,0.0801674300433111,0.08016743004331328
dp=0.008,0.008,quadratic_r2,0.6,0.8,243,4.767797577078573,6.0,-1.2322024229214275,1.5301671266128145,3.025115966218303,3.3008271257799793
dp=0.008,0.008,quadratic_r2,0.8,0.9,245,0.6745624957393552,6.0,-5.325437504260644,5.498835953053562,7.228157139845844,7.2281571398458615
dp=0.008,0.008,quadratic_r2,0.9,0.95,156,-3.7894036691664157,6.0,-9.789403669166417,9.825529963268291,10.777271136555651,10.777271136555656
dp=0.008,0.008,quadratic_r2,0.95,1.0,126,-6.0457237175423755,6.0,-12.045723717542371,12.055897513055575,12.462431428391987,12.462431428392021
dp=0.008,0.008,quadratic_r2,1.0,1.12,192,-7.655642726001621,6.0,-13.655642726001622,13.657461527767278,14.055273974137279,14.055273974137329
dp=0.008,0.008,linear_gap,0.0,0.2,6,-213.8381488927349,-249.99999999999977,36.1618511072649,36.1618511072649,36.16185110726687,36.16185110726687
dp=0.008,0.008,linear_gap,0.2,0.4,74,-121.29715575965108,-123.76746213137586,2.4703063717247558,4.049585352648003,9.492292872070635,9.492292872071346
dp=0.008,0.008,linear_gap,0.4,0.6,170,-74.35890928011547,-74.79812115389309,0.43921187377761733,0.5482246743589984,0.9498315986566581,0.9498315986567007
dp=0.008,0.008,linear_gap,0.6,0.8,243,-43.07669804586092,-56.368094181382844,13.29139613552193,16.302569268332746,31.812411405645246,34.21876485765269
dp=0.008,0.008,linear_gap,0.8,0.9,245,5.970150519071268,-47.56366313279144,53.53381365186269,55.07943045287977,71.45776394726587,71.45776394726593
dp=0.008,0.008,linear_gap,0.9,0.95,156,50.052294884287384,-42.98471275908221,93.0370076433696,93.32707523910786,101.48152686856992,101.48152686856992
dp=0.008,0.008,linear_gap,0.95,1.0,126,69.82091479288617,-40.92364685861797,110.74456165150409,110.80716007500575,113.97773511221266,113.97773511221268
dp=0.008,0.008,linear_gap,1.0,1.12,192,81.81657837363747,-38.87231877561345,120.68889714925092,120.69331435629401,122.23705620025615,122.23705620025618
dp=0.008,0.008,smooth_quartic,0.0,0.2,7,-4349.782901170624,-4624.457142857142,274.6742416865171,274.67428494113307,274.91967256059024,275.05182764662914
dp=0.008,0.008,smooth_quartic,0.2,0.4,74,-3597.0456547366707,-3870.0972972972945,273.0516425606236,273.0523838787688,274.1707937397023,274.1707937397032
dp=0.008,0.008,smooth_quartic,0.4,0.6,170,-2176.445880487338,-2450.8235294117603,274.3776489244218,274.419468252414,281.872457155612,281.87245715561585
