case,time,flux_ratio,apparent_flux_integral,fv_boundary_flux_integral
mode8_limiter_off_dp008,0.0,-0.0026569637518654068,-10.891218337160671,4099.121912940717
mode8_limiter_off_dp008,0.001046,-1.326046983067376,-54.25109448969954,40.911894663194644
mode8_limiter_off_dp008,0.002011,-1.9165940031426436,-54.26712589885588,28.31435651466818
mode8_limiter_off_dp008,0.003056,5.731883485205462,127.03081154039114,22.16214126966638
mode8_limiter_off_dp008,0.004021,18.653058741150442,350.17394189847045,18.773003760823045
mode8_limiter_off_dp008,0.005066,6.640595378656418,107.97072193242815,16.259193005412975
mode8_limiter_off_dp008,0.006031,-14.534101914502424,-211.40123438047476,14.545187286015539
mode8_positivity_dp008,0.0,-0.0026569637518654068,-10.891218337160671,4099.121912940717
mode8_positivity_dp008,0.001046,-1.326046983067376,-54.25109448969954,40.911894663194644
mode8_positivity_dp008,0.002011,-1.9165940031426436,-54.26712589885588,28.31435651466818
mode8_positivity_dp008,0.003056,5.729889994077354,126.98663150839019,22.16214126966638
mode8_positivity_dp008,0.004021,17.93359401731483,336.667427932125,18.773003760823045
mode8_positivity_dp008,0.005066,2.6640858919816317,43.315886700727134,16.259193005412975
mode8_positivity_dp008,0.006031,-21.303761011835803,-309.86719381366765,14.545187286015539
mode8_blend025_dp008,0.0,-0.0004927446126358515,-2.0198202391391042,4099.121912940717
mode8_blend025_dp008,0.001046,-0.26630572394828794,-10.895071726378148,40.911894663194644
mode8_blend025_dp008,0.002011,-0.27418718322478214,-7.763433657579128,28.31435651466818
mode8_blend025_dp008,0.003056,1.5587990779924015,34.546325377493304,22.16214126966638
mode8_blend025_dp008,0.004022,3.6300720859685156,68.13695707994236,18.770138847466768
mode8_blend025_dp008,0.005067,-1.301435357959779,-21.157638693690558,16.257156810968123
mode8_blend025_dp008,0.006032,-7.523641905635291,-109.4210180106157,14.543623870330425
mode8_blend050_dp008,0.0,-0.0010972257796932916,-4.497662236984235,4099.121912940717
mode8_blend050_dp008,0.001046,-0.5742717795465716,-23.494546552854672,40.911894663194644
mode8_blend050_dp008,0.002011,-0.6730205996082432,-19.056145199023547,28.31435651466818
mode8_blend050_dp008,0.003056,3.068037422858702,67.99427878601773,22.16214126966638
mode8_blend050_dp008,0.004022,7.948575512891833,149.19586601655408,18.770138847466768
mode8_blend050_dp008,0.005067,-0.9277680078836684,-15.082869988364308,16.257156810968123
mode8_blend050_dp008,0.006032,-13.028438006218723,-189.48070198036274,14.543623870330425
mode8_blend050_positivity_dp008,0.0,-0.0010972257796932916,-4.497662236984235,4099.121912940717
mode8_blend050_positivity_dp008,0.001046,-0.5742717795465716,-23.494546552854672,40.911894663194644
mode8_blend050_positivity_dp008,0.002011,-0.6730205996082432,-19.056145199023547,28.31435651466818
mode8_blend050_positivity_dp008,0.003056,3.068037422858702,67.99427878601773,22.16214126966638
mode8_blend050_positivity_dp008,0.004022,7.942323757326935,149.07851969656053,18.770138847466768
mode8_blend050_positivity_dp008,0.005067,-0.9772249620058845,-15.88689944692203,16.257156810968123
mode8_blend050_positivity_dp008,0.006032,-13.119262598584884,-190.80162068991228,14.543623870330425
