case,time,targets,corrected,fallback,material_samples,boundary_samples,avg_material,avg_boundary,support,r_min_factor,r_threshold,boundary_weight,condition_limit,cond_min,cond_mean,cond_max,mean_lap,max_abs_lap,mean_abs_replaced,max_abs_replaced,limiter,prevent_negative,limiter_dt,limiter_cfl,blend,limiter_targets,blend_limited,positivity_limited,theta_mean,theta_min,theta_max,mean_abs_limiter_delta,max_abs_limiter_delta,max_abs_diffusion_rate
mode8_blend050_dp008,0.000723906,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.2,2285.0,-275922.0,11627500.0,4798360.0,12645800.0,3,0,8.04337e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4798360.0,12645800.0,79018.1
mode8_blend050_dp008,0.000804339,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.2,2285.01,-167804.0,11804600.0,4851410.0,13044600.0,3,0,8.04335e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4851410.0,13044600.0,80221.6
mode8_blend050_dp008,0.000804339,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.2,2285.01,-167851.0,11804500.0,4851390.0,13044500.0,3,0,8.04335e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4851390.0,13044500.0,80220.8
mode8_blend050_dp008,0.000884772,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.21,2285.01,-42596.7,12016400.0,4915370.0,13520400.0,3,0,8.04333e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4915370.0,13520400.0,81660.8
mode8_blend050_dp008,0.000884772,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.21,2285.02,-42657.9,12016200.0,4915340.0,13520300.0,3,0,8.04333e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4915340.0,13520300.0,81659.8
mode8_blend050_dp008,0.000965206,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.21,2285.02,102524.0,12268100.0,4991830.0,14084600.0,3,0,8.04331e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4991830.0,14084600.0,83371.1
mode8_blend050_dp008,0.000965206,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.313,1410.21,2285.03,102445.0,12267900.0,4991800.0,14084400.0,3,0,8.04331e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4991800.0,14084400.0,83369.7
mode8_blend050_dp008,0.00104564,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.313,1410.22,2285.03,270662.0,12565300.0,5082560.0,14749800.0,3,0,8.04328e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5082560.0,14749800.0,85391.3
mode8_blend050_dp008,0.00104564,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.313,1410.22,2285.04,270563.0,12565100.0,5082520.0,14749600.0,3,0,8.04328e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5082520.0,14749600.0,85389.6
mode8_blend050_dp008,0.00112607,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.313,1410.22,2285.05,-775685.0,11192500.0,4668820.0,11453000.0,3,0,8.04325e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4668820.0,11453000.0,76061.6
mode8_blend050_dp008,0.00112607,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.313,1410.23,2285.05,-775804.0,11192200.0,4668770.0,11452800.0,3,0,8.04325e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4668770.0,11452800.0,76059.5
mode8_blend050_dp008,0.0012065,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.313,1410.23,2285.06,-569290.0,11553600.0,4781240.0,12259800.0,3,0,8.04321e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4781240.0,12259800.0,78516.0
mode8_blend050_dp008,0.0012065,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.313,1410.23,2285.07,-569404.0,11553300.0,4781190.0,12259500.0,3,0,8.04321e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4781190.0,12259500.0,78514.0
mode8_blend050_dp008,0.00128693,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.313,1410.23,2285.07,-369534.0,11897900.0,4888530.0,13024600.0,3,0,8.04319e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4888530.0,13024600.0,80855.8
mode8_blend050_dp008,0.00128693,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.313,1410.24,2285.08,-369645.0,11897600.0,4888490.0,13024300.0,3,0,8.04319e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4888490.0,13024300.0,80853.9
mode8_blend050_dp008,0.00136737,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.24,2285.09,-171882.0,12234700.0,4993520.0,13769600.0,3,0,8.04319e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4993520.0,13769600.0,83144.1
mode8_blend050_dp008,0.00136737,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.312,1410.24,2285.09,-171994.0,12234400.0,4993480.0,13769300.0,3,0,8.04319e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4993480.0,13769300.0,83142.2
mode8_blend050_dp008,0.0014478,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.25,2285.1,27770.5,12572800.0,5098920.0,14516300.0,3,0,8.04319e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5098920.0,14516300.0,85441.9
mode8_blend050_dp008,0.0014478,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.25,2285.11,27654.3,12572500.0,5098880.0,14516100.0,3,0,8.04319e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5098880.0,14516100.0,85439.9
