AccInput_az_m_s2,H_effective_m,TimeMax_s,TimeOut_s,bottom_rmse_fit_Pa,bottom_rmse_q0_Pa,code,cv_m2_s,drain_start_s,dtmin_adjustments,excluded,final_bottom_excess_mean_Pa,final_bottom_no_flux_proxy_Pa,final_excess_maxAbs_Pa,final_top_drained_excess_maxAbs_Pa,final_velocity_max_mps,fit_amplitude_Pa,frames,load_route,peak_excess_maxAbs_Pa,profile_rmse_fit_Pa,profile_rmse_q0_Pa,q0_target_Pa,run,runtime_s,steps
0.0,0.9900000001,0.02,0.001,7298.73276138238,7287.235318394663,0,0.2733413500446425,0.0,0,0,352.69608078960005,0.0023383687500881933,352.7333981073,0.0,0.0,10012.748576445529,21,PorePressureInit=3 uniform initial excess; no mechanical AccInput,10000.0,9140.561127343984,9128.622705131094,10000.0,cpu,390.459106,20975
0.0,0.9900000001,0.02,0.001,7298.721853741693,7287.224411825157,0,0.2733413500446425,0.0,0,0,352.7092013888998,0.0023230373599290033,352.7465362173,0.0,0.0,10012.748576445529,21,PorePressureInit=3 uniform initial excess; no mechanical AccInput,10000.0,9140.551924232426,9128.613502053566,10000.0,gpu,50.015289,20975
