run,l2_bottom_rmse_q0_Pa,l3a_bottom_rmse_q0_Pa,bottom_rmse_reduction_factor,l2_profile_rmse_q0_Pa,l3a_profile_rmse_q0_Pa,profile_rmse_reduction_factor,l2_peak_excess_Pa,l3a_peak_excess_Pa,l2_velocity_max_mps,l3a_velocity_max_mps
cpu,220616.71431923972,7287.235318394663,30.274405131717405,47912.45556285427,9128.622705131094,5.248596322851993,624556.0838005,10000.0,0.03754387100000044,0.0
gpu,220616.8306044474,7287.224411825157,30.27446639991587,47912.517595950834,9128.613502053566,5.2486084097187895,624556.2498158,10000.0,0.037543945000000196,0.0
