frame,time_s,axial_strain_compression_positive,p_eff_mean_region,q_mean_region,p_eff_mean_all,q_mean_all
0000,0.0,-0.0,0.0,0.0,0.0,0.0
0001,0.000503,-0.0,0.0,0.0,0.0,0.0
0002,0.000804,1.941747550235755e-08,3.0240159314761e-05,2.79139906197885e-05,0.025092879689291303,0.023162656478965368
0003,0.001005,5.501618114692105e-08,0.10529804770407496,0.09719818807090286,0.11120882429245027,0.10265428994152011
