frame,time_s,axial_displacement_m,axial_strain_compression_positive,all_count,all_porepress_mean,all_porepress_min,all_porepress_max,all_excess_mean,all_excess_p95,all_porepressrate_mean,all_porepressrate_maxabs,all_divvel_mean,all_divvel_min,all_divvel_max,all_kplastic_mean,all_kplastic_max,all_velocity_mean,all_velocity_max,all_p_eff_mean,all_q_mean,region_count,region_porepress_mean,region_porepress_min,region_porepress_max,region_excess_mean,region_excess_p95,region_porepressrate_mean,region_porepressrate_maxabs,region_divvel_mean,region_divvel_min,region_divvel_max,region_kplastic_mean,region_kplastic_max,region_velocity_mean,region_velocity_max,region_p_eff_mean,region_q_mean
0000,0.0,0.0,-0.0,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0001,0.000503,0.0,-0.0,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0002,0.000804,-1.9999999767428278e-08,1.941747550235755e-08,1040,10.037150690548568,0.0,205.8152947309,10.037150690548568,98.46248721374,66971.17818669768,1043792.5,-0.00010045677379054293,-0.0015658707,0.0,0.0,0.0,6.441381606806308e-06,0.0001553928500000001,0.025092879689291303,0.023162656478965368,80,0.012096066734559255,0.0,0.2231939617842,0.012096066734559255,0.028106401996276918,120.30797082782499,2219.8962,-1.80461910822995e-07,-3.3298434e-06,0.0,0.0,0.0,5.193210427983099e-10,9.6765191e-09,3.0240159314761e-05,2.79139906197885e-05
0003,0.001005,-5.6666666581328684e-08,5.501618114692105e-08,1040,44.4835252496588,0.0,570.9700571482,44.4835252496588,324.986254700595,215466.58901375404,2307641.5,-0.00032319989947416646,-0.0034612748,0.0,0.0,0.0,3.1659772799012096e-05,0.0004422341600000002,0.11120882429245027,0.10265428994152011,80,42.12096766571918,0.0,259.1791072278,42.12096766571918,251.55368476847497,379877.86022152106,2307641.5,-0.0005697917684656655,-0.0034612748,0.0,0.0,0.0,2.0355813604862756e-05,0.00019629067,0.10529804770407496,0.09719818807090286
