frame,time_s,axial_strain_compression_positive,count,porepress_mean,porepress_min,porepress_max,excess_mean,excess_p95,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_min,divvel_max,kplastic_mean,kplastic_max,velocity_mean,velocity_max,p_eff_mean,q_mean
0000,0.0,-0.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0001,0.000503,-0.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0002,0.000804,1.941747550235755e-08,80,0.012096066734559255,0.0,0.2231939617842,0.012096066734559255,0.028106401996276918,120.30797082782499,2219.8962,-1.80461910822995e-07,-3.3298434e-06,0.0,0.0,0.0,5.193210427983099e-10,9.6765191e-09,3.0240159314761e-05,2.79139906197885e-05
0003,0.001005,5.501618114692105e-08,80,42.12096766571918,0.0,259.1791072278,42.12096766571918,251.55368476847497,379877.86022152106,2307641.5,-0.0005697917684656655,-0.0034612748,0.0,0.0,0.0,2.0355813604862756e-05,0.00019629067,0.10529804770407496,0.09719818807090286
