case,label,frame,time,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_compression_proxy_mean,q_proxy_mean
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",13,0.003519,-39.8160513185258,-39.816051169213765,-50.484912172235866,43.37233821999181,56.41997087230549
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",14,0.00382,-31.306337118894348,-31.306336885233414,-42.89404897542998,35.16890765985258,53.19149441639222
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",15,0.004021,-24.62068449312039,-24.62068441658477,-36.970166467813264,28.73717845917281,51.845376743682515
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",16,0.004323,-15.669579818402951,-15.66957993896806,-29.059930725552828,20.13303016097461,51.83052539551228
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",17,0.004524,-11.732878384520884,-11.732878434791155,-25.57316842850123,16.346308415937756,52.71338617638407
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",18,0.004826,-10.247424587469288,-10.247424677395577,-24.20637158985258,14.900406951572482,53.819489316574376
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",19,0.005027,-12.285068161818181,-12.285068372113024,-25.94040179213759,16.836846108689603,54.02999965179365
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",20,0.005328,-18.705563358347668,-18.705563533831697,-31.517664505405406,22.976263799194918,53.72059803680526
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",21,0.005529,-24.036584151719904,-24.03658444005651,-36.221170564373466,28.09811305204996,53.4099971336182
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",22,0.005831,-31.49498754398034,-31.49498801179361,-42.98967028722359,35.32654861433251,53.25979449259903
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",23,0.006032,-35.11195676823096,-35.111957140614244,-46.474286713267816,38.89940020737101,53.4972109308855
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",0,407.0,-50.0,-50.0,-50.0,50.0,0.0
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",1,0.000503,-30.282442368550363,-30.282442484029485,-33.738386206388206,31.43442368632269,5.4967249700762615
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",2,0.000804,-6.785134490567566,-6.785134595933661,-14.63259396154791,9.400954349349714,11.420608156525498
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",3,0.001005,6.252925864658475,6.252925650938574,-4.41719521899263,-2.6962187655348075,14.697474278758362
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",4,0.001307,16.565510642604423,16.56551029840295,2.7963029196977893,-11.975774620235054,20.30631054731608
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",5,0.001508,16.61358557739558,16.613585063759214,1.7653315857702694,-11.664167408975024,25.01060965364509
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",6,0.00181,8.18736777076167,8.187367165601966,-6.913658864373463,-3.1536920239967245,33.45146419347481
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",7,0.002011,-1.188338043862407,-1.1883385654840295,-15.756254036609336,6.044310215318591,39.74170149186439
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",8,0.002312,-16.943804037936122,-16.943804338820637,-30.178429397051598,21.355345924602787,48.59145705198369
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",9,0.002513,-26.503234766339062,-26.503235009090908,-38.79465984660934,30.60037654067977,53.246318646506694
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",10,0.002815,-36.91558018034398,-36.91558036707617,-48.10964972407863,40.64693675716626,57.278621183058455
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",11,0.003016,-40.506047088766586,-40.50604706746683,-51.31406048771498,44.108718214649464,57.93079240675053
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",12,0.003318,-40.341834930319415,-40.34183469262899,-51.27549607051597,43.98638856448812,56.40031204258918
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",13,0.003519,-36.24971263235873,-36.249712397321865,-47.882856751621624,40.127427260434075,55.85447707753985
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",14,0.00382,-27.00712097820638,-27.00712050378379,-39.58551697100737,31.19991948433252,52.43798532452035
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",15,0.004021,-18.725706466904175,-18.72570596918919,-32.05965555090909,23.170355995667485,50.09844994309906
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",16,0.004323,-0.9916178930958224,-0.99161761938575,-17.427824848624077,6.470353453701885,89.22043697989221
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",17,0.004523,-6.599548287223587,-6.599548839557739,-16.564498896314497,9.92119867436528,230.54816290224161
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",18,0.00482,11.395908601547887,11.395888455110503,13.553448422604463,-12.115081826420964,1663.6658157859981
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",19,0.005008,820.7326347125306,820.7326409140048,525.0408722113024,-722.1687159459457,5204.210357881284
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",20,0.005261,3090.350238670762,3090.3504939754303,2084.997083538084,-2755.232605394758,11402.142542157308
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",21,0.005506,8499.34120457494,8499.341829577395,6257.52110132678,-7752.068045159705,11199.495256012307
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",22,0.005753,20289.42461169533,20289.424496855037,12994.795842923833,-17857.8816504914,31036.021436344396
CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback",23,0.006008,40357.022712776416,40357.02233636364,24272.595555230957,-34995.54686812367,70198.63211555881
