step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_limited,feedback_relaxed,case,label
36,0.00402143,0.680955,63,344,108.56,64.3119,108.56,64.3119,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
37,0.00412193,0.747952,63,344,601.187,443.912,601.187,443.912,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
38,0.00422241,0.814941,63,344,136.321,75.2891,136.321,75.2891,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
39,0.00432288,0.88192,63,344,2055.13,1538.63,2055.13,1538.63,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
40,0.00442325,0.948836,63,344,908.865,648.476,908.865,648.476,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
41,0.0045234,1.0,63,344,7630.93,5593.88,7630.93,5593.88,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
42,0.00462315,1.0,63,344,13286.4,9366.47,13286.4,9366.47,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
43,0.00472218,1.0,63,344,13711.2,10445.8,13711.2,10445.8,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
44,0.00481967,1.0,63,344,63140.2,44811.5,63140.2,44811.5,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
45,0.00491471,1.0,63,344,18516.0,11106.5,18516.0,11106.5,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
46,0.00500776,1.0,63,344,203025.0,142947.0,203025.0,142947.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
47,0.00508304,1.0,63,344,47016.6,28024.1,47016.6,28024.1,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
48,0.00513706,1.0,63,344,412404.0,292562.0,412404.0,292562.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
49,0.00516137,1.0,63,344,472722.0,338135.0,472722.0,338135.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
50,0.00519517,1.0,63,344,138192.0,100576.0,138192.0,100576.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
51,0.00522965,1.0,63,344,301759.0,199990.0,301759.0,199990.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
52,0.00524616,1.0,63,344,501274.0,336028.0,501274.0,336028.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
53,0.00526109,1.0,63,344,621117.0,417401.0,621117.0,417401.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
54,0.0052807,1.0,63,344,655285.0,443656.0,655285.0,443656.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
55,0.00531453,1.0,63,344,355817.0,250149.0,355817.0,250149.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
56,0.00533059,1.0,63,344,89684.0,59646.4,89684.0,59646.4,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
57,0.00534068,1.0,63,344,140653.0,77013.7,140653.0,77013.7,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
