case,part,time,total_count,specimen_count,top_platen_count,bottom_platen_count,measurement_core_small_count,platen_contamination_core_small,top_platen_displacement,top_platen_vz_mean,bottom_platen_displacement,bottom_platen_vmag_max,specimen_axial_strain_proxy,specimen_radial_strain_proxy,velocity_max,specimen_velocity_max,porepress_mean,porepress_std,porepressrate_maxabs,divvel_maxabs,kplastic_max,true_reaction_available,reaction_type,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
platen_no_confinement,0,0.0,555,407,74,74,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,specimen_stress_proxy,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,1,0.000503,555,407,74,74,15,0,-2.5100000001360145e-06,-0.004999999899999997,0.0,0.0,0.0,0.0,0.0049999999,0.0,0.0,0.0,0.0,0.0,0.0,0,specimen_stress_proxy,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,2,0.001005,555,407,74,74,15,0,-5.025000000005719e-06,-0.004999999899999997,0.0,0.0,-4.229975706232514e-06,1.028793365545084e-06,0.0049999999,0.0024368633000000006,1461.9112374391163,2079.307859786343,25430056.0,0.038173441,0.0,0,specimen_stress_proxy,-9.788117227655674,-9.78811731904231,-27.14703232630896,27.14703232630896,0.07675642559078717,15.574422291002314,17.35891505295997
platen_no_confinement,3,0.001508,555,407,74,74,15,0,-7.540000000055835e-06,-0.004999999899999997,0.0,0.0,-1.6076164355421918e-05,5.951181924275184e-06,0.0049999999,0.004274869300000001,4194.341168624555,4529.048518061994,30368034.0,0.045617662,0.0,0,specimen_stress_proxy,-13.4521283062973,-13.45212822631941,-56.91793413783294,56.91793413783294,0.16093166737043127,27.940730223483214,43.46580587152458
platen_no_confinement,4,0.002011,555,407,74,74,15,0,-1.0050000000039194e-05,-0.004999999899999997,0.0,0.0,-3.397444303193664e-05,1.5831796310469812e-05,0.005238099500000001,0.005238099500000001,5657.916268028272,9270.423017481633,37825064.0,0.056811746,0.0,0,specimen_stress_proxy,-7.325959643636365,-7.325959418501229,-85.50511038577396,85.50511038577396,0.2417600039690986,33.38567648263719,78.17915085470517
platen_no_confinement,5,0.002513,555,407,74,74,15,0,-1.2564999999992166e-05,-0.004999999899999997,0.0,0.0,-5.577617015001257e-05,2.890577747713118e-05,0.005527410700000001,0.005527410700000001,6390.269699812561,10754.748671031315,37844748.0,0.056874078,0.0,0,specimen_stress_proxy,5.461205001056514,5.461205224201477,-112.69428439656004,112.69428439656004,0.3186355823656127,33.923958057100684,118.15548950918902
platen_no_confinement,6,0.003016,555,407,74,74,15,0,-1.5080000000070037e-05,-0.004999999899999997,0.0,0.0,-7.954430259998757e-05,4.1309166193579386e-05,0.0052682026,0.0052682026,7303.675930762545,13173.07023909593,13642021.0,0.020623343,0.0,0,specimen_stress_proxy,16.62099091500982,16.620991166582307,-141.5067379336609,141.5067379336609,0.4001008754932607,36.08825195068959,158.12772897445697
platen_no_confinement,7,0.003519,555,407,74,74,15,0,-1.758999999997013e-05,-0.004999999899999997,0.0,0.0,-0.00010367075550007931,4.970938263496838e-05,0.005345436634628952,0.005345436634628952,10917.618290206015,9585.44587050637,29260884.0,0.043858312,0.0,0,specimen_stress_proxy,19.051201157346433,19.05120147461916,-174.88789594103213,174.88789594103213,0.49448387618111045,45.59516443635551,193.93909725701494
platen_no_confinement,8,0.004022,555,407,74,74,15,0,-2.0105000000103512e-05,-0.004999999899999997,0.0,0.0,-0.0001276283666999667,5.3886914633646746e-05,0.00552282073909219,0.00552282073909219,16826.18482572525,7983.4854097045545,39217284.0,0.05883719,0.0,0,specimen_stress_proxy,12.195149463685505,12.19514959308354,-212.81093549877133,212.81093549877133,0.6017087444098601,62.80687881400076,225.00608502715585
platen_no_confinement,9,0.004524,555,407,74,74,15,0,-2.2620000000028728e-05,-0.004999999899999997,0.0,0.0,-0.00015137225979997004,5.636151691724153e-05,0.005537325998467195,0.005537325998467195,24414.566350361914,7547.557797178572,26266154.0,0.039471313,0.0,0,specimen_stress_proxy,1.2218544789926296,1.2218544559705198,-252.37210325307143,252.37210325307143,0.7135653109957685,83.30946477270275,253.59395772055302
platen_no_confinement,10,0.005027,555,407,74,74,15,0,-2.5129999999970454e-05,-0.004999999899999997,0.0,0.0,-0.00017278411899995794,6.0121216319350456e-05,0.005662878500000001,0.005662878500000001,30344.563277185614,10227.714690828843,22360248.0,0.033615172,0.0,0,specimen_stress_proxy,-6.946469647540541,-6.946469715695332,-289.4862567321867,289.4862567321867,0.8185031077185418,101.12639869847419,282.53978705056875
