case,case_name,code,excluded,dtmin_adjustments,fixed_count,moving_count,fluid_count,true_reaction_available,reaction_type,final_total_count,final_specimen_count,final_top_platen_count,final_bottom_platen_count,final_measurement_core_small_count,final_platen_contamination_core_small,final_top_platen_displacement,final_top_platen_vz_mean,final_bottom_platen_displacement,final_bottom_platen_vmag_max,final_specimen_axial_strain_proxy,final_specimen_radial_strain_proxy,final_velocity_max,final_specimen_velocity_max,final_porepress_mean,final_porepress_std,final_porepressrate_maxabs,final_divvel_maxabs,final_kplastic_max,final_true_reaction_available,final_reaction_type,final_sigma_xx_mean,final_sigma_yy_mean,final_sigma_zz_mean,final_sigma_a_proxy,final_reaction_force_proxy,final_p_eff_proxy,final_q_proxy
platen_no_confinement,CaseT4s_PlatenAxial_NoConfinement,0,0,0,74,74,407,0,specimen_stress_proxy,555,407,74,74,15,0,-3.0000000000016125e-05,-0.0033907648000000004,0.0,0.0,-0.00020983582600012096,7.586699399842585e-05,0.00547058606705461,0.00547058606705461,34955.91737359715,13730.756835822125,20563530.0,0.030985951,0.0,0,specimen_stress_proxy,-2.524561003108108,-2.5245610635331692,-348.6949649140048,348.6949649140048,0.9859117861058293,117.91469566021537,346.1704038806842
platen_lateral_confinement,CaseT4s_PlatenAxial_LateralConfinement,0,0,0,74,74,407,0,specimen_stress_proxy,555,407,74,74,15,0,-3.0000000000016125e-05,-0.003391786700000004,0.0,0.0,-0.00020927541300008734,6.49338346775044e-05,0.005534289930643178,0.005534289930643178,45374.10480389952,16040.653185079615,20437690.0,0.030697737,0.0,0,specimen_stress_proxy,-34.838258838034406,-34.83825910606882,-367.30763083538096,367.30763083538096,1.038537859175914,145.66138292649472,332.46937186332934
