part,time,idp,return_status,failed,region,velocity,velocity_gradient_available,axial_strain_rate_proxy,radial_strain_rate_proxy,shear_rate_proxy,velocity_gradient_norm,DivVel,PorePressRate
0,0.0,170,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,171,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,172,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,173,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,203,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,204,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,205,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,206,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,214,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,215,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,216,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,217,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,225,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,226,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,227,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,228,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,269,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,270,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,271,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,272,0,0,measurement_core,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,280,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,281,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,282,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,283,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,291,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,292,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,293,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,294,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,346,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,347,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,348,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,349,0,0,measurement_core,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,357,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,358,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,359,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,360,0,0,measurement_core,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,368,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,369,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,370,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,371,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,423,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,424,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,425,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,426,0,0,measurement_core,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,434,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,435,0,0,bottom_cap_zone,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,436,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,437,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,445,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,446,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,447,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,448,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,489,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,490,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,491,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,492,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,500,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,501,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,502,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,503,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,511,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,512,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,513,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,514,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,533,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,534,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,535,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,536,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,544,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,545,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,546,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,547,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,302,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,303,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,304,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,305,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,379,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,380,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,381,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,382,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,456,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,457,0,0,edge_ring,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,458,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,459,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,152,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,153,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,154,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,185,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,186,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,187,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,196,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,197,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,198,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,240,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,241,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,242,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,251,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
