part,time,idp,return_status,failed,x,y,z,r,r_over_R,z_over_H,distance_to_top_platen,distance_to_bottom_platen,distance_to_lateral_boundary,distance_to_edge_corner,region,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance,kernel_support_sum,kernel_support_ratio_to_core,velocity,DivVel,PorePressRate,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,Kplastic,PorePress,pairwise_reaction_avg,force_balance_error,velocity_gradient_available,axial_strain_rate_proxy,radial_strain_rate_proxy,shear_rate_proxy,velocity_gradient_norm
0,0.0,195,0,0,-0.02,-0.0099999998,0.029999999,0.02236067968555518,0.745355989518506,0.29999999,0.070000001,0.029999999,0.007639320314444819,0.030957376420922535,lateral_surface,115,115,0.009999998999999999,11.036307018075549,0.8525732379393411,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,236,0,0,-0.0099999998,-0.029999999,0.0,0.03162277558975494,1.054092519658498,0.0,0.1,0.0,-0.0016227755897549392,0.0016227755897549392,edge_ring,76,48,0.009999998999999999,7.0239654448548565,0.542613118019091,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,237,0,0,-0.0099999998,-0.029999999,0.0099999998,0.03162277558975494,1.054092519658498,0.09999999799999999,0.09000000020000001,0.0099999998,-0.0016227755897549392,0.01013081421282142,edge_ring,81,64,0.009999998999999999,7.02964190292935,0.543051633931404,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,238,0,0,-0.0099999998,-0.029999999,0.02,0.03162277558975494,1.054092519658498,0.19999999999999998,0.08,0.02,-0.0016227755897549392,0.020065727014357205,lateral_surface,81,76,0.009999998999999999,7.029642040350542,0.5430516445474217,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,239,0,0,-0.0099999998,-0.029999999,0.029999999,0.03162277558975494,1.054092519658498,0.29999999,0.070000001,0.029999999,-0.0016227755897549392,0.030043856953039592,lateral_surface,81,81,0.009999998999999999,7.0296418881827165,0.5430516327922018,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,247,0,0,-0.0099999998,-0.02,0.0,0.02236067968555518,0.745355989518506,0.0,0.1,0.0,0.007639320314444819,0.007639320314444819,edge_ring,107,68,0.009999998999999999,11.028477632221295,0.851968404743064,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,248,0,0,-0.0099999998,-0.02,0.0099999998,0.02236067968555518,0.745355989518506,0.09999999799999999,0.09000000020000001,0.0099999998,0.007639320314444819,0.012584085619014569,edge_ring,115,90,0.009999998999999999,11.036307043435306,0.8525732398984249,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,249,0,0,-0.0099999998,-0.02,0.02,0.02236067968555518,0.745355989518506,0.19999999999999998,0.08,0.02,0.007639320314444819,0.021409325418300533,lateral_surface,115,107,0.009999998999999999,11.036307248947915,0.8525732557746188,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,250,0,0,-0.0099999998,-0.02,0.029999999,0.02236067968555518,0.745355989518506,0.29999999,0.070000001,0.029999999,0.007639320314444819,0.030957376420922535,lateral_surface,115,115,0.009999998999999999,11.036307018075547,0.852573237939341,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,258,0,0,-0.0099999998,-0.0099999998,0.0,0.014142135340888238,0.47140451136294126,0.0,0.1,0.0,0.01585786465911176,0.01585786465911176,bottom_cap_zone,136,86,0.0099999998,12.626246159829154,0.9753987048270628,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,259,0,0,-0.0099999998,-0.0099999998,0.0099999998,0.014142135340888238,0.47140451136294126,0.09999999799999999,0.09000000020000001,0.0099999998,0.01585786465911176,0.018747582978792383,bottom_cap_zone,145,114,0.0099999998,12.634255444676805,0.9760174355224808,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,260,0,0,-0.0099999998,-0.0099999998,0.02,0.014142135340888238,0.47140451136294126,0.19999999999999998,0.08,0.02,0.01585786465911176,0.025523947021311298,interior,145,136,0.009999998999999999,12.634255681599777,0.9760174538251779,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,261,0,0,-0.0099999998,-0.0099999998,0.029999999,0.014142135340888238,0.47140451136294126,0.29999999,0.070000001,0.029999999,0.01585786465911176,0.033933343654092014,interior,145,145,0.009999998999999999,12.634255421254146,0.9760174337130411,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,313,0,0,0.0,-0.029999999,0.0,0.029999999,0.9999999666666667,0.0,0.1,0.0,9.999999994736442e-10,9.999999994736442e-10,edge_ring,79,50,0.009999998999999999,8.309794973581859,0.641945606953053,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,314,0,0,0.0,-0.029999999,0.0099999998,0.029999999,0.9999999666666667,0.09999999799999999,0.09000000020000001,0.0099999998,9.999999994736442e-10,0.009999999800000048,edge_ring,85,66,0.009999998999999999,8.316457971241952,0.6424603347039342,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,315,0,0,0.0,-0.029999999,0.02,0.029999999,0.9999999666666667,0.19999999999999998,0.08,0.02,9.999999994736442e-10,0.02000000000000002,lateral_surface,85,79,0.009999998999999999,8.316458129018724,0.6424603468924546,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,316,0,0,0.0,-0.029999999,0.029999999,0.029999999,0.9999999666666667,0.29999999,0.070000001,0.029999999,9.999999994736442e-10,0.029999999000000013,lateral_surface,85,85,0.009999998999999999,8.316457951185095,0.6424603331545083,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,324,0,0,0.0,-0.02,0.0,0.02,0.6666666666666667,0.0,0.1,0.0,0.009999999999999998,0.009999999999999998,edge_ring,113,72,0.009999998999999999,12.006419782820586,0.927516077029476,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,325,0,0,0.0,-0.02,0.0099999998,0.02,0.6666666666666667,0.09999999799999999,0.09000000020000001,0.0099999998,0.009999999999999998,0.014142135482309595,edge_ring,122,95,0.009999998999999999,12.014429068869656,0.9281348078177057,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,326,0,0,0.0,-0.02,0.02,0.02,0.6666666666666667,0.19999999999999998,0.08,0.02,0.009999999999999998,0.022360679774997897,lateral_surface,122,113,0.009999998999999999,12.014429291408172,0.9281348250091794,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,327,0,0,0.0,-0.02,0.029999999,0.02,0.6666666666666667,0.29999999,0.070000001,0.029999999,0.009999999999999998,0.0316227756530005,lateral_surface,122,122,0.009999998999999999,12.014429040179436,0.9281348056013381,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,335,0,0,0.0,-0.0099999998,0.0,0.0099999998,0.33333332666666665,0.0,0.1,0.0,0.0200000002,0.0200000002,bottom_cap_zone,144,91,0.0099999998,12.92837386723517,0.9987385772456585,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,336,0,0,0.0,-0.0099999998,0.0099999998,0.0099999998,0.33333332666666665,0.09999999799999999,0.09000000020000001,0.0099999998,0.0200000002,0.022360679864440618,bottom_cap_zone,153,121,0.0099999998,12.936383151808492,0.9993573079198842,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,337,0,0,0.0,-0.0099999998,0.02,0.0099999998,0.33333332666666665,0.19999999999999998,0.08,0.02,0.0200000002,0.02828427138888326,interior,153,144,0.009999998999999999,12.936383395873108,0.9993573267742853,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,338,0,0,0.0,-0.0099999998,0.029999999,0.0099999998,0.33333332666666665,0.29999999,0.070000001,0.029999999,0.0200000002,0.03605551203352965,measurement_core,153,153,0.009999998999999999,12.936383131204314,0.9993573063281769,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,390,0,0,0.0099999998,-0.029999999,0.0,0.03162277558975494,1.054092519658498,0.0,0.1,0.0,-0.0016227755897549392,0.0016227755897549392,edge_ring,76,48,0.009999998999999999,7.023965444854859,0.5426131180190912,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,391,0,0,0.0099999998,-0.029999999,0.0099999998,0.03162277558975494,1.054092519658498,0.09999999799999999,0.09000000020000001,0.0099999998,-0.0016227755897549392,0.01013081421282142,edge_ring,81,64,0.009999998999999999,7.029641902929351,0.543051633931404,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,392,0,0,0.0099999998,-0.029999999,0.02,0.03162277558975494,1.054092519658498,0.19999999999999998,0.08,0.02,-0.0016227755897549392,0.020065727014357205,lateral_surface,81,76,0.009999998999999999,7.029642040350543,0.5430516445474217,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,393,0,0,0.0099999998,-0.029999999,0.029999999,0.03162277558975494,1.054092519658498,0.29999999,0.070000001,0.029999999,-0.0016227755897549392,0.030043856953039592,lateral_surface,81,81,0.009999998999999999,7.029641888182716,0.5430516327922017,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,401,0,0,0.0099999998,-0.02,0.0,0.02236067968555518,0.745355989518506,0.0,0.1,0.0,0.007639320314444819,0.007639320314444819,edge_ring,107,68,0.009999998999999999,11.028477632221293,0.8519684047430639,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,402,0,0,0.0099999998,-0.02,0.0099999998,0.02236067968555518,0.745355989518506,0.09999999799999999,0.09000000020000001,0.0099999998,0.007639320314444819,0.012584085619014569,edge_ring,115,90,0.009999998999999999,11.036307043435304,0.8525732398984248,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,403,0,0,0.0099999998,-0.02,0.02,0.02236067968555518,0.745355989518506,0.19999999999999998,0.08,0.02,0.007639320314444819,0.021409325418300533,lateral_surface,115,107,0.009999998999999999,11.036307248947919,0.8525732557746192,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,404,0,0,0.0099999998,-0.02,0.029999999,0.02236067968555518,0.745355989518506,0.29999999,0.070000001,0.029999999,0.007639320314444819,0.030957376420922535,lateral_surface,115,115,0.009999998999999999,11.036307018075547,0.852573237939341,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,412,0,0,0.0099999998,-0.0099999998,0.0,0.014142135340888238,0.47140451136294126,0.0,0.1,0.0,0.01585786465911176,0.01585786465911176,bottom_cap_zone,136,86,0.0099999998,12.62624615982915,0.9753987048270625,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,413,0,0,0.0099999998,-0.0099999998,0.0099999998,0.014142135340888238,0.47140451136294126,0.09999999799999999,0.09000000020000001,0.0099999998,0.01585786465911176,0.018747582978792383,bottom_cap_zone,145,114,0.0099999998,12.634255444676802,0.9760174355224804,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,414,0,0,0.0099999998,-0.0099999998,0.02,0.014142135340888238,0.47140451136294126,0.19999999999999998,0.08,0.02,0.01585786465911176,0.025523947021311298,interior,145,136,0.009999998999999999,12.63425568159978,0.9760174538251782,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,415,0,0,0.0099999998,-0.0099999998,0.029999999,0.014142135340888238,0.47140451136294126,0.29999999,0.070000001,0.029999999,0.01585786465911176,0.033933343654092014,interior,145,145,0.009999998999999999,12.634255421254144,0.9760174337130408,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,467,0,0,0.02,-0.02,0.0,0.028284271247461905,0.9428090415820636,0.0,0.1,0.0,0.001715728752538094,0.001715728752538094,edge_ring,88,56,0.0099999998,8.022549325930303,0.6197553986251069,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,468,0,0,0.02,-0.02,0.0099999998,0.028284271247461905,0.9428090415820636,0.09999999799999999,0.09000000020000001,0.0099999998,0.001715728752538094,0.010146118526426051,edge_ring,94,75,0.0099999998,8.028405657258606,0.6202078100481345,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,469,0,0,0.02,-0.02,0.02,0.028284271247461905,0.9428090415820636,0.19999999999999998,0.08,0.02,0.001715728752538094,0.02007345822603285,lateral_surface,94,88,0.009999998999999999,8.028405812962921,0.6202078220765541,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,470,0,0,0.02,-0.02,0.029999999,0.028284271247461905,0.9428090415820636,0.29999999,0.070000001,0.029999999,0.001715728752538094,0.030049021034840504,lateral_surface,94,94,0.009999998999999999,8.028405641177551,0.620207808805846,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,478,0,0,0.02,-0.0099999998,0.0,0.02236067968555518,0.745355989518506,0.0,0.1,0.0,0.007639320314444819,0.007639320314444819,edge_ring,107,68,0.009999998999999999,11.028477632221295,0.851968404743064,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,479,0,0,0.02,-0.0099999998,0.0099999998,0.02236067968555518,0.745355989518506,0.09999999799999999,0.09000000020000001,0.0099999998,0.007639320314444819,0.012584085619014569,edge_ring,115,90,0.009999998999999999,11.036307043435304,0.8525732398984248,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,480,0,0,0.02,-0.0099999998,0.02,0.02236067968555518,0.745355989518506,0.19999999999999998,0.08,0.02,0.007639320314444819,0.021409325418300533,lateral_surface,115,107,0.009999998999999999,11.036307248947917,0.8525732557746191,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,481,0,0,0.02,-0.0099999998,0.029999999,0.02236067968555518,0.745355989518506,0.29999999,0.070000001,0.029999999,0.007639320314444819,0.030957376420922535,lateral_surface,115,115,0.009999998999999999,11.036307018075549,0.8525732379393411,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
0,0.0,522,0,0,0.029999999,-0.0099999998,0.0,0.03162277558975494,1.054092519658498,0.0,0.1,0.0,-0.0016227755897549392,0.0016227755897549392,edge_ring,76,48,0.009999998999999999,7.023965444854857,0.5426131180190911,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144809,2.53653e-09,1,0.0,0.0,0.0,0.0
