time,region,return_status,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,kernel_support_ratio_to_core_mean,nearest_neighbor_mean,velocity_mean,velocity_gradient_norm_mean,axial_strain_rate_mean,radial_strain_rate_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,pc_mean,yield_residual_mean,yield_residual_maxAbs,return_iterations_max,pairwise_reaction_avg
0.0,bottom_cap_zone,0,18,0,0,0,147.72222222222223,105.5,0.9890317269689002,0.9890317269689002,0.009999999799999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.0,0.0,0.0,0.144809
0.0,edge_ring,0,112,0,0,0,95.64285714285714,68.14285714285714,0.7114594882369503,0.7114594882369503,0.009999997557142851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.0,0.0,0.0,0.14480900000000027
0.0,interior,0,38,0,0,0,148.42105263157896,144.1578947368421,0.9823286042860895,0.9823286042860895,0.00999999853157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.0,0.0,0.0,0.1448090000000001
0.0,lateral_surface,0,196,0,0,0,99.0,97.08163265306122,0.7117217925170535,0.7117217925170535,0.00999999844897961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.0,0.0,0.0,0.14480899999999958
0.0,measurement_core,0,25,0,0,0,158.0,158.0,0.9999999999999997,0.9999999999999997,0.009999998560000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.0,0.0,0.0,0.144809
0.0,top_cap_zone,0,18,0,0,0,147.72222222222223,105.5,0.989031728771118,0.989031728771118,0.009999996000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,120.0,0.0,0.0,0.0,0.144809
0.000503,bottom_cap_zone,0,18,0,0,0,147.72222222222223,105.5,0.9864950014146401,0.9864950014146401,0.010000000451604832,8.990746695675701e-05,0.03475038726291032,8.054397646268364e-05,0.023821902514153878,0.0485205106646075,0.017524511944444446,13912527.0,35.363557481481486,7.16021709337338,0.20521129124964485,120.0,-4249.028772222223,4596.9512,0.0,0.32969450000000017
0.000503,edge_ring,0,112,0,0,0,95.64285714285714,68.14285714285714,0.7096554838969189,0.7096554838969189,0.009999998557299597,0.0007531481304779814,0.041115305496740875,-3.582143527953667e-05,0.028549028899559986,0.05797363144781953,0.016323805767857146,14678286.0,34.4963101279762,8.887282669293255,0.2578905806794665,120.0,-4164.8545901785765,4271.8604,0.0,0.3296944999999999
0.000503,interior,0,58,0,0,0,150.0,147.20689655172413,0.9856640324961469,0.9856640324961469,0.009999998568965517,0.00010009118841659187,0.033159849839760655,-1.4446595811650454e-05,0.02328689004700363,0.04689058311296939,0.021312232724137924,14560125.0,32.143458885057484,8.394246532686141,0.2616320551537658,120.0,-3994.940037931034,4327.084,0.0,0.32969450000000006
0.000503,lateral_surface,0,196,0,0,0,99.0,97.08163265306122,0.7098926069203472,0.7098926069203472,0.009999998571428593,0.0007565805606056218,0.04147643387784035,-1.0331479193856834e-05,0.02882926526135326,0.05855686715616795,0.019614803071428575,15441555.0,33.56324797959181,8.0132484204873,0.24035910601032145,120.0,-4108.254763265303,4292.2847,0.0,0.32969450000000083
0.000503,measurement_core,0,5,0,0,0,178.0,178.0,0.9999999999999998,0.9999999999999998,0.009999998599999999,1.0650014011355707e-10,0.03758974601093496,-2.3427285537290232e-06,0.026579964167308862,0.05315992861482416,0.016439312199999997,10960540.0,36.226247533333336,6.35595820000069,0.1754517404121681,120.0,-4329.7267600000005,4329.7744,0.0,0.3296945
