failed,return_status,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,kernel_support_ratio_to_core_mean,nearest_neighbor_mean,velocity_mean,velocity_gradient_norm_mean,axial_strain_rate_mean,radial_strain_rate_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,pc_mean,yield_residual_mean,yield_residual_maxAbs,return_iterations_max,pairwise_reaction_avg
0,0,2139,0,0,0,104.12435717625058,95.51612903225806,0.7256852749849123,0.7256852749849123,0.009999971169345272,0.0005481960145134154,0.03837302285455661,-0.010540679153900705,0.020437588547339028,0.05398213778145318,0.02012616361426843,31462646.0,22.61568110730746,20.78820211661037,1.2234616494770123,119.99998855539971,-2434.354416061242,4366.4092,0.0,0.351583992124838
0,1,806,0,0,0,119.10173697270471,98.13399503722084,0.8458754102708906,0.8458754102708906,0.009999722983449696,0.001537011408334311,0.07629371488464101,-0.04782733512385887,0.03556484163329709,0.10671255584501545,0.0181619328551241,34251928.0,42.603584511071126,55.72456201363377,2.6093675864688017,120.00514490074441,6.200266383802119e-06,9.7490542e-05,22.0,0.30755439663151296
1,-3,8,8,8,0,88.0,56.0,0.6182656718317223,0.6182656718317223,0.009999644004992883,0.003100365218304328,0.1310561327524839,-0.06292181811095467,0.06568890953089737,0.18001061240565672,0.045933087500000004,36581744.0,67.50392375000001,94.35364329876175,1.4115346173440002,120.00710000000001,3859.5706375,3888.0342,8.0,0.32513280750000007
1,-1,710,710,0,710,120.83661971830986,105.80422535211268,0.8560424489816354,0.8560424489816354,0.009999988177713375,0.0004379657513622322,0.02678819568153291,-0.0041001959024995396,0.01601627918626011,0.03701688842781988,0.02301083614343663,28763496.0,-9.503897562640837,31.538571211764197,-77.32608023371573,119.99933216901384,-9.50390751551634,27.567236,0.0,0.28899665009859093
