time,part,failed_idp,failed_status,failed_region,nearest_nonfailed_idp,nearest_distance,failed_neighbor_count_all,nearest_nonfailed_neighbor_count_all,same_region_nonfailed_mean_neighbor_count_all,measurement_core_nonfailed_mean_neighbor_count_all,failed_minus_nearest_neighbor_count_all,failed_neighbor_count_specimen,nearest_nonfailed_neighbor_count_specimen,same_region_nonfailed_mean_neighbor_count_specimen,measurement_core_nonfailed_mean_neighbor_count_specimen,failed_minus_nearest_neighbor_count_specimen,failed_kernel_support_ratio_to_core,nearest_nonfailed_kernel_support_ratio_to_core,same_region_nonfailed_mean_kernel_support_ratio_to_core,measurement_core_nonfailed_mean_kernel_support_ratio_to_core,failed_minus_nearest_kernel_support_ratio_to_core,failed_velocity_gradient_norm,nearest_nonfailed_velocity_gradient_norm,same_region_nonfailed_mean_velocity_gradient_norm,measurement_core_nonfailed_mean_velocity_gradient_norm,failed_minus_nearest_velocity_gradient_norm,failed_shear_rate_proxy,nearest_nonfailed_shear_rate_proxy,same_region_nonfailed_mean_shear_rate_proxy,measurement_core_nonfailed_mean_shear_rate_proxy,failed_minus_nearest_shear_rate_proxy,failed_DivVel,nearest_nonfailed_DivVel,same_region_nonfailed_mean_DivVel,measurement_core_nonfailed_mean_DivVel,failed_minus_nearest_DivVel,failed_PorePressRate,nearest_nonfailed_PorePressRate,same_region_nonfailed_mean_PorePressRate,measurement_core_nonfailed_mean_PorePressRate,failed_minus_nearest_PorePressRate,failed_p_eff,nearest_nonfailed_p_eff,same_region_nonfailed_mean_p_eff,measurement_core_nonfailed_mean_p_eff,failed_minus_nearest_p_eff,failed_q,nearest_nonfailed_q,same_region_nonfailed_mean_q,measurement_core_nonfailed_mean_q,failed_minus_nearest_q,failed_q_over_p,nearest_nonfailed_q_over_p,same_region_nonfailed_mean_q_over_p,measurement_core_nonfailed_mean_q_over_p,failed_minus_nearest_q_over_p,failed_pc,nearest_nonfailed_pc,same_region_nonfailed_mean_pc,measurement_core_nonfailed_mean_pc,failed_minus_nearest_pc,failed_yield_residual,nearest_nonfailed_yield_residual,same_region_nonfailed_mean_yield_residual,measurement_core_nonfailed_mean_yield_residual,failed_minus_nearest_yield_residual,failed_return_iterations,nearest_nonfailed_return_iterations,same_region_nonfailed_mean_return_iterations,measurement_core_nonfailed_mean_return_iterations,failed_minus_nearest_return_iterations
0.001005,6,181,-1,edge_ring,192,0.010000274001413014,88,107,94.6,178.0,-19,56,68,66.5,178.0,-12,0.6181490530491474,0.8497759112576253,0.7054051053899016,1.0,-0.23162685820847795,0.051507005414956154,0.04058985259252246,0.07549321840615056,0.026996511999123278,0.010917152822433697,0.0714266336249581,0.05614896974996621,0.10543970992680532,0.038178833405928134,0.015277663874991895,0.032592114,0.034192026,0.028976625525000004,0.0281586858,-0.001599912000000002,-21742362.0,-22806424.0,-19318578.45,-18806982.8,1064062.0,-1.8814714999999993,4.566968433333334,39.900819728625,8.710192408666666,-6.448439933333333,35.05127893990538,27.552274541956944,53.44664825953786,23.737437887000464,7.499004397948436,-18.629715592240114,6.032946131367744,2.9578474959718304,2.9153844874614263,-24.662661723607858,119.99983,119.99848,120.00356000000004,120.0,0.0013500000000021828,-1.8814813,3.7062978e-07,-54.525905353613894,-800.964192,-1.88148167062978,0.0,5.0,8.4,0.0,-5.0
0.001005,6,182,-1,edge_ring,183,0.010000004002624399,94,94,94.6,178.0,0,75,88,66.5,178.0,-13,0.6186010427151645,0.6186117463358968,0.7054051053899016,1.0,-1.070362073229969e-05,0.05221022765566443,0.02074421520258965,0.07549321840615056,0.026996511999123278,0.03146601245307478,0.07264587501906981,0.02910184286681981,0.10543970992680532,0.038178833405928134,0.04354403215225,0.04006318,0.0080619529,0.028976625525000004,0.0281586858,0.032001227099999995,-26701480.0,-5399856.5,-19318578.45,-18806982.8,-21301623.5,-0.9666771333333332,15.711421999999999,39.900819728625,8.710192408666666,-16.678099133333333,27.838821876913336,16.646954015752122,53.44664825953786,23.737437887000464,11.191867861161214,-28.798469434068895,1.0595447067586958,2.9578474959718304,2.9153844874614263,-29.858014140827592,120.0,120.0,120.00356000000004,120.0,0.0,-0.96668702,-2082.3506,-54.525905353613894,-800.964192,2081.3839129800003,0.0,0.0,8.4,0.0,0.0
0.001005,6,193,-1,edge_ring,192,0.009999988143235052,115,107,94.6,178.0,8,90,68,66.5,178.0,22,0.8503752312531504,0.8497759112576253,0.7054051053899016,1.0,0.0005993199955250939,0.03806934012018189,0.04058985259252246,0.07549321840615056,0.026996511999123278,-0.002520512472340565,0.052840344230592036,0.05614896974996621,0.10543970992680532,0.038178833405928134,-0.003308625519374171,0.040608741,0.034192026,0.028976625525000004,0.0281586858,0.0064167149999999964,-27050674.0,-22806424.0,-19318578.45,-18806982.8,-4244250.0,-3.500050666666666,4.566968433333334,39.900819728625,8.710192408666666,-8.0670191,25.755480099780804,27.552274541956944,53.44664825953786,23.737437887000464,-1.7967944421761395,-7.358602075412091,6.032946131367744,2.9578474959718304,2.9153844874614263,-13.391548206779834,120.0,119.99848,120.00356000000004,120.0,0.0015199999999992997,-3.5000606,3.7062978e-07,-54.525905353613894,-800.964192,-3.50006097062978,0.0,5.0,8.4,0.0,-5.0
0.001005,6,194,-1,lateral_surface,195,0.00999999800000005,115,115,96.11627906976744,178.0,0,107,115,94.51162790697674,178.0,-8,0.8503769366486953,0.8503783972407869,0.6832779190556727,1.0,-1.4605920916066495e-06,0.0359585624103244,0.03397763278687892,0.032617369298562134,0.026996511999123278,0.001980929623445482,0.05034279487659489,0.047744854048426495,0.045934788565843605,0.038178833405928134,0.002597940828168395,0.033584666,0.02891886,0.008914322858488373,0.0281586858,0.004665805999999998,-22372552.0,-19266232.0,-5950015.820755814,-18806982.8,-3106320.0,-0.7869788999999999,3.1139851666666662,14.723040665465117,8.710192408666666,-3.900964066666666,24.90554609316389,22.89382720564142,22.498320703050037,23.737437887000464,2.01171888752247,-31.647031569923783,7.351938426266777,2.627347475295837,2.9153844874614263,-38.99896999619056,120.0,119.9987,119.99976418604655,120.0,0.001300000000000523,-0.78698885,1.3803856e-08,-1585.9872694407998,-800.964192,-0.7869888638038559,0.0,5.0,1.1162790697674418,0.0,-5.0
0.001005,6,248,-1,edge_ring,247,0.009999988143260051,115,107,94.6,178.0,8,90,68,66.5,178.0,22,0.8503752312531443,0.8497759112575318,0.7054051053899016,1.0,0.0005993199956124684,0.038069337996851464,0.04058985124519324,0.07549321840615056,0.026996511999123278,-0.0025205132483417728,0.05284034146241857,0.05614896780703723,0.10543970992680532,0.038178833405928134,-0.003308626344618662,0.040608741,0.034192029,0.028976625525000004,0.0281586858,0.006416711999999998,-27050674.0,-22806426.0,-19318578.45,-18806982.8,-4244248.0,-3.5000493333333336,4.5669683,39.900819728625,8.710192408666666,-8.067017633333334,25.755481122688458,27.552273944787874,53.44664825953786,23.737437887000464,-1.796792822099416,-7.358605170904769,6.032946176742211,2.9578474959718304,2.9153844874614263,-13.391551347646981,120.0,119.99848,120.00356000000004,120.0,0.0015199999999992997,-3.5000594,3.7064797e-07,-54.525905353613894,-800.964192,-3.50005977064797,0.0,5.0,8.4,0.0,-5.0
0.001005,6,249,-1,lateral_surface,250,0.00999999800000005,115,115,96.11627906976744,178.0,0,107,115,94.51162790697674,178.0,-8,0.8503769366485288,0.8503783972405956,0.6832779190556727,1.0,-1.460592066848676e-06,0.03595856222243687,0.03397763193298812,0.032617369298562134,0.026996511999123278,0.0019809302894487485,0.050342794457240825,0.04774485284536895,0.045934788565843605,0.038178833405928134,0.002597941611871872,0.033584662,0.028918864,0.008914322858488373,0.0281586858,0.004665798000000002,-22372550.0,-19266236.0,-5950015.820755814,-18806982.8,-3106314.0,-0.7869768999999996,3.113985733333333,14.723040665465117,8.710192408666666,-3.9009626333333327,24.905539633217565,22.89382959079444,22.498320703050037,23.737437887000464,2.0117100424231253,-31.647103788202138,7.351937854348479,2.627347475295837,2.9153844874614263,-38.999041642550615,120.0,119.9987,119.99976418604655,120.0,0.001300000000000523,-0.78698683,1.3807039e-08,-1585.9872694407998,-800.964192,-0.786986843807039,0.0,5.0,1.1162790697674418,0.0,-5.0
0.001005,6,259,-1,bottom_cap_zone,258,0.0099999909827875,145,136,146.7,178.0,9,114,86,95.9,178.0,28,0.9735052179420223,0.9728949846014128,0.9875671316891779,1.0,0.0006102333406095006,0.03096075264433012,0.03605115161478102,0.03777459088345032,0.026996511999123278,-0.0050903989704509,0.04376245391967709,0.05097286213299141,0.05331184526132726,0.038178833405928134,-0.007210408213314319,0.042672832,0.035123516,0.0344304307,0.0281586858,0.007549316,-28421324.0,-23427460.0,-22971762.0,-18806982.8,-4993864.0,-4.197806666666668,5.8641803433333335,7.343611431066668,8.710192408666666,-10.061987010000001,26.494444792023035,23.169944937174847,20.94623170959904,23.737437887000464,3.324499854848188,-6.311497145022487,3.9510969275553562,3.1533720665255,2.9153844874614263,-10.262594072577842,119.99934,120.0,120.0,120.0,-0.0006599999999963302,-4.1978168,-426.96448,-736.025008,-800.964192,422.7666632,0.0,0.0,0.0,0.0,0.0
0.001005,6,260,-1,interior,348,0.014142278459204264,145,178,151.23076923076923,178.0,-33,136,169,147.76923076923077,178.0,-33,0.9735062471314977,0.9999985588370449,0.9862964419670904,1.0,-0.026492311705547222,0.027751747271365448,0.02976642185445459,0.04279681820039136,0.026996511999123278,-0.002014674583089144,0.039157732050295435,0.04209607748988857,0.06050739665749177,0.038178833405928134,-0.0029383454395931347,0.036411412,0.034027677,0.015640236323076925,0.0281586858,0.002383734999999998,-24254424.0,-22722628.0,-10420353.650769234,-18806982.8,-1531796.0,-2.953822666666667,6.401513453333333,9.49291708179487,8.710192408666666,-9.35533612,26.327692947827313,21.798884320000266,35.96087667151208,23.737437887000464,4.528808627827047,-8.913091921505774,3.4052704065863306,4.592584973182248,2.9153844874614263,-12.318362328092105,119.99969,120.0,119.99909692307693,120.0,-0.00030999999999892225,-2.9538324,-571.97998,-78.62311066445812,-800.964192,569.0261476,0.0,0.0,4.769230769230769,0.0,0.0
0.001005,6,261,-1,interior,195,0.010000283001548755,145,115,151.23076923076923,178.0,30,145,115,147.76923076923077,178.0,30,0.9735074400563543,0.8503783972407869,0.9862964419670904,1.0,0.12312904281556736,0.02395836464995841,0.03397763278687892,0.04279681820039136,0.026996511999123278,-0.010019268136920507,0.03379405298107777,0.047744854048426495,0.06050739665749177,0.038178833405928134,-0.013950801067348723,0.032409854,0.02891886,0.015640236323076925,0.0281586858,0.0034909940000000007,-21592392.0,-19266232.0,-10420353.650769234,-18806982.8,-2326160.0,-1.3833685666666664,3.1139851666666662,9.49291708179487,8.710192408666666,-4.497353733333332,24.91002730262498,22.89382720564142,35.96087667151208,23.737437887000464,2.0162000969835603,-18.006790021727628,7.351938426266777,4.592584973182248,2.9153844874614263,-25.358728447994405,120.0,119.9987,119.99909692307693,120.0,0.001300000000000523,-1.3833785,1.3803856e-08,-78.62311066445812,-800.964192,-1.3833785138038561,0.0,5.0,4.769230769230769,0.0,-5.0
0.001005,6,313,-1,edge_ring,390,0.010000357000022456,79,76,94.6,178.0,3,50,48,66.5,178.0,2,0.6402826805039578,0.5412041579163854,0.7054051053899016,1.0,0.09907852258757233,0.04784324622203905,0.04951962596258056,0.07549321840615056,0.026996511999123278,-0.0016763797405415087,0.06620273322434037,0.06839849626853994,0.10543970992680532,0.038178833405928134,-0.002195763044199578,0.034136422,0.02985394,0.028976625525000004,0.0281586858,0.004282482000000001,-22767612.0,-19920368.0,-19318578.45,-18806982.8,-2847244.0,-2.5115099666666665,5.685963766666666,39.900819728625,8.710192408666666,-8.197473733333332,31.983000507099682,30.593211170193587,53.44664825953786,23.737437887000464,1.3897893369060945,-12.734570410464368,5.380479444758847,2.9578474959718304,2.9153844874614263,-18.115049855223216,120.0,119.99577,120.00356000000004,120.0,0.004230000000006839,-2.5115201,1.3567387e-09,-54.525905353613894,-800.964192,-2.5115201013567385,0.0,14.0,8.4,0.0,-14.0
