run,time,ExcessPorePress_maxAbs,excess_over_peak,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressureAccelDiff_mag_maxAbs,Vel_mag_max
T3p6,0.0,0.0,0.0,17.464165,0.0,17.4641660440367,0.0,0.0
T3p6,0.100001,38.54514617748,1.0,97076.375,95198.68000000001,51833.42235813803,0.046421967000003915,1.2014427000335717e-05
T3p6,0.2,27.35661834722,0.7097292671107602,62039.555,37049.382000000005,62096.638803940215,0.022666082000760267,5.599491523556576e-06
T3p6,0.3,22.46846640151,0.5829129898237927,113340.47,21182.73066666667,113347.79476724484,0.015393084000085759,3.7401467008521e-06
T3p6,0.400001,19.54553905276,0.5070817208154598,129806.22,14121.093333333334,129835.07849133557,0.0123310140000283,2.95748350543162e-06
T3p6,0.500001,17.49757265951,0.4539500921579837,137010.98,10543.181333333334,137024.96907917058,0.011296412000003832,2.6816936026296377e-06
T3p6,0.6,15.91365270948,0.4128575005580742,146515.53,7873.930666666667,146517.93883792055,0.011056702000038563,2.6295793000288826e-06
T3p6,0.7,14.59877575197,0.3787448537553954,131862.72,6615.760866666667,131863.50458715507,0.010783472000021058,2.5126983000705247e-06
T3p6,0.800001,13.45804895565,0.34915028973253354,123695.65,5856.249733333334,123691.57118586235,0.010190734000123216,2.3736834001426198e-06
T3p6,0.900001,12.43900949755,0.32271273379727095,124824.23,4814.254400000001,124820.51919809659,0.00940200500000464,2.219643200003435e-06
T3p6,1.0,11.51831320679,0.29882655402976716,109106.17,4214.285000000001,109107.13353720626,0.008921198500003088,2.0826483000099828e-06
T3p6,1.1,10.67460784955,0.2769377965360173,100919.05,3645.175933333334,100918.37852531372,0.008306985700005652,1.939761900003126e-06
T3p6,1.200001,9.901960658244,0.2568925439444622,100952.58,3322.127066666667,100949.61331974056,0.007599919100171297,1.7995968000673842e-06
T3p6,1.300001,9.191438481545,0.23845903811658384,87791.242,3090.323866666667,87786.75093442056,0.007177745900007538,1.677475200203767e-06
T3p6,1.4,8.525147544293,0.22117305003953566,80942.797,2763.824933333334,80938.74006116082,0.006662138700007316,1.5537984004119165e-06
T3p6,1.5,7.918876923739,0.20544420527754034,74914.039,2705.536333333334,74905.46653075166,0.006176878700046131,1.4460211000716612e-06
T3p6,1.600001,7.341531539678,0.19046578539030912,70192.797,2384.4618000000005,70193.29391777287,0.005738924700836616,1.3400295000606844e-06
T3p6,1.700001,6.810223634471,0.17668174361341177,64693.023,2178.480666666667,64688.02718314719,0.005324883400086816,1.242605200030246e-06
T3p6,1.8,6.316860560906,0.16388212751406364,59880.035,2022.2386000000001,59876.53278967156,0.004937051300084992,1.1519696000114794e-06
T3p6,1.9,5.861348154198,0.15206449411839285,56446.473,1871.3299333333337,56442.69928644503,0.004581274900023194,1.0730035000052344e-06
T3p6,2.000001,5.437663620385,0.14107259044621173,51684.34,1705.7808000000002,51683.58409785949,0.004254703400000766,9.944384400111525e-07
T3p6,2.100001,5.04563695107,0.13090200586702957,47832.301,1598.4462,47832.489296637905,0.003944838900000476,9.201020200379479e-07
T3p6,2.2,4.686720774736,0.12159042679864622,45075.617,1471.0670666666667,45077.45158002092,0.003659513500060425,8.569672300118532e-07
T3p6,2.3,4.346525152103,0.11276452635798946,41376.375,1359.8555333333334,41373.773700307174,0.0034014811001022655,7.924640501071816e-07
T3p6,2.400001,4.039210194422,0.10479166886080998,38223.535,1267.5145333333335,38219.84913353801,0.003151880600001739,7.378749301282678e-07
T3p6,2.500001,3.746682377367,0.09720244308104348,36028.039,1201.5166000000002,36027.56710839363,0.0029245596000002454,6.827679000238965e-07
T3p6,2.6,3.475149202075,0.09015789396864074,33056.648,1133.5948,33052.935100238996,0.0027175047000850146,6.328884300534866e-07
T3p6,2.7,3.224076132197,0.08364415372435834,30574.303,1071.8479333333335,30569.806320081276,0.0025194741000061876,5.892720200181033e-07
T3p6,2.800001,2.991784204638,0.07761766399490137,28789.889,986.3242000000001,28787.95107033594,0.0023372313000073032,5.462769101843746e-07
T3p6,2.900001,2.775225303838,0.07199934567791119,26415.607,912.1214666666668,26412.16989466659,0.0021714298000515006,5.062233900332345e-07
T3p6,3.0,2.576610338663,0.06684655771699692,24411.344,881.6787333333335,24407.451580022815,0.002012463800003194,4.712689500141519e-07
T3p6,3.1,2.390687915535,0.06202306003788771,23223.062,794.0049333333335,23222.88141352186,0.0018580725000200435,4.362416907410069e-07
T3p6,3.200001,2.218851365322,0.057565000664554854,21102.102,781.4762000000001,21100.583078491334,0.0017346881001042605,4.0594799000048436e-07
T3p6,3.300001,2.060040361861,0.05344487091514985,19510.162,707.4920000000002,19510.36901121315,0.001608350300034303,3.7565044000024894e-07
T3p6,3.4,1.912001669993,0.04960421374948856,18562.727,705.3572666666668,18561.062181447764,0.0014849680000423376,3.4884209029165314e-07
T3p6,3.5,1.773046844493,0.045999224813652484,16906.215,655.5530933333333,16902.799864083885,0.0013861675000197103,3.2344175003161104e-07
T3p6,3.600001,1.645037802789,0.04267820895566128,15582.404,613.14328,15581.763506626603,0.0012849527000430194,2.9972117000128537e-07
