case,code,excluded,steps,runtime_sec,frames,curved_diag_rows,final_affected,final_boundary_residual_max,final_p0_eff,final_vel_max,final_center_excess,final_mean_excess,final_surface_excess_maxAbs,final_porepressrate_maxAbs,final_lapporepress_maxAbs,final_kplastic_maxAbs
source_on_regression,0,0,16,0.611453,5,1,592.0,490.5,0.0,0.0,0.0,-101.81691910481405,490.5000209808,0.0,490252.81,0.0
no_elevation_diffusion,0,0,195,6.164299,5,1,592.0,1000.0,0.0,0.0,995.6473433936,936.9813054583881,930.6172964097,4137.3975,608818.06,0.0
no_elevation_compression,0,0,46,1.573212,6,1,592.0,0.0,50.0,0.0011013875368234116,-252.2248806505,58.95936214453629,168.6470451817,915406.63,3248279.8,0.0
