run,launcher_code,code,excluded,steps,runtime_s,body_gravity_stop_log,hydraulic_gravity_active_log,time,frame,particles,PorePress_min,PorePress_max,PorePress_mean,PorePress_maxAbs,ExcessPorePress_min,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,PorePressRate_min,PorePressRate_max,PorePressRate_mean,PorePressRate_maxAbs,DivVel_min,DivVel_max,DivVel_mean,DivVel_maxAbs,LapPorePress_min,LapPorePress_max,LapPorePress_mean,LapPorePress_maxAbs,LapZ_min,LapZ_max,LapZ_mean,LapZ_maxAbs,Vel_mag_max,Vel_mag_mean,PorePressureAccelDiff_mag_maxAbs,settlement_dz_mean,zmin,zmax,top_count,bottom_count,bottom_ref_count,top_excess_maxAbs,bottom_excess_mean,bottom_no_flux_proxy,DivVelContribution_maxAbs,HydraulicContribution_maxAbs
CPU,0,0,0,5244,122.382866,True,True,0.005,PartCsv_0005,1000,49.2656337514,12355.61696063,8516.324127303813,12355.61696063,0.0,5033.577883924,3611.2279751093797,5033.577883924,-81627744.0,41282012.0,-16347986.388199983,81627744.0,-0.029430384,0.11064405,0.02452254763622,0.11064405,-760011.38,1773634.1,7.300758000001777,1773634.1,-73.975792,73.966774,-0.00017773514519949174,73.975792,0.023729712,0.014315251081840005,10.495745000000026,-9.779932000001344e-06,0.0050014807,0.99497801,20,20,20,0.0,2594.681068202,0.922889522499645,73762700.0,104351483.3856609
GPU,0,0,0,5244,12.454111,True,True,0.005,PartCsv_0005,1000,49.26574466595,12355.61340165,8516.321608324857,12355.61340165,0.0001009538457026,5033.574826816,3611.2254561561754,5033.574826816,-81560888.0,40640716.0,-16352217.671729999,81560888.0,-0.029421974,0.110549,0.024528893914629993,0.110549,-760005.0,1765513.5,7.293723000020488,1765513.5,-73.9758,73.966766,-0.00017767007880824793,73.9758,0.02372971500000001,0.01431525189978005,10.490982000000006,-9.779932000001344e-06,0.0050014807,0.99497801,20,20,20,0.0001109856469341,2594.6775112710006,0.922783091200472,73699333.33333334,103799629.40468912
