run,time,frame,particles,code,excluded,steps,runtime_s,body_gravity_stop_log,hydraulic_gravity_active_log,PorePress_min,PorePress_max,PorePress_mean,PorePress_maxAbs,ExcessPorePress_min,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,PorePressRate_min,PorePressRate_max,PorePressRate_mean,PorePressRate_maxAbs,DivVel_min,DivVel_max,DivVel_mean,DivVel_maxAbs,LapPorePress_min,LapPorePress_max,LapPorePress_mean,LapPorePress_maxAbs,LapZ_min,LapZ_max,LapZ_mean,LapZ_maxAbs,Vel_mag_max,Vel_mag_mean,PorePressureAccelDiff_mag_maxAbs,settlement_dz_mean,zmin,zmax,top_count,bottom_count,bottom_ref_count,top_excess_maxAbs,bottom_excess_mean,bottom_no_flux_proxy,DivVelContribution_maxAbs,HydraulicContribution_maxAbs
GPU,0.0,PartCsv_0000,1000,0,0,5244,12.323503,False,False,49.05000209808,9760.950417519,4905.000209808328,9760.950417519,0.0,0.0,0.0,0.0,-17.464165,16.201284,1.7768220344118986,17.464165,0.0,0.0,0.0,0.0,-725604.19,725604.25,-9.620557655580342e-05,725604.25,-73.965759,73.965759,2.6645686618422815e-06,73.965759,0.0,0.0,0.0,0.0,0.0049999999,0.995,20,20,20,0.0,0.0,0.0,0.0,17.4641660440367
GPU,0.001,PartCsv_0001,1000,0,0,5244,12.323503,False,False,59.73971434996,12448.69260484,5559.308499192089,12448.69260484,10.64291714802,2718.338738257,654.2625974494748,2718.338738257,87258.062,65867900.0,3172479.789980007,65867900.0,-0.087318555,-2.0330483e-05,-0.004758722080693012,0.087318555,-691776.25,726688.75,-1.2769912400236354,726688.75,-73.965759,73.966591,0.00012810441457496323,73.966591,0.0094030714,0.008936236052999976,4.499119300000056,-4.657069999997694e-06,0.0049970779,0.99499524,20,20,20,10.77718017354,2687.7135182495,-0.2753032299001461,58212370.00000001,45388421.28508325
GPU,0.002001,PartCsv_0002,1000,0,0,5244,12.323503,False,False,49.23170799805,23362.79727611,10781.924106432793,23362.79727611,-8.393084807778e-05,13647.40095599,5876.761771771151,13647.40095599,-650669500.0,666593600.0,10089381.418090003,666593600.0,-0.12884691,-0.0018070558,-0.015134238663100019,0.12884691,-9601631.0,10017825.0,-4.9828533999398354,10017825.0,-73.965881,73.97036,0.00034254353480056923,73.97036,0.017945159,0.013917190617500028,27.979591000000006,-1.6527528999998973e-05,0.004993665,0.99498147,20,20,20,8.393084807778e-05,13601.784707425002,-0.5850174535007682,85897940.00000001,664617084.8603467
GPU,0.003001,PartCsv_0003,1000,0,0,5244,12.323503,False,False,49.42771983818,37287.47474397,19400.795282619656,37287.47474397,-9.564050019861e-05,27552.35772602,14495.499678897519,27552.35772602,235764.55,304098720.0,12951532.662769996,304098720.0,-0.092688739,-0.003059359,-0.019427423598100013,0.092688739,-736600.0,3803561.0,-5.20406755696563,3803561.0,-73.97023,73.973145,0.00040712087381642446,73.973145,0.020448787,0.012138590288470023,16.521431000000035,-3.0111301999996113e-05,0.0049925647,0.9949615,20,20,20,9.564050019861e-05,27526.45138592,-0.5310707369972079,61792492.66666668,242306233.89534488
GPU,0.004,PartCsv_0004,1000,0,0,5244,12.323503,False,False,49.59566982891,44152.90539681,24737.021422590322,44152.90539681,-5.636474026005e-05,34402.04866794,19831.637588559348,34402.04866794,-363851.84,449016160.0,7655069.565556001,449016160.0,-0.10058423,-0.0021940761,-0.011481830106000006,0.10058423,-870696.38,5858638.5,4.750722899954999,5858638.5,-73.97625,73.97496,0.00029062698515437544,73.97625,0.012051282000000002,0.005411857501532066,26.71493,-3.9105450000004855e-05,0.0049925549,0.99494439,20,20,20,5.636474026005e-05,34391.881944284,-0.10877235749649117,67056153.333333336,381960022.1794088
GPU,0.005,PartCsv_0005,1000,0,0,5244,12.323503,False,False,49.64489292393,39935.1815884,22384.78459582009,39935.1815884,8.616684141316e-06,30183.16285257,17479.382782924265,30183.16285257,-8407822.0,316914460.0,-1538198.2594700013,316914460.0,-0.036999974,0.0094474424,0.0023083605765399987,0.036999974,-715772.19,4890173.0,8.049146100066602,4890173.0,-73.979637,73.975563,0.0002426738706779048,73.979637,0.003435839000000002,0.0018212467264223603,24.614664000000005,-4.0939232999998394e-05,0.0049923626,0.99493939,20,20,20,9.214588658324e-06,30174.156248179992,0.2852562024963845,24666649.333333336,316142474.05232763
